sub ses blk trl arrow cond acc rt
10 1 1 1 0 0 1 0.89078
10 1 1 2 0 0 1 0.72425
10 1 1 3 0 0 1 0.49442
10 1 1 4 0 1 1 0.74193
10 1 1 5 0 2 1 0.80221
10 1 1 6 0 2 1 0.8327
10 1 1 7 0 1 1 0.589
10 1 1 8 0 2 1 0.87749
10 1 1 9 0 0 1 0.74148
10 1 1 10 0 2 1 0.64138
10 1 1 11 0 0 1 0.90603
10 1 1 12 0 0 1 0.69065
10 1 1 13 0 1 1 0.63695
10 1 1 14 0 0 1 0.93423
10 1 1 15 0 2 1 0.96873
10 1 1 16 0 0 1 0.64202
10 1 1 17 0 2 1 0.81119
10 1 1 18 0 2 1 0.77721
10 1 1 19 0 0 1 0.57398
10 1 1 20 0 0 1 0.66944
10 1 1 21 0 2 1 1.1749
10 1 1 22 0 2 1 1.015
10 1 1 23 0 1 1 0.56168
10 1 1 24 0 2 1 0.94501
10 1 1 25 0 2 1 0.77756
10 1 1 26 0 0 1 0.44069
10 1 1 27 0 0 1 0.62723
10 1 1 28 0 2 0 0.8629
10 1 1 29 0 2 1 0.93985
10 1 1 30 0 1 1 0.74134
10 1 1 31 0 2 1 0.80121
10 1 1 32 0 0 1 0.63838
10 1 1 33 0 0 1 0.711
10 1 1 34 0 1 1 0.64344
10 1 1 35 0 2 1 0.81296
10 1 1 36 0 2 1 0.62744
10 1 1 37 0 2 1 0.44396
10 1 1 38 0 0 1 0.37843
10 1 1 39 0 0 1 0.72509
10 1 1 40 0 2 1 1.3754
10 1 1 41 0 2 1 0.80415
10 1 1 42 0 0 1 0.67378
10 1 1 43 0 1 1 0.87516
10 1 1 44 0 2 1 0.61919
10 1 1 45 0 0 1 1.0605
10 1 1 46 0 1 1 0.77011
10 1 1 47 0 1 1 0.74794
10 1 1 48 0 0 1 0.47261
10 1 1 49 0 1 1 0.68889
10 1 1 50 0 1 1 0.62451
10 1 1 51 0 0 1 0.64257
10 1 1 52 0 1 1 0.63607
10 1 1 53 0 2 1 0.66912
10 1 1 54 0 1 1 0.67387
10 1 1 55 0 1 1 0.58719
10 1 1 56 0 1 1 0.61186
10 1 1 57 0 0 1 0.61923
10 1 1 58 0 0 1 0.46815
10 1 1 59 0 2 1 0.74709
10 1 1 60 0 1 0 0.60706
10 1 1 61 0 2 1 0.94369
10 1 1 62 0 0 1 0.77893
10 1 1 63 0 1 1 0.58131
10 1 1 64 0 0 1 0.62108
10 1 1 65 0 1 1 0.5356
10 1 1 66 0 2 1 0.78868
10 1 1 67 0 2 1 0.73821
10 1 1 68 0 2 1 0.69536
10 1 1 69 0 0 1 0.76876
10 1 1 70 0 1 1 0.80744
10 1 1 71 0 2 1 0.53988
10 1 1 72 0 2 1 0.72326
10 1 1 73 0 1 1 0.72054
10 1 1 74 0 0 1 0.48477
10 1 1 75 0 2 1 0.43206
10 1 1 76 0 0 1 0.3986
10 1 1 77 0 2 1 0.91154
10 1 1 78 0 0 1 0.48852
10 1 1 79 0 1 1 0.83024
10 1 1 80 0 0 1 0.52518
10 1 1 81 0 0 1 0.62024
10 1 1 82 0 1 1 0.924
10 1 1 83 0 0 1 0.61245
10 1 1 84 0 0 1 0.50378
10 1 1 85 0 1 1 0.6122
10 1 1 86 0 0 1 0.51763
10 1 1 87 0 1 1 0.75609
10 1 1 88 0 2 1 0.7351
10 1 1 89 0 2 1 0.54006
10 1 1 90 0 1 1 0.51599
10 1 1 91 0 0 1 0.80183
10 1 1 92 0 1 1 0.56744
10 1 1 93 0 1 1 0.70273
10 1 1 94 0 0 1 0.67359
10 1 1 95 0 0 1 0.46216
10 1 1 96 0 1 1 0.93767
10 1 1 97 0 2 1 0.85004
10 1 1 98 0 1 1 0.52069
10 1 1 99 0 2 1 0.75978
10 1 1 100 0 1 1 0.78914
10 1 1 101 0 0 1 0.70835
10 1 1 102 0 1 1 0.58986
10 1 1 103 0 1 1 0.5739
10 1 1 104 0 0 1 1.0219
10 1 1 105 0 2 1 0.4484
10 1 1 106 0 1 1 0.49365
10 1 1 107 0 2 1 1.196
10 1 1 108 0 0 1 0.68346
10 1 1 109 0 2 1 0.96464
10 1 1 110 0 0 1 0.51022
10 1 1 111 0 2 1 0.74902
10 1 1 112 0 0 1 0.3694
10 1 1 113 0 1 0 0.65183
10 1 1 114 0 1 1 0.62876
10 1 1 115 0 2 1 0.92765
10 1 1 116 0 2 1 0.62383
10 1 1 117 0 0 1 0.56789
10 1 1 118 0 1 1 0.51172
10 1 1 119 0 2 1 0.50354
10 1 1 120 0 2 1 0.88661
10 1 1 121 0 1 1 0.54175
10 1 1 122 0 0 1 0.34744
10 1 1 123 0 0 1 0.582
10 1 1 124 0 0 1 0.57588
10 1 1 125 0 1 1 0.59989
10 1 1 126 0 1 1 0.36725
10 1 1 127 0 1 1 0.57962
10 1 1 128 0 2 1 0.51504
10 1 1 129 0 0 1 0.67394
10 1 1 130 0 2 1 0.6783
10 1 1 131 0 1 1 0.41576
10 1 1 132 0 2 1 0.51387
10 1 1 133 0 2 1 0.6198
10 1 1 134 0 1 1 0.8985
10 1 1 135 0 0 1 0.62666
10 1 1 136 0 1 1 0.62724
10 1 1 137 0 1 1 0.57542
10 1 1 138 0 1 1 0.49614
10 1 1 139 0 1 1 0.83661
10 1 1 140 0 2 1 0.64168
10 1 1 141 0 1 1 0.46827
10 1 1 142 0 0 1 0.50611
10 1 1 143 0 2 1 0.57794
10 1 1 144 0 1 1 0.72826
10 1 2 1 0 0 1 0.66173
10 1 2 2 0 0 1 0.45547
10 1 2 3 0 0 1 0.59571
10 1 2 4 0 0 1 0.57968
10 1 2 5 0 0 1 0.53458
10 1 2 6 0 1 1 0.37959
10 1 2 7 0 2 1 0.96103
10 1 2 8 0 1 1 0.95234
10 1 2 9 0 0 1 0.57754
10 1 2 10 0 1 1 0.44068
10 1 2 11 0 0 1 0.42192
10 1 2 12 0 2 1 0.57044
10 1 2 13 0 1 1 0.58518
10 1 2 14 0 2 1 0.46717
10 1 2 15 0 2 1 0.44754
10 1 2 16 0 1 1 0.58155
10 1 2 17 0 1 1 0.38948
10 1 2 18 0 0 1 0.32152
10 1 2 19 0 0 1 0.55367
10 1 2 20 0 1 1 0.65132
10 1 2 21 0 0 1 0.68473
10 1 2 22 0 1 1 0.62213
10 1 2 23 0 1 1 0.39279
10 1 2 24 0 1 1 0.33076
10 1 2 25 0 1 1 0.62192
10 1 2 26 0 0 1 0.48606
10 1 2 27 0 2 1 0.39111
10 1 2 28 0 2 1 0.41727
10 1 2 29 0 0 1 0.90125
10 1 2 30 0 0 1 0.54895
10 1 2 31 0 0 1 0.71535
10 1 2 32 0 0 1 0.74272
10 1 2 33 0 0 1 0.54775
10 1 2 34 0 1 1 0.46597
10 1 2 35 0 0 0 0.7437
10 1 2 36 0 0 0 0.49944
10 1 2 37 0 0 1 2.0675
10 1 2 38 0 0 1 0.76723
10 1 2 39 0 1 1 0.5071
