sub ses blk trl soa cond acc rt
10 1 1 152 0.4 0 1 0.34862
10 1 1 153 0.4 0 1 0.26565
10 1 1 154 0.5 0 0 NA
10 1 1 155 0.4 0 1 0.78008
10 1 1 156 0.5 0 1 0.29879
10 1 1 157 0.4 0 1 0.24895
10 1 1 158 0.6 0 1 0.28225
10 1 1 159 0.3 2 1 0.41549
10 1 1 160 0.4 2 1 0.36501
10 1 2 1 0.5 0 1 0.28195
10 1 2 2 0.5 0 1 0.29878
10 1 2 3 0.3 0 1 0.31546
10 1 2 4 0.5 0 1 0.28226
10 1 2 5 0.3 2 1 0.44825
10 1 2 6 0.3 0 1 0.43144
10 1 2 7 0.5 0 1 0.24923
10 1 2 8 0.3 0 1 0.34837
10 1 2 9 0.4 0 1 0.31548
10 1 2 10 0.5 0 1 0.26539
10 1 2 11 0.5 0 1 0.28219
10 1 2 12 0.6 0 1 0.31552
10 1 2 13 0.6 2 1 0.34857
10 1 2 14 0.4 2 1 0.54771
10 1 2 15 0.5 0 1 0.46473
10 1 2 16 0.5 0 1 0.31543
10 1 2 17 0.5 0 1 0.24885
10 1 2 18 0.3 2 1 0.51447
10 1 2 19 0.3 0 1 0.3153
10 1 2 20 0.5 0 1 0.2656
10 1 2 21 0.6 0 1 0.31539
10 1 2 22 0.3 0 1 0.29875
10 1 2 23 0.6 0 1 0.29865
10 1 2 24 0.6 0 1 0.23245
10 1 2 25 0.4 2 1 0.44821
10 1 2 26 0.3 0 1 0.28222
10 1 2 27 0.3 0 1 0.28219
10 1 2 28 0.3 0 1 0.26566
10 1 2 29 0.4 0 1 0.2656
10 1 2 30 0.4 0 1 0.24892
10 1 2 31 0.6 0 1 0.28204
10 1 2 32 0.6 0 1 0.28249
10 1 2 33 0.3 0 1 0.39835
10 1 2 34 0.6 2 1 0.2656
10 1 2 35 0.3 0 1 0.29898
10 1 2 36 0.5 2 1 0.299
10 1 2 37 0.4 0 1 0.282
10 1 2 38 0.4 0 1 0.23285
10 1 2 39 0.4 0 1 0.28218
10 1 2 40 0.4 2 1 0.24897
10 1 2 41 0.3 0 1 0.29887
10 1 2 42 0.3 0 1 0.24908
10 1 2 43 0.4 0 1 0.033329
10 1 2 44 0.3 0 1 0.33149
10 1 2 45 0.3 0 1 0.28208
10 1 2 46 0.4 0 1 0.24909
10 1 2 47 0.6 0 1 0.066601
10 1 2 48 0.6 0 1 0.23239
10 1 2 49 0.4 0 1 0.29865
10 1 2 50 0.3 2 1 0.33191
10 1 2 51 0.5 0 1 0.14923
10 1 2 52 0.5 0 1 0.18284
10 1 2 53 0.5 2 1 0.33203
10 1 2 54 0.5 0 1 0.31523
