sub ses blk trl locGlob cond acc rt
10 1 1 1 1 0 1 0.33202
10 1 1 2 1 0 1 0.38187
10 1 1 3 1 0 1 0.34871
10 1 1 4 1 0 1 0.36529
10 1 1 5 1 0 1 0.34853
10 1 1 6 1 0 1 0.39845
10 1 1 7 1 0 1 0.29886
10 1 1 8 1 0 1 0.41503
10 1 1 9 1 2 1 0.26578
10 1 1 10 1 0 1 0.36524
10 1 1 11 1 2 0 0.33204
10 1 1 12 1 0 1 0.54779
10 1 1 13 1 2 1 0.44834
10 1 1 14 1 2 0 0.36513
10 1 1 15 1 2 1 0.46485
10 1 1 16 1 0 1 0.51463
10 1 1 17 1 0 1 0.33198
10 1 1 18 1 2 1 0.48136
10 1 1 19 1 2 0 0.48153
10 1 1 20 1 0 1 0.49815
10 1 1 21 1 0 1 0.49815
10 1 1 22 1 0 1 0.43168
10 1 1 23 1 2 0 0.33209
10 1 1 24 1 2 1 0.61412
10 1 1 25 1 2 1 0.4482
10 1 1 26 1 2 1 0.54777
10 1 1 27 1 2 1 0.44829
10 1 1 28 1 0 1 0.36523
10 1 1 29 1 0 1 0.4648
10 1 1 30 1 2 1 0.56438
10 1 1 31 1 2 1 0.498
10 1 1 32 1 2 1 0.46477
10 1 1 33 1 0 1 0.56444
10 1 1 34 1 0 1 0.48139
10 1 1 35 1 2 0 0.43164
10 1 1 36 1 2 1 0.48136
10 1 1 37 1 2 1 0.58094
10 1 1 38 1 0 1 0.44816
10 1 1 39 1 2 0 0.53116
10 1 1 40 1 2 0 0.44817
10 1 1 41 1 0 1 0.41502
10 1 1 42 1 2 1 0.46476
10 1 1 43 1 2 0 0.4814
10 1 1 44 1 0 1 0.4814
10 1 1 45 1 0 1 0.56439
10 1 1 46 1 2 1 0.54777
10 1 1 47 1 2 1 0.46475
10 1 1 48 1 0 1 0.41501
10 1 1 49 1 2 1 0.58104
10 1 1 50 1 2 1 0.49803
10 1 1 51 1 2 1 0.44835
10 1 1 52 1 0 1 0.34868
10 1 1 53 1 2 0 0.38183
10 1 1 54 1 0 1 0.4316
10 1 1 55 1 2 0 0.39848
10 1 1 56 1 2 1 0.56446
10 1 1 57 1 2 1 0.6141
10 1 1 58 1 0 1 0.39848
10 1 1 59 1 0 1 0.4482
10 1 1 60 1 2 1 0.56435
10 1 1 61 1 2 1 0.64733
10 1 1 62 1 0 1 0.38184
10 1 1 63 1 2 1 0.51458
10 1 1 64 1 2 1 0.44827
10 1 1 65 1 0 1 0.39859
10 1 1 66 1 2 1 0.61431
10 1 1 67 1 0 1 0.51465
10 1 1 68 1 2 1 0.6308
10 1 1 69 1 0 1 0.33202
10 1 1 70 1 0 1 0.31547
10 1 1 71 1 2 1 0.43162
10 1 1 72 1 0 1 0.36521
10 1 1 73 1 0 1 0.31565
10 1 1 74 1 0 1 0.41506
10 1 1 75 1 0 1 0.51454
10 1 1 76 1 2 1 0.59762
10 1 1 77 1 2 1 0.54773
10 1 1 78 1 0 0 0.53118
10 1 1 79 1 0 1 0.49816
10 1 1 80 1 0 1 0.3817
10 1 1 81 1 0 1 0.36524
10 1 1 82 1 0 1 0.415
10 1 1 83 1 2 0 0.41508
10 1 1 84 1 2 1 0.49813
10 1 1 85 1 2 0 0.38182
10 1 1 86 1 2 1 0.48131
10 1 1 87 1 0 1 0.44821
10 1 1 88 1 0 1 0.38177
10 1 1 89 1 0 1 0.53116
10 1 1 90 1 2 1 0.54775
10 1 1 91 1 2 1 1.3775
10 1 1 92 1 0 1 0.39837
10 1 1 93 1 2 1 0.39839
10 1 1 94 1 0 1 0.41519
10 1 1 95 1 0 1 0.36519
10 1 1 96 1 2 1 0.36523
10 1 1 97 1 0 1 0.46478
10 1 1 98 1 0 1 0.41504
10 1 1 99 1 0 0 0.38174
10 1 1 100 1 2 1 0.38183
10 1 1 101 1 0 1 0.39841
10 1 1 102 1 0 1 0.33211
10 1 1 103 1 2 1 0.3487
10 1 1 104 1 2 1 0.58102
10 1 1 105 1 2 1 0.51459
10 1 1 106 1 0 1 0.38183
10 1 1 107 1 2 1 0.39842
10 1 1 108 1 2 1 0.56446
10 1 1 109 1 2 0 0.46488
10 1 1 110 1 0 1 0.53118
10 1 1 111 1 0 1 0.39843
10 1 1 112 1 0 1 0.44827
10 1 1 113 1 0 1 0.38188
10 1 1 114 1 2 1 0.36501
10 1 1 115 1 0 1 0.46481
10 1 1 116 1 0 1 0.51457
10 1 1 117 1 0 1 0.33221
10 1 1 118 1 0 1 0.43164
10 1 1 119 1 0 0 0.29887
10 1 1 120 1 2 0 0.38183
10 1 1 121 1 0 1 0.38177
10 1 1 122 1 0 1 0.49797
10 1 1 123 1 0 1 0.4317
10 1 1 124 1 2 1 0.43161
10 1 1 125 1 0 1 0.34861
10 1 1 126 1 2 0 0.34863
10 1 1 127 1 2 0 0.41497
10 1 1 128 1 0 1 0.43171
10 1 1 129 1 0 1 0.34862
10 1 1 130 1 2 1 0.498
10 1 1 131 1 2 1 0.59749
10 1 1 132 1 2 0 0.54777
10 1 1 133 1 0 1 0.36523
10 1 1 134 1 2 1 0.53118
10 1 1 135 1 2 1 0.5809
10 1 1 136 1 2 1 0.4814
10 1 1 137 1 0 1 0.48141
10 1 1 138 1 2 0 0.34865
10 1 1 139 1 0 1 0.34863
10 1 1 140 1 2 0 0.58095
10 1 1 141 1 0 1 0.4814
10 1 1 142 1 2 0 0.38184
10 1 1 143 1 2 1 0.53121
10 1 1 144 1 2 1 0.51442
10 1 1 145 1 0 1 0.49799
10 1 1 146 1 2 0 0.41501
10 1 1 147 1 2 1 0.54769
10 1 1 148 1 0 1 0.46454
10 1 1 149 1 2 1 0.59755
10 1 1 150 1 2 1 0.56436
10 1 1 151 1 2 1 0.56437
10 1 1 152 1 2 1 0.64733
10 1 1 153 1 0 1 0.44817
10 1 1 154 1 2 1 0.53118
10 1 1 155 1 0 1 0.63078
10 1 1 156 1 2 0 0.41504
10 1 1 157 1 2 1 0.49794
10 1 1 158 1 0 1 0.46477
10 1 1 159 1 0 1 0.51464
10 1 1 160 1 0 1 0.46499
10 1 2 1 2 2 1 0.33207
10 1 2 2 2 0 1 0.29891
10 1 2 3 2 0 1 0.31544
10 1 2 4 2 0 1 0.36529
10 1 2 5 2 0 1 0.36532
10 1 2 6 2 0 1 0.29885
10 1 2 7 2 0 1 0.38183
10 1 2 8 2 0 0 0.38183
10 1 2 9 2 2 1 0.38185
10 1 2 10 2 0 1 0.39841
10 1 2 11 2 2 1 0.39849
10 1 2 12 2 2 0 0.3652
10 1 2 13 2 0 1 0.36522
10 1 2 14 2 2 1 0.33212
10 1 2 15 2 2 1 0.34869
10 1 2 16 2 2 1 0.33204
10 1 2 17 2 0 1 0.34864
10 1 2 18 2 2 1 0.36518
10 1 2 19 2 0 1 0.39836
10 1 2 20 2 0 1 0.3652
10 1 2 21 2 0 1 0.31546
10 1 2 22 2 2 0 0.28229
10 1 2 23 2 0 1 0.41503
10 1 2 24 2 0 1 0.34866
10 1 2 25 2 0 1 0.34861
10 1 2 26 2 0 1 0.31546
10 1 2 27 2 0 0 0.33205
10 1 2 28 2 0 1 0.48136
