sub ses blk trl lg5 cond acc rt
10 1 1 1 1 0 1 0.51466
10 1 1 2 1 0 1 0.664
10 1 1 3 1 0 1 0.39849
10 1 1 4 1 0 1 0.44833
10 1 1 5 1 0 1 0.36546
10 1 1 6 1 0 1 0.39847
10 1 1 7 2 0 1 0.39847
10 1 1 8 1 0 1 0.36531
10 1 1 9 2 0 1 0.36531
10 1 1 10 1 0 1 0.4483
10 1 1 11 2 0 1 0.51467
10 1 1 12 1 0 1 0.41511
10 1 1 13 2 0 1 0.3487
10 1 1 14 1 0 1 0.41515
10 1 1 15 2 0 1 0.31559
10 1 1 16 1 0 0 0.38198
10 1 1 17 2 0 1 0.41509
10 1 1 18 2 0 1 0.4317
10 1 1 19 1 0 1 0.46492
10 1 1 20 2 0 1 0.36528
10 1 1 21 2 0 0 0.49814
10 1 1 22 2 0 1 0.41511
10 1 1 23 2 0 0 0.71366
10 1 1 24 2 0 1 0.46495
10 1 1 25 2 0 1 0.3153
10 1 1 26 2 0 1 0.36529
10 1 1 27 2 0 1 0.34869
10 1 1 28 1 0 1 0.36527
10 1 1 29 1 0 1 0.48153
10 1 1 30 2 0 1 0.39856
10 1 1 31 2 0 1 0.51458
10 1 1 32 1 0 1 0.46489
10 1 1 33 2 0 1 0.41506
10 1 1 34 2 0 1 0.46481
10 1 1 35 2 0 1 0.34878
10 1 1 36 1 0 1 0.41515
10 1 1 37 1 0 1 0.56452
10 1 1 38 2 0 1 0.41506
10 1 1 39 1 0 1 0.36532
10 1 1 40 1 0 1 0.31547
10 1 1 41 1 0 1 0.3819
10 1 1 42 1 0 1 0.39861
10 1 1 43 2 0 1 0.4151
10 1 1 44 2 0 1 0.299
10 1 1 45 2 0 1 0.31548
10 1 1 46 2 0 0 0.34877
10 1 1 47 2 0 1 0.39851
10 1 1 48 2 0 1 0.29886
10 1 1 49 1 0 1 0.43169
10 1 1 50 2 0 1 0.33209
10 1 1 51 2 0 0 0.34866
10 1 1 52 1 0 1 0.39856
10 1 1 53 1 0 1 0.3985
10 1 1 54 2 0 1 0.34869
10 1 1 55 2 0 1 0.3155
10 1 1 56 1 0 1 0.38191
10 1 1 57 1 0 1 0.36531
10 1 1 58 2 0 1 0.49806
10 1 1 59 2 0 1 0.39848
10 1 1 60 2 0 1 0.34872
10 1 1 61 1 0 1 0.4148
10 1 1 62 2 0 0 0.38201
10 1 1 63 2 0 1 0.39851
10 1 1 64 1 0 1 0.43166
10 1 1 65 1 0 1 0.87987
10 1 1 66 2 0 1 0.38197
10 1 1 67 1 0 1 0.34875
10 1 1 68 2 0 1 0.36535
10 1 1 69 1 0 1 0.4151
10 1 1 70 2 0 0 0.3653
10 1 1 71 1 0 0 0.48151
10 1 1 72 2 0 1 0.36537
10 1 1 73 2 0 0 0.41508
10 1 1 74 1 0 1 0.46507
10 1 1 75 2 0 1 0.39829
10 1 1 76 1 0 1 0.64742
10 1 1 77 2 0 1 0.36536
10 1 1 78 2 0 1 0.36528
10 1 1 79 2 0 1 0.44828
10 1 1 80 2 0 0 0.44834
10 1 1 81 2 0 1 0.46491
10 1 1 82 1 0 1 0.39854
10 1 1 83 2 0 1 0.34871
10 1 1 84 1 0 1 0.44829
10 1 1 85 2 0 1 0.41512
10 1 1 86 1 0 1 0.41507
10 1 1 87 1 0 0 0.29896
10 1 1 88 1 0 1 0.44829
10 1 1 89 1 0 0 0.33211
10 1 1 90 2 0 1 0.38185
10 1 1 91 1 0 1 0.38196
10 1 1 92 1 0 1 0.39843
10 1 1 93 1 0 0 0.44825
10 1 1 94 2 0 1 0.4483
10 1 1 95 1 0 1 0.3653
10 1 1 96 2 0 1 0.43169
10 1 1 97 1 0 1 0.3986
10 1 1 98 2 0 1 0.39857
10 1 1 99 2 0 1 0.38193
10 1 1 100 2 0 1 0.38183
10 1 1 101 1 0 1 0.38187
10 1 1 102 2 0 1 0.38184
10 1 1 103 2 0 1 0.38191
10 1 1 104 1 0 1 0.49803
10 1 1 105 2 0 1 0.36507
10 1 1 106 1 0 0 0.31552
10 1 1 107 2 0 1 0.33212
10 1 1 108 1 0 1 0.46488
10 1 1 109 1 0 1 0.43169
10 1 1 110 1 0 0 0.36535
10 1 1 111 1 0 1 0.38198
10 1 1 112 1 0 1 0.3819
10 1 1 113 2 0 1 0.5146
10 1 1 114 1 0 1 0.34871
10 1 1 115 1 0 0 0.33202
10 1 1 116 2 0 1 0.41506
10 1 1 117 2 0 1 0.48146
10 1 1 118 1 0 0 0.43169
10 1 1 119 2 0 1 0.46492
10 1 1 120 2 0 1 0.43165
10 1 1 121 2 0 0 0.41504
10 1 1 122 2 0 1 0.28234
10 1 1 123 2 0 1 0.38191
10 1 1 124 1 0 0 0.39858
10 1 1 125 1 0 1 0.43176
10 1 1 126 2 0 1 0.6475
10 1 1 127 2 0 1 0.41509
10 1 1 128 1 0 1 0.44826
10 1 1 129 2 0 1 0.3155
10 1 1 130 1 0 1 0.43159
10 1 1 131 1 0 1 0.39847
10 1 1 132 1 0 0 0.31553
10 1 1 133 1 0 1 0.59765
10 1 1 134 1 0 1 0.44835
10 1 1 135 1 0 1 0.41507
10 1 1 136 2 0 1 0.44828
10 1 1 137 1 0 1 0.43169
10 1 1 138 2 0 1 0.48161
10 1 1 139 2 0 1 0.36528
10 1 1 140 2 0 1 0.34871
