sub ses blk trl arrow cond acc rt
10 1 2 35 1 2 1 0.40733
10 1 2 36 2 2 1 0.42857
10 1 2 37 2 1 1 0.4408
10 1 2 38 1 1 1 0.34206
10 1 2 39 2 2 1 0.33756
10 1 2 40 2 1 1 0.48229
10 1 2 41 2 1 1 0.45642
10 1 2 42 1 1 1 0.38907
10 1 2 43 2 0 1 0.34075
10 1 2 44 1 0 1 0.32326
10 1 2 45 1 1 1 0.51932
10 1 2 46 1 1 1 0.46211
10 1 2 47 2 0 1 0.42702
10 1 2 48 2 0 1 0.4871
10 1 2 49 1 2 1 0.41429
10 1 2 50 1 0 1 0.46679
10 1 2 51 2 0 1 0.36798
10 1 2 52 1 2 1 0.4113
10 1 2 53 2 2 1 0.39188
10 1 2 54 2 1 1 0.47457
10 1 2 55 2 2 1 0.55432
10 1 2 56 2 0 1 0.35285
10 1 2 57 2 0 1 0.34581
10 1 2 58 1 0 1 0.42419
10 1 2 59 1 2 0 0.43526
10 1 2 60 2 0 1 0.35901
10 1 2 61 2 2 0 0.4333
10 1 2 62 2 1 1 0.36544
10 1 2 63 1 1 1 0.38452
10 1 2 64 1 1 1 0.44495
10 1 2 65 2 1 1 0.37925
10 1 2 66 1 0 1 0.34929
10 1 2 67 2 0 1 0.41547
10 1 2 68 2 1 1 0.43773
10 1 2 69 1 1 1 0.36269
10 1 2 70 1 2 0 0.29302
10 1 2 71 1 2 1 0.46222
10 1 2 72 1 2 1 0.9067
10 1 2 73 1 1 1 0.42697
10 1 2 74 1 0 1 0.36212
10 1 2 75 2 2 1 0.41818
10 1 2 76 1 1 1 0.28134
10 1 2 77 2 0 1 0.38449
10 1 2 78 2 0 1 0.41258
10 1 2 79 1 0 1 0.35432
10 1 2 80 2 1 1 0.36453
10 1 2 81 2 2 1 0.39043
10 1 2 82 1 1 1 0.35516
10 1 2 83 1 2 0 0.40551
10 1 2 84 2 0 1 0.38568
10 1 2 85 1 0 1 0.40625
10 1 2 86 2 2 1 0.36141
10 1 2 87 2 2 1 0.41239
10 1 2 88 1 1 1 0.37633
10 1 2 89 1 1 1 0.38278
10 1 2 90 1 0 1 0.40902
10 1 2 91 1 1 1 0.35432
10 1 2 92 2 1 1 0.39133
10 1 2 93 1 1 1 0.40271
10 1 2 94 1 2 0 0.43261
10 1 2 95 1 0 1 0.44212
10 1 2 96 2 0 1 0.39361
10 1 2 97 2 0 1 0.49125
10 1 2 98 2 1 1 0.63312
10 1 2 99 2 0 1 0.38649
10 1 2 100 2 0 1 0.37622
10 1 2 101 1 2 1 0.47468
10 1 2 102 1 0 1 0.40047
10 1 2 103 1 0 1 0.46893
10 1 2 104 2 2 1 0.43324
10 1 2 105 2 1 1 0.45584
10 1 2 106 2 1 1 0.38918
10 1 2 107 2 1 1 0.33499
10 1 2 108 1 2 1 0.37015
10 1 2 109 2 1 1 0.33427
10 1 2 110 1 2 1 0.43298
10 1 2 111 2 2 1 0.34065
10 1 2 112 2 1 1 0.41539
10 1 2 113 2 1 1 0.33398
10 1 2 114 1 1 1 0.34144
10 1 2 115 2 1 1 0.38415
10 1 2 116 2 1 1 0.53346
10 1 2 117 1 2 1 0.46743
10 1 2 118 2 0 1 0.37675
10 1 2 119 1 0 1 0.3394
10 1 2 120 1 1 1 0.43931
10 1 2 121 2 2 1 0.34033
10 1 2 122 2 2 0 0.414
10 1 2 123 1 2 1 0.48337
10 1 2 124 1 2 1 0.41775
10 1 2 125 1 0 1 0.32463
10 1 2 126 1 2 0 0.44704
