sub ses blk trl arrow cond acc rt
10 1 1 1 2 2 0 1.0858
10 1 1 2 2 0 1 1.6114
10 1 1 3 2 1 1 0.8435
10 1 1 4 2 1 1 0.69174
10 1 1 5 1 0 1 0.62035
10 1 1 6 1 1 1 0.56765
10 1 1 7 2 1 1 0.61811
10 1 1 8 2 1 1 0.9617
10 1 1 9 2 0 1 0.46589
10 1 1 10 2 0 1 0.43222
10 1 1 11 1 0 1 0.44326
10 1 1 12 1 0 1 0.41784
10 1 1 13 1 0 1 0.39889
10 1 1 14 1 2 1 0.68168
10 1 1 15 2 0 1 0.50903
10 1 1 16 2 2 1 0.57972
10 1 1 17 1 1 1 0.44687
10 1 1 18 2 1 1 0.61581
10 1 1 19 1 2 1 0.8812
10 1 1 20 1 2 1 0.57802
10 1 1 21 2 2 1 0.60978
10 1 1 22 1 2 1 0.42676
10 1 1 23 2 0 1 0.34377
10 1 1 24 2 0 1 0.4124
10 1 1 25 1 2 1 0.48654
10 1 1 26 1 2 1 0.392
10 1 1 27 1 1 1 0.4355
10 1 1 28 1 2 1 0.4481
10 1 1 29 2 1 1 0.46819
10 1 1 30 2 0 1 0.39484
10 1 1 31 1 2 1 0.47171
10 1 1 32 2 2 1 0.59469
10 1 1 33 1 1 1 0.81056
10 1 1 34 2 0 1 0.43359
10 1 1 35 1 2 1 0.41449
10 1 1 36 1 0 1 0.44327
10 1 1 37 1 2 1 0.75116
10 1 1 38 1 2 1 0.63551
10 1 1 39 1 2 1 0.64559
10 1 1 40 1 1 1 0.56134
10 1 1 41 2 1 1 0.53557
10 1 1 42 2 2 0 0.47153
10 1 1 43 1 2 1 0.54111
10 1 1 44 2 0 1 0.82861
10 1 1 45 1 0 1 0.55503
10 1 1 46 1 1 1 0.50625
10 1 1 47 1 1 1 0.4257
10 1 1 48 2 1 1 0.46971
10 1 1 49 2 1 1 0.35562
10 1 1 50 2 2 1 0.57405
10 1 1 51 2 0 1 0.39361
10 1 1 52 2 1 1 0.37083
10 1 1 53 1 0 1 0.51179
10 1 1 54 2 0 1 0.58167
10 1 1 55 1 2 1 0.73586
10 1 1 56 2 1 1 0.47293
10 1 1 57 2 2 1 0.58586
10 1 1 58 2 0 1 0.39963
10 1 1 59 1 2 1 0.67415
10 1 1 60 1 0 1 0.41557
10 1 1 61 2 2 1 0.53047
10 1 1 62 1 1 1 0.50423
