sub ageGroup block trialType cond stim acc rt
101 1 block3 exp neutral $$$$ 1 0.575467
101 1 block3 exp congruent 333 1 0.532301
101 1 block3 exp incongruent 3 1 0.435123
101 1 block3 exp neutral $ 1 0.565266
101 1 block3 exp congruent 22 1 0.426771
101 1 block3 exp incongruent 44 1 0.637572
101 1 block3 exp congruent 22 1 0.462771
101 1 block3 exp congruent 4444 1 0.528247
101 1 block3 exp incongruent 222 0 0.599079
101 1 block3 exp incongruent 44 1 0.435272
101 1 block3 exp incongruent 3 1 0.685416
101 1 block3 exp neutral $ 1 0.373648
101 1 block3 exp neutral $$$ 1 0.67443
101 1 block3 exp neutral $ 1 0.475307
101 1 block3 exp incongruent 1111 1 0.580134
101 1 block3 exp neutral $$$ 1 0.407972
101 1 block3 exp congruent 333 0 0.507461
101 1 block3 exp incongruent 222 1 0.874922
101 1 block3 exp incongruent 1111 1 0.691904
101 1 block3 exp congruent 1 1 0.548111
101 1 block3 exp congruent 4444 1 0.442272
101 1 block3 exp neutral $$ 1 0.548414
101 1 block3 exp incongruent 222 1 0.489614
101 1 block3 exp incongruent 44 1 0.601776
101 1 block3 exp incongruent 3 1 0.541254
101 1 block3 exp congruent 4444 0 0.523466
101 1 block3 exp incongruent 1111 1 0.642291
101 1 block3 exp neutral $$$ 1 0.692527
101 1 block3 exp incongruent 1111 1 0.612733
101 1 block3 exp neutral $$ 1 0.752264
101 1 block3 exp congruent 4444 1 0.525871
101 1 block3 exp congruent 1 1 0.467696
101 1 block3 exp congruent 4444 1 0.572508
101 1 block3 exp congruent 1 1 0.409326
101 1 block3 exp neutral $$ 1 0.540753
101 1 block3 exp congruent 22 1 0.410977
101 1 block3 exp congruent 1 1 0.48644
101 1 block3 exp neutral $ 1 0.470595
101 1 block3 exp congruent 1 1 0.37539
101 1 block3 exp neutral $$$ 1 0.76417
101 1 block3 exp neutral $$$$ 1 0.624765
101 1 block4 warm-up neutral $$$$ 0 1.995007
101 1 block4 warm-up incongruent 44 0 0.717096
101 1 block4 exp congruent 4444 1 0.572024
101 1 block4 exp incongruent 44 0 0.592858
101 1 block4 exp incongruent 3 1 0.629076
101 1 block4 exp congruent 1 1 0.415961
101 1 block4 exp neutral $ 1 0.499387
101 1 block4 exp incongruent 44 0 0.587545
101 1 block4 exp congruent 4444 1 0.575752
101 1 block4 exp neutral $$$$ 1 0.555575
101 1 block4 exp neutral $ 1 0.48108
101 1 block4 exp incongruent 222 0 0.649899
101 1 block4 exp congruent 333 1 0.548131
101 1 block4 exp neutral $$$$ 1 0.490294
101 1 block4 exp congruent 1 1 0.458455
101 1 block4 exp congruent 333 1 0.531927
101 1 block4 exp congruent 1 1 0.498775
101 1 block4 exp neutral $$ 0 0.43492
101 1 block4 exp congruent 1 1 0.372036
101 1 block4 exp incongruent 222 0 0.552843
101 1 block4 exp congruent 22 1 0.510334
101 1 block4 exp incongruent 3 1 0.58981
101 1 block4 exp neutral $$$ 1 0.482018
101 1 block4 exp neutral $$$$ 1 0.602826
101 1 block4 exp incongruent 222 1 0.526339
101 1 block4 exp neutral $$$ 1 0.405194
101 1 block4 exp neutral $$$$ 1 0.520644
101 1 block4 exp congruent 22 1 0.542459
101 1 block4 exp congruent 4444 1 0.49262
101 1 block4 exp incongruent 44 1 0.564803
101 1 block4 exp incongruent 1111 1 0.490312
101 1 block4 exp incongruent 222 1 0.514458
101 1 block4 exp congruent 4444 1 0.537953
101 1 block4 exp neutral $$$ 1 0.496121
101 1 block4 exp incongruent 1111 1 0.552292
101 1 block4 exp neutral $ 1 0.484778
101 1 block4 exp incongruent 3 1 0.420951
101 1 block4 exp incongruent 44 0 0.487705
101 1 block4 exp incongruent 1111 1 0.471883
101 1 block4 exp congruent 333 1 0.520704
101 1 block4 exp incongruent 3 1 0.575539
101 1 block4 exp neutral $$ 1 0.636388
101 1 block4 exp congruent 22 1 0.550598
101 1 block4 exp congruent 1 1 0.459108
101 1 block4 exp congruent 22 1 0.484598
101 1 block4 exp neutral $$ 1 0.428731
101 1 block4 exp congruent 333 1 0.407523
101 1 block4 exp congruent 22 1 0.426953
101 1 block4 exp neutral $ 1 0.333771
101 1 block4 exp incongruent 1111 1 0.579869
101 1 block4 exp neutral $$ 1 0.488679
101 1 block4 exp neutral $$$ 1 0.464862
101 1 block4 exp incongruent 3 1 0.466338
101 1 block4 exp neutral $$$ 0 0.570815
101 1 block4 exp congruent 333 1 0.415683
101 1 block4 exp incongruent 222 1 0.419108
101 1 block4 exp incongruent 1111 1 0.565912
101 1 block4 exp neutral $ 1 0.531405
101 1 block4 exp congruent 1 1 0.410268
101 1 block4 exp incongruent 3 1 0.333712
101 1 block4 exp congruent 333 1 0.620445
101 1 block4 exp congruent 22 1 0.526318
101 1 block4 exp congruent 4444 1 0.501166
101 1 block4 exp neutral $$$$ 1 0.492651
101 1 block4 exp neutral $$ 1 0.492865
101 1 block4 exp neutral $ 1 0.460955
101 1 block4 exp congruent 4444 1 0.438411
101 1 block4 exp incongruent 44 1 0.432568
101 1 block4 exp incongruent 1111 1 0.443358
101 1 block4 exp incongruent 222 0 0.477464
101 1 block4 exp neutral $$$ 1 0.477299
101 1 block4 exp neutral $$ 1 0.686107
101 1 block4 exp neutral $$$$ 1 0.558359
101 1 block4 exp incongruent 44 1 0.451876
102 1 practice exp congruent 333 1 1.592142
102 1 practice exp neutral $$ 1 1.204652
102 1 practice exp neutral $$$$ 1 0.66437
102 1 practice exp congruent 4444 1 0.552894
102 1 practice exp neutral $$$$ 1 0.742385
102 1 practice exp incongruent 222 1 0.996641
102 1 practice exp incongruent 3 1 0.896967
102 1 practice exp congruent 333 1 1.481264
102 1 practice exp neutral $$$ 1 0.530447
102 1 practice exp neutral $ 1 0.817292
102 1 practice exp neutral $$ 1 0.851218
102 1 practice exp incongruent 44 1 0.812805
102 1 practice exp incongruent 222 1 0.792381
102 1 practice exp congruent 1 1 0.652614
102 1 practice exp congruent 4444 1 0.678168
102 1 practice exp incongruent 44 1 0.751089
102 1 practice exp incongruent 3 1 0.804621
102 1 practice exp neutral $ 1 0.616213
102 1 practice exp incongruent 1111 1 0.658685
102 1 practice exp neutral $$$ 1 0.692264
102 1 practice exp congruent 22 1 0.732478
102 1 practice exp congruent 1 1 0.523315
102 1 practice exp congruent 22 1 0.64215
102 1 practice exp incongruent 1111 1 0.884339
102 1 block1 warm-up incongruent 222 1 1.020973
102 1 block1 warm-up neutral $ 1 0.631941
102 1 block1 exp congruent 22 1 0.666822
102 1 block1 exp incongruent 3 1 0.66837
102 1 block1 exp neutral $$ 1 0.7412
102 1 block1 exp neutral $ 1 0.651467
102 1 block1 exp neutral $$$$ 1 0.596985
102 1 block1 exp neutral $ 1 0.584205
102 1 block1 exp congruent 4444 1 0.836306
102 1 block1 exp incongruent 1111 1 0.654578
