subject,session,date,time,condition,block,trial,rt,wait_time,probe_resp
9003,1,10/03/22,10:33,grey,real,13,0.3915341,2000,NA
9003,1,10/03/22,10:33,grey,real,14,0.298649,3000,NA
9003,1,10/03/22,10:33,grey,real,15,0,7500,NA
9003,1,10/03/22,10:33,grey,real,16,0.3590993,8000,1
9003,1,10/03/22,10:33,grey,real,17,0.3678051,5000,NA
9003,1,10/03/22,10:33,grey,real,18,0.3558415,4500,NA
9003,1,10/03/22,10:33,grey,real,19,0.3291737,7000,NA
9003,1,10/03/22,10:33,grey,real,20,0.3484591,6500,NA
9003,1,10/03/22,10:33,grey,real,21,0.3907172,6000,NA
9003,1,10/03/22,10:33,grey,real,22,0.4032029,4500,NA
9003,1,10/03/22,10:33,grey,real,23,0.3237085,7000,NA
9003,1,10/03/22,10:33,grey,real,24,0,3500,1
9003,1,10/03/22,10:33,grey,real,25,0.331096,7500,NA
9003,1,10/03/22,10:33,grey,real,26,0.381398,5500,NA
9003,1,10/03/22,10:33,grey,real,27,0.3956063,4500,NA
9003,1,10/03/22,10:33,grey,real,28,0.358561,5500,NA
9003,1,10/03/22,10:33,grey,real,29,0.4639465,2000,NA
9003,1,10/03/22,10:33,grey,real,30,0.3304189,6500,NA
9003,1,10/03/22,10:33,grey,real,31,0.669418,2500,NA
9003,1,10/03/22,10:33,grey,real,32,0.4017877,2000,3
9003,1,10/03/22,10:33,grey,real,33,0.3345596,4500,NA
9003,1,10/03/22,10:33,grey,real,34,0.4061564,2500,NA
9003,1,10/03/22,10:33,grey,real,35,0.3282098,5500,NA
9003,1,10/03/22,10:33,grey,real,36,0.3905239,4000,NA
9003,1,10/03/22,10:33,grey,real,37,0.3285313,8000,NA
9003,1,10/03/22,10:33,grey,real,38,0.3591461,5500,NA
9003,1,10/03/22,10:33,grey,real,39,0.3458426,6500,NA
9003,1,10/03/22,10:33,grey,real,40,0.463507,3500,1
9003,1,10/03/22,10:33,grey,real,41,0,3000,NA
9003,1,10/03/22,10:33,grey,real,42,0.4140244,3000,NA
