subject,session,date,time,condition,block,sub_block,trial,subtrial,rt,acc
9001,2,10/24/22,09:19,practice,0,1,1,1,491.5483,1
9001,2,10/24/22,09:19,practice,0,1,2,2,395.6386,1
9001,2,10/24/22,09:19,practice,0,1,3,3,366.6481,1
9001,2,10/24/22,09:19,practice,0,1,4,4,344.0543,1
9001,2,10/24/22,09:19,practice,0,1,5,5,607.7949,1
9001,2,10/24/22,09:19,practice,0,1,6,6,462.4242,1
9001,2,10/24/22,09:19,practice,0,1,7,7,367.7837,1
9001,2,10/24/22,09:19,practice,0,1,8,8,623.5468,1
9001,2,10/24/22,09:19,random,1,1,1,1,378.7924,1
9001,2,10/24/22,09:19,random,1,1,2,2,341.7652,1
9001,2,10/24/22,09:19,random,1,1,3,3,416.262,1
9001,2,10/24/22,09:19,random,1,1,4,4,351.4002,1
9001,2,10/24/22,09:19,random,1,1,5,5,362.5738,1
9001,2,10/24/22,09:19,random,1,1,6,6,353.9842,1
9001,2,10/24/22,09:19,random,1,1,7,7,350.1444,1
9001,2,10/24/22,09:19,random,1,1,8,8,423.0367,1
9001,2,10/24/22,09:19,random,1,1,9,9,381.9726,0
9001,2,10/24/22,09:19,random,1,1,10,10,630.767,1
9001,2,10/24/22,09:19,random,2,1,11,1,392.8864,1
9001,2,10/24/22,09:19,random,2,1,12,2,387.4818,1
9001,2,10/24/22,09:19,random,2,1,13,3,446.0449,1
9001,2,10/24/22,09:19,random,2,1,14,4,495.6853,1
9001,2,10/24/22,09:19,random,2,1,15,5,455.4305,1
9001,2,10/24/22,09:19,random,2,1,16,6,503.3785,1
9001,2,10/24/22,09:19,random,2,1,17,7,434.0952,1
9001,2,10/24/22,09:19,random,2,1,18,8,443.0711,1
9001,2,10/24/22,09:19,random,2,1,19,9,347.6718,1
9001,2,10/24/22,09:19,random,2,1,20,10,385.3433,1
9001,2,10/24/22,09:19,random,3,1,21,1,433.5327,1
9001,2,10/24/22,09:19,random,3,1,22,2,367.9952,1
9001,2,10/24/22,09:19,random,3,1,23,3,549.7265,1
9001,2,10/24/22,09:19,random,3,1,24,4,369.5388,1
9001,2,10/24/22,09:19,random,3,1,25,5,411.6819,1
9001,2,10/24/22,09:19,random,3,1,26,6,461.05,1
9001,2,10/24/22,09:19,random,3,1,27,7,498.5007,1
9001,2,10/24/22,09:19,random,3,1,28,8,544.8221,1
9001,2,10/24/22,09:19,random,3,1,29,9,455.8349,1
9001,2,10/24/22,09:19,random,3,1,30,10,429.0365,1
9001,2,10/24/22,09:19,random,4,1,31,1,402.8246,1
9001,2,10/24/22,09:19,random,4,1,32,2,434.2443,1
9001,2,10/24/22,09:19,random,4,1,33,3,394.0785,1
9001,2,10/24/22,09:19,random,4,1,34,4,514.5673,1
9001,2,10/24/22,09:19,random,4,1,35,5,407.7211,1
9001,2,10/24/22,09:19,random,4,1,36,6,421.046,1
9001,2,10/24/22,09:19,random,4,1,37,7,427.8897,1
9001,2,10/24/22,09:19,random,4,1,38,8,477.4438,1
9001,2,10/24/22,09:19,random,4,1,39,9,508.6294,1
9001,2,10/24/22,09:19,random,4,1,40,10,494.206,1
9001,2,10/24/22,09:19,random,5,1,41,1,433.9579,1
9001,2,10/24/22,09:19,random,5,1,42,2,405.5798,0
9001,2,10/24/22,09:19,random,5,1,43,3,585.1705,1
9001,2,10/24/22,09:19,random,5,1,44,4,440.2737,1
9001,2,10/24/22,09:19,random,5,1,45,5,421.4443,1
9001,2,10/24/22,09:19,random,5,1,46,6,528.5983,1
9001,2,10/24/22,09:19,random,5,1,47,7,479.3965,1
9001,2,10/24/22,09:19,random,5,1,48,8,1548.4646,1
9001,2,10/24/22,09:19,random,5,1,49,9,601.0272,1
9001,2,10/24/22,09:19,random,5,1,50,10,700.4118,1
9002,2,10/24/22,09:34,practice,0,1,1,1,532.2429,1
9002,2,10/24/22,09:34,practice,0,1,2,2,385.4613,1
9002,2,10/24/22,09:34,practice,0,1,3,3,458.1295,1
9002,2,10/24/22,09:34,practice,0,1,4,4,555.8646,1
9002,2,10/24/22,09:34,practice,0,1,5,5,528.9819,1
9002,2,10/24/22,09:34,practice,0,1,6,6,506.9405,1
9002,2,10/24/22,09:34,practice,0,1,7,7,588.2555,1
9002,2,10/24/22,09:34,practice,0,1,8,8,458.6417,1
9002,2,10/24/22,09:34,random,1,1,1,1,410.0623,1
9002,2,10/24/22,09:34,random,1,1,2,2,343.0294,1
9002,2,10/24/22,09:34,random,1,1,3,3,370.1069,1
9002,2,10/24/22,09:34,random,1,1,4,4,362.3343,1
9002,2,10/24/22,09:34,random,1,1,5,5,368.5713,1
9002,2,10/24/22,09:34,random,1,1,6,6,433.1356,1
9002,2,10/24/22,09:34,random,1,1,7,7,364.1712,1
9002,2,10/24/22,09:34,random,1,1,8,8,410.2582,1
9002,2,10/24/22,09:34,random,1,1,9,9,448.2057,1
9002,2,10/24/22,09:34,random,1,1,10,10,477.2323,1
9002,2,10/24/22,09:34,random,2,1,11,1,532.8475,1
9002,2,10/24/22,09:34,random,2,1,12,2,365.2908,1
9002,2,10/24/22,09:34,random,2,1,13,3,494.5638,1
9002,2,10/24/22,09:34,random,2,1,14,4,562.3032,1
9002,2,10/24/22,09:34,random,2,1,15,5,803.2928,1
9002,2,10/24/22,09:34,random,2,1,16,6,749.199,1
9002,2,10/24/22,09:34,random,2,1,17,7,569.7179,1
9002,2,10/24/22,09:34,random,2,1,18,8,340.7794,1
9002,2,10/24/22,09:34,random,2,1,19,9,443.2844,1
9002,2,10/24/22,09:34,random,2,1,20,10,540.8331,1
9002,2,10/24/22,09:34,random,3,1,21,1,559.6444,1
9002,2,10/24/22,09:34,random,3,1,22,2,341.3673,1
9002,2,10/24/22,09:34,random,3,1,23,3,423.9787,1
9002,2,10/24/22,09:34,random,3,1,24,4,399.7439,1
9002,2,10/24/22,09:34,random,3,1,25,5,621.587,1
9002,2,10/24/22,09:34,random,3,1,26,6,385.4614,1
9002,2,10/24/22,09:34,random,3,1,27,7,408.4887,1
9002,2,10/24/22,09:34,random,3,1,28,8,486.5534,1
9002,2,10/24/22,09:34,random,3,1,29,9,435.2028,0
9002,2,10/24/22,09:34,random,3,1,30,10,2.5429,0
9002,2,10/24/22,09:34,random,4,1,31,1,442.5601,1
9002,2,10/24/22,09:34,random,4,1,32,2,566.9568,1
9002,2,10/24/22,09:34,random,4,1,33,3,318.551,1
9002,2,10/24/22,09:34,random,4,1,34,4,490.4138,1
9002,2,10/24/22,09:34,random,4,1,35,5,440.5606,1
9002,2,10/24/22,09:34,random,4,1,36,6,748.6569,1
9002,2,10/24/22,09:34,random,4,1,37,7,470.6023,1
9002,2,10/24/22,09:34,random,4,1,38,8,681.52,1
9002,2,10/24/22,09:34,random,4,1,39,9,582.6049,1
9002,2,10/24/22,09:34,random,4,1,40,10,366.8992,1
9002,2,10/24/22,09:34,random,5,1,41,1,554.7314,1
9002,2,10/24/22,09:34,random,5,1,42,2,455.9473,1
9002,2,10/24/22,09:34,random,5,1,43,3,301.6963,1
9002,2,10/24/22,09:34,random,5,1,44,4,398.5171,1
9002,2,10/24/22,09:34,random,5,1,45,5,532.8242,1
9002,2,10/24/22,09:34,random,5,1,46,6,483.1778,1
9002,2,10/24/22,09:34,random,5,1,47,7,454.887,1
9002,2,10/24/22,09:34,random,5,1,48,8,481.8037,1
9002,2,10/24/22,09:34,random,5,1,49,9,461.814,1
9002,2,10/24/22,09:34,random,5,1,50,10,329.053,1
9003,2,10/24/22,10:09,practice,0,1,1,1,767.7252,1
9003,2,10/24/22,10:09,practice,0,1,2,2,389.2831,1
9003,2,10/24/22,10:09,practice,0,1,3,3,422.156,1
9003,2,10/24/22,10:09,practice,0,1,4,4,366.0401,1
9003,2,10/24/22,10:09,practice,0,1,5,5,590.1259,1
9003,2,10/24/22,10:09,practice,0,1,6,6,359.2073,1
9003,2,10/24/22,10:09,practice,0,1,7,7,341.5128,1
9003,2,10/24/22,10:09,practice,0,1,8,8,470.1858,1
9003,2,10/24/22,10:09,random,1,1,1,1,357.3048,1
9003,2,10/24/22,10:09,random,1,1,2,2,347.8278,1
9003,2,10/24/22,10:09,random,1,1,3,3,333.7785,1
9003,2,10/24/22,10:09,random,1,1,4,4,392.9121,1
9003,2,10/24/22,10:09,random,1,1,5,5,311.2508,1
9003,2,10/24/22,10:09,random,1,1,6,6,319.6065,1
9003,2,10/24/22,10:09,random,1,1,7,7,329.7046,1
9003,2,10/24/22,10:09,random,1,1,8,8,356.4751,1
9003,2,10/24/22,10:09,random,1,1,9,9,290.9132,1
9003,2,10/24/22,10:09,random,1,1,10,10,287.3869,1
9003,2,10/24/22,10:09,random,2,1,11,1,313.1855,1
