subject,session,date,time,list,phase,serial_position,cue,target,rt,correct,...11,...12,...13,...14,...15,...16
9001,1,10/10/2022,09:00:00,10,recall,4,NA,carol,48952.4639,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,1,NA,novel,3009.7837,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,5,NA,beach,2079.3844,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,5,NA,bathe,1622.263,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,7,NA,ebony,2113.3674,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,10,NA,venue,1928.8349,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,9,NA,vista,3516.6808,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,9,NA,juice,23995.9503,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,1,recall,9,NA,venom,6482.6478,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,2,recall,1,NA,music,2575.5132,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,2,recall,2,NA,angel,1530.1026,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,2,recall,2,NA,interest,2674.4074,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,2,recall,4,NA,thing,2189.8946,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,2,recall,5,NA,straw,2132.02,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,2,recall,5,NA,bite,31102.5642,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,3,recall,1,NA,bread,2704.7476,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,3,recall,2,NA,mason,1695.3236,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,3,recall,3,NA,booth,1560.8781,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,3,recall,4,NA,tiger,2259.1655,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,3,recall,8,NA,hobby,4256.331,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,3,recall,9,NA,grove,4560.4695,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,3,recall,9,NA,fruit,14599.5356,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,4,recall,1,NA,hobby,2103.056,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,4,recall,5,NA,metro,4472.6107,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,4,recall,5,NA,gas,1312.4346,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,4,recall,10,NA,karma,1667.1641,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,4,recall,4,NA,youth,11462.6639,1,NA,NA,NA,NA,NA,NA
