subject,session,block,trial,subtrial,trialtype,setsize,resp,acc,rt,proberesp
9001,1,real,47,47,nochange,6,j,0,3348.6986,NA
9001,1,real,48,48,nochange,6,f,1,1339.3033,5
9001,1,real,49,49,nochange,6,f,1,1419.7884,NA
9001,1,real,50,50,change,6,j,1,2432.7567,NA
9001,1,real,51,51,change,6,f,0,1599.4548,NA
9001,1,real,52,52,nochange,6,f,1,3592.3197,NA
9001,1,real,53,53,change,6,j,1,2039.0695,NA
9001,1,real,54,54,change,6,j,1,5492.7226,NA
9001,1,real,55,55,nochange,6,f,1,3381.2176,NA
9001,1,real,56,56,nochange,6,f,1,1694.0667,3
9001,1,real,57,57,nochange,6,f,1,1782.859,NA
9001,1,real,58,58,nochange,6,f,1,1804.3825,NA
9001,1,real,59,59,change,6,f,0,3107.0108,NA
9001,1,real,60,60,change,6,j,1,4477.5706,NA
9002,1,practice,0,1,nochange,6,j,0,2095.4376,NA
9002,1,practice,0,2,nochange,6,f,1,3402.4829,NA
9002,1,practice,0,3,nochange,6,f,1,1419.2233,NA
9002,1,practice,0,4,change,6,j,1,1394.4489,NA
9002,1,practice,0,5,change,6,j,1,1623.6946,NA
9002,1,practice,0,6,change,6,j,1,1925.803,NA
9002,1,real,1,1,change,6,j,1,2905.4207,NA
9002,1,real,2,2,change,6,j,1,1571.4577,NA
9002,1,real,3,3,change,6,j,1,1796.1495,NA
9002,1,real,4,4,change,6,j,1,2292.084,NA
9002,1,real,5,5,nochange,6,f,1,2061.6746,NA
9002,1,real,6,6,nochange,6,j,0,4903.4668,NA
9002,1,real,7,7,nochange,6,f,1,1375.7918,NA
9002,1,real,8,8,change,6,j,1,1468.8245,2
9002,1,real,9,9,change,6,j,1,1285.8404,NA
9002,1,real,10,10,change,6,j,1,1494.0906,NA
9002,1,real,11,11,change,6,j,1,1788.4881,NA
9002,1,real,12,12,change,6,j,1,1708.5969,NA
9002,1,real,13,13,nochange,6,f,1,2566.9944,NA
