subject,session,date,time,block,trial,string,match,rt,acc,target_length,total_correct
9001,1,10/10/22,10:42,0,1,687_____687,match,1866.6534,1,3,NA
9001,1,10/10/22,10:42,0,2,345269875_____3485269875,nonmatch,2364.6418,1,9,NA
9001,1,10/10/22,10:42,0,3,342_____349,nonmatch,982.4674,1,3,NA
9001,1,10/10/22,10:42,0,4,231459_____123759,nonmatch,1180.7384,1,6,NA
9001,1,10/10/22,10:42,0,5,798135_____798135,match,984.2585,1,6,NA
9001,1,10/10/22,10:42,0,6,168735925_____168735925,match,1086.2626,1,9,NA
9001,1,10/10/22,10:42,1,1,456902_____456902,match,1786.81,1,6,1
9001,1,10/10/22,10:42,1,2,457328019_____456328019,nonmatch,1952.9914,1,9,2
9001,1,10/10/22,10:42,1,3,678_____678,match,857.6593,1,3,3
9001,1,10/10/22,10:42,1,4,129607_____129607,match,1216.1093,1,6,4
9001,1,10/10/22,10:42,1,5,825031764_____895031764,nonmatch,2036.4768,0,9,4
9001,1,10/10/22,10:42,1,6,145307_____145307,match,1271.9223,1,6,5
9001,1,10/10/22,10:42,1,7,816539270_____816539270,match,1856.2382,1,9,6
9001,1,10/10/22,10:42,1,8,405_____402,nonmatch,873.7975,1,3,7
9001,1,10/10/22,10:42,1,9,507412689_____507412689,match,1870.2695,1,9,8
9001,1,10/10/22,10:42,1,10,301_____301,match,685.0183,1,3,9
9001,1,10/10/22,10:42,1,11,637_____607,nonmatch,891.87,1,3,10
9001,1,10/10/22,10:42,1,12,287564_____237564,nonmatch,1232.2298,1,6,11
9001,1,10/10/22,10:42,1,13,386092517_____386092517,match,2104.005,1,9,12
9001,1,10/10/22,10:42,1,14,203817546_____203819546,nonmatch,2519.415,1,9,13
9001,1,10/10/22,10:42,1,15,468375_____462375,nonmatch,1520.4208,1,6,14
9001,1,10/10/22,10:42,1,16,739_____739,match,1144.0604,1,3,15
9001,1,10/10/22,10:42,2,1,237641085_____237641085,match,2200.1392,1,2,16
9001,1,10/10/22,10:42,2,2,680257491_____683257491,nonmatch,1947.3631,1,2,17
9001,1,10/10/22,10:42,2,3,124_____124,match,886.3445,1,2,18
