subject,session,date,time,item,acc,rt
9013,2,10/19/22,10:06,9,0,13890.077
9013,2,10/19/22,10:06,10,0,34802.0996
9013,2,10/19/22,10:06,11,0,45693.0089
9013,2,10/19/22,10:06,12,1,14046.2408
9013,2,10/19/22,10:06,13,1,20767.9491
9013,2,10/19/22,10:06,14,0,28431.1631
9013,2,10/19/22,10:06,15,0,26415.8706
9014,2,10/19/22,10:30,1,1,4703.2378
9014,2,10/19/22,10:30,2,1,9811.134
9014,2,10/19/22,10:30,3,1,7594.3637
9014,2,10/19/22,10:30,4,1,10228.372
9014,2,10/19/22,10:30,5,0,30761.6739
9014,2,10/19/22,10:30,6,0,35820.5655
9014,2,10/19/22,10:30,7,0,10529.2963
9014,2,10/19/22,10:30,8,1,14436.461
9014,2,10/19/22,10:30,9,0,43235.6772
9014,2,10/19/22,10:30,10,1,18437.2962
9014,2,10/19/22,10:30,11,0,16029.4216
9014,2,10/19/22,10:30,12,1,11975.0621
9014,2,10/19/22,10:30,13,0,24428.8962
9014,2,10/19/22,10:30,14,0,11414.5176
9014,2,10/19/22,10:30,15,0,NA
9015,2,10/19/22,12:56,1,1,5981.2034
9015,2,10/19/22,12:56,2,1,22433.8602
9015,2,10/19/22,12:56,3,1,7110.6386
9015,2,10/19/22,12:56,4,1,3691.2879
9015,2,10/19/22,12:56,5,0,37281.272
9015,2,10/19/22,12:56,6,0,32059.7159
9015,2,10/19/22,12:56,7,1,10030.0728
9015,2,10/19/22,12:56,8,1,24446.4138
9015,2,10/19/22,12:56,9,1,51372.8682
9015,2,10/19/22,12:56,10,1,24972.862
9015,2,10/19/22,12:56,11,0,NA
9016,2,10/19/22,12:46,1,1,17081.7104
9016,2,10/19/22,12:46,2,0,7873.0007
9016,2,10/19/22,12:46,3,0,11081.4666
9016,2,10/19/22,12:46,4,1,4431.9341
9016,2,10/19/22,12:46,5,0,10277.8966
9016,2,10/19/22,12:46,6,1,3783.8524
9016,2,10/19/22,12:46,7,1,17396.9583
9016,2,10/19/22,12:46,8,0,1418.2873
9016,2,10/19/22,12:46,9,1,404.5777
9016,2,10/19/22,12:46,10,1,26815.2184
9016,2,10/19/22,12:46,11,0,31646.6531
9016,2,10/19/22,12:46,12,0,2988.7309
9016,2,10/19/22,12:46,13,1,309.6962
9016,2,10/19/22,12:46,14,0,2811.3313
9016,2,10/19/22,12:46,15,1,3786.4725
9017,2,10/19/22,12:46,1,1,7797.4007
9017,2,10/19/22,12:46,2,1,8526.7283
9017,2,10/19/22,12:46,3,1,6311.6444
9017,2,10/19/22,12:46,4,1,11232.0515
9017,2,10/19/22,12:46,5,0,2979.6814
9017,2,10/19/22,12:46,6,1,790.9567
9017,2,10/19/22,12:46,7,0,NA
9017,2,10/19/22,12:46,8,1,662.9796
9017,2,10/19/22,12:46,9,1,680.8257
9017,2,10/19/22,12:46,10,0,565.9889
9017,2,10/19/22,12:46,11,1,1032.539
9017,2,10/19/22,12:46,12,0,671.5054
9017,2,10/19/22,12:46,13,0,684.6274
9017,2,10/19/22,12:46,14,0,574.3369
9017,2,10/19/22,12:46,15,1,5436.2449
9018,2,10/19/22,16:12,1,1,9435.4574
9018,2,10/19/22,16:12,2,1,13390.7353
9018,2,10/19/22,16:12,3,1,6774.3112
9018,2,10/19/22,16:12,4,1,3316.954
9018,2,10/19/22,16:12,5,0,50413.4879
9018,2,10/19/22,16:12,6,0,45668.728
9018,2,10/19/22,16:12,7,1,11751.4825
9018,2,10/19/22,16:12,8,1,18076.3257
9018,2,10/19/22,16:12,9,0,25564.6787
9018,2,10/19/22,16:12,10,1,18238.6773
9018,2,10/19/22,16:12,11,0,19945.6269
9018,2,10/19/22,16:12,12,0,11390.5363
9018,2,10/19/22,16:12,13,1,16146.4438
9018,2,10/19/22,16:12,14,0,7560.2662
9018,2,10/19/22,16:12,15,0,NA
9019,2,10/19/22,16:04,1,1,10164.2663
9019,2,10/19/22,16:04,2,1,14635.8896
9019,2,10/19/22,16:04,3,1,21722.3621
9019,2,10/19/22,16:04,4,1,6952.3627
9019,2,10/19/22,16:04,5,0,21381.887
9019,2,10/19/22,16:04,6,0,20041.5435
9019,2,10/19/22,16:04,7,1,15066.2087
9019,2,10/19/22,16:04,8,0,29288.9866
9019,2,10/19/22,16:04,9,0,35925.4506
9019,2,10/19/22,16:04,10,1,34927.117
9019,2,10/19/22,16:04,11,1,35991.67
