subject,session,date,time,block,list,setsize,symmetryerrors,spantotal,symspantotal
9003,1,10/3/2022,10:07,realblock,1,5,1,5,5
9003,1,10/3/2022,10:07,realblock,2,3,0,3,8
9003,1,10/3/2022,10:07,realblock,3,2,0,2,10
9003,1,10/3/2022,10:07,realblock,4,4,0,2,12
9003,1,10/3/2022,10:07,realblock,5,4,0,1,13
9003,1,10/3/2022,10:07,realblock,6,3,0,2,15
9003,1,10/3/2022,10:07,realblock,7,2,0,2,17
9003,1,10/3/2022,10:07,realblock,8,5,0,0,17
9004,1,10/3/2022,12:41,realblock,1,3,0,3,3
9004,1,10/3/2022,12:41,realblock,2,5,0,5,8
9004,1,10/3/2022,12:41,realblock,3,5,0,5,13
9004,1,10/3/2022,12:41,realblock,4,4,0,4,17
9004,1,10/3/2022,12:41,realblock,5,3,0,3,20
9004,1,10/3/2022,12:41,realblock,6,4,0,2,22
9004,1,10/3/2022,12:41,realblock,7,2,1,2,24
9004,1,10/3/2022,12:41,realblock,8,2,0,2,26
9005,1,10/3/2022,12:54,realblock,1,2,0,2,2
9005,1,10/3/2022,12:54,realblock,2,3,0,3,5
9005,1,10/3/2022,12:54,realblock,3,3,0,3,8
9005,1,10/3/2022,12:54,realblock,4,5,0,3,11
9005,1,10/3/2022,12:54,realblock,5,5,0,5,16
9005,1,10/3/2022,12:54,realblock,6,4,0,4,20
9005,1,10/3/2022,12:54,realblock,7,4,0,3,23
9005,1,10/3/2022,12:54,realblock,8,2,0,2,25
9006,1,10/4/2022,9:53,realblock,1,3,0,2,2
9006,1,10/4/2022,9:53,realblock,2,3,0,3,5
9006,1,10/4/2022,9:53,realblock,3,4,0,4,9
9006,1,10/4/2022,9:53,realblock,4,2,0,2,11
9006,1,10/4/2022,9:53,realblock,5,4,0,3,14
9006,1,10/4/2022,9:53,realblock,6,5,0,5,19
9006,1,10/4/2022,9:53,realblock,7,5,1,3,22
9006,1,10/4/2022,9:53,realblock,8,2,0,2,24
9007,1,10/4/2022,9:49,realblock,1,5,0,5,5
9007,1,10/4/2022,9:49,realblock,2,4,0,1,6
9007,1,10/4/2022,9:49,realblock,3,2,0,2,8
9007,1,10/4/2022,9:49,realblock,4,4,0,4,12
9007,1,10/4/2022,9:49,realblock,5,5,0,5,17
9007,1,10/4/2022,9:49,realblock,6,2,0,2,19
9007,1,10/4/2022,9:49,realblock,7,3,1,3,22
9007,1,10/4/2022,9:49,realblock,8,3,0,3,25
9008,1,10/4/2022,13:10,realblock,1,2,1,2,2
9008,1,10/4/2022,13:10,realblock,2,5,0,0,2
9008,1,10/4/2022,13:10,realblock,3,3,0,3,5
9008,1,10/4/2022,13:10,realblock,4,4,0,2,7
9008,1,10/4/2022,13:10,realblock,5,3,0,1,8
9008,1,10/4/2022,13:10,realblock,6,5,0,0,8
9008,1,10/4/2022,13:10,realblock,7,4,0,4,12
9008,1,10/4/2022,13:10,realblock,8,2,0,1,13
9009,1,10/4/2022,12:55,realblock,1,5,0,5,5
9009,1,10/4/2022,12:55,realblock,2,2,1,2,7
9009,1,10/4/2022,12:55,realblock,3,4,1,4,11
9009,1,10/4/2022,12:55,realblock,4,3,0,3,14
9009,1,10/4/2022,12:55,realblock,5,4,0,4,18
9009,1,10/4/2022,12:55,realblock,6,5,0,5,23
9009,1,10/4/2022,12:55,realblock,7,2,0,2,25
9009,1,10/4/2022,12:55,realblock,8,3,0,3,28
9010,1,10/4/2022,15:45,realblock,1,5,0,5,5
9010,1,10/4/2022,15:45,realblock,2,4,0,4,9
9010,1,10/4/2022,15:45,realblock,3,3,0,3,12
9010,1,10/4/2022,15:45,realblock,4,2,0,2,14
9010,1,10/4/2022,15:45,realblock,5,3,0,3,17
9010,1,10/4/2022,15:45,realblock,6,2,0,2,19
9010,1,10/4/2022,15:45,realblock,7,5,0,1,20
9010,1,10/4/2022,15:45,realblock,8,4,0,3,23
9011,1,10/4/2022,15:56,realblock,1,5,0,5,5
9011,1,10/4/2022,15:56,realblock,2,3,0,3,8
9011,1,10/4/2022,15:56,realblock,3,4,1,4,12
9011,1,10/4/2022,15:56,realblock,4,2,1,1,13
9011,1,10/4/2022,15:56,realblock,5,3,0,3,16
9011,1,10/4/2022,15:56,realblock,6,5,1,4,20
9011,1,10/4/2022,15:56,realblock,7,4,0,4,24
9011,1,10/4/2022,15:56,realblock,8,2,0,2,26
9012,1,10/4/2022,16:37,realblock,1,3,0,3,3
9012,1,10/4/2022,16:37,realblock,2,4,1,2,5
9012,1,10/4/2022,16:37,realblock,3,5,0,5,10
9012,1,10/4/2022,16:37,realblock,4,2,0,2,12
9012,1,10/4/2022,16:37,realblock,5,2,1,2,14
9012,1,10/4/2022,16:37,realblock,6,4,0,4,18
9012,1,10/4/2022,16:37,realblock,7,5,0,3,21
9012,1,10/4/2022,16:37,realblock,8,3,0,3,24
9013,1,10/5/2022,10:02,realblock,1,4,0,0,0
9013,1,10/5/2022,10:02,realblock,2,2,0,2,2
9013,1,10/5/2022,10:02,realblock,3,5,0,4,6
9013,1,10/5/2022,10:02,realblock,4,2,0,2,8
9013,1,10/5/2022,10:02,realblock,5,3,0,3,11
9013,1,10/5/2022,10:02,realblock,6,3,0,3,14
9013,1,10/5/2022,10:02,realblock,7,5,0,5,19
9013,1,10/5/2022,10:02,realblock,8,4,0,1,20
9014,1,10/5/2022,10:02,realblock,1,5,3,1,1
9014,1,10/5/2022,10:02,realblock,2,4,0,2,3
9014,1,10/5/2022,10:02,realblock,3,2,1,2,5
9014,1,10/5/2022,10:02,realblock,4,5,1,1,6
9014,1,10/5/2022,10:02,realblock,5,4,2,3,9
9014,1,10/5/2022,10:02,realblock,6,3,0,3,12
9014,1,10/5/2022,10:02,realblock,7,2,0,2,14
9014,1,10/5/2022,10:02,realblock,8,3,3,2,16
9015,1,10/5/2022,12:51,realblock,1,4,0,4,4
9015,1,10/5/2022,12:51,realblock,2,2,0,2,6
9015,1,10/5/2022,12:51,realblock,3,2,0,2,8
9015,1,10/5/2022,12:51,realblock,4,3,0,3,11
9015,1,10/5/2022,12:51,realblock,5,5,0,1,12
9015,1,10/5/2022,12:51,realblock,6,4,1,4,16
9015,1,10/5/2022,12:51,realblock,7,3,0,3,19
9015,1,10/5/2022,12:51,realblock,8,5,0,4,23
9016,1,10/5/2022,12:50,realblock,1,2,0,2,2
9016,1,10/5/2022,12:50,realblock,2,4,0,4,6
9016,1,10/5/2022,12:50,realblock,3,3,1,3,9
9016,1,10/5/2022,12:50,realblock,4,5,2,5,14
9016,1,10/5/2022,12:50,realblock,5,2,1,2,16
9016,1,10/5/2022,12:50,realblock,6,5,0,5,21
9016,1,10/5/2022,12:50,realblock,7,4,0,4,25
9016,1,10/5/2022,12:50,realblock,8,3,0,3,28
9017,1,10/5/2022,12:46,realblock,1,4,0,3,3
9017,1,10/5/2022,12:46,realblock,2,3,0,3,6
9017,1,10/5/2022,12:46,realblock,3,2,0,2,8
9017,1,10/5/2022,12:46,realblock,4,3,1,3,11
9017,1,10/5/2022,12:46,realblock,5,5,0,2,13
9017,1,10/5/2022,12:46,realblock,6,2,0,2,15
9017,1,10/5/2022,12:46,realblock,7,5,0,5,20
9017,1,10/5/2022,12:46,realblock,8,4,0,3,23
9018,1,10/05/22,15:53,realblock,1,2,1,2,2
9018,1,10/05/22,15:53,realblock,2,4,2,4,6
9018,1,10/05/22,15:53,realblock,3,2,1,2,8
9018,1,10/05/22,15:53,realblock,4,3,0,3,11
9018,1,10/05/22,15:53,realblock,5,4,1,4,15
9018,1,10/05/22,15:53,realblock,6,3,1,3,18
9018,1,10/05/22,15:53,realblock,7,5,1,4,22
9018,1,10/05/22,15:53,realblock,8,5,1,5,27
9019,1,10/05/22,15:51,realblock,1,5,0,4,4
9019,1,10/05/22,15:51,realblock,2,2,0,2,6
9019,1,10/05/22,15:51,realblock,3,3,1,2,8
9019,1,10/05/22,15:51,realblock,4,4,0,4,12
9019,1,10/05/22,15:51,realblock,5,4,0,4,16
9019,1,10/05/22,15:51,realblock,6,2,0,2,18
9019,1,10/05/22,15:51,realblock,7,3,0,3,21
9019,1,10/05/22,15:51,realblock,8,5,0,5,26
9020,1,10/05/22,16:02,realblock,1,2,0,2,2
9020,1,10/05/22,16:02,realblock,2,4,0,4,6
9020,1,10/05/22,16:02,realblock,3,5,0,5,11
9020,1,10/05/22,16:02,realblock,4,3,1,3,14
9020,1,10/05/22,16:02,realblock,5,4,1,3,17
9020,1,10/05/22,16:02,realblock,6,5,0,5,22
9020,1,10/05/22,16:02,realblock,7,2,0,2,24
9020,1,10/05/22,16:02,realblock,8,3,0,3,27
9021,1,10/06/22,12:53,realblock,1,2,0,2,2
9021,1,10/06/22,12:53,realblock,2,4,1,4,6
9021,1,10/06/22,12:53,realblock,3,3,1,3,9
9021,1,10/06/22,12:53,realblock,4,2,0,2,11
9021,1,10/06/22,12:53,realblock,5,4,1,4,15
9021,1,10/06/22,12:53,realblock,6,5,0,5,20
9021,1,10/06/22,12:53,realblock,7,3,0,3,23
9021,1,10/06/22,12:53,realblock,8,5,0,3,26
9022,1,10/06/22,12:47,realblock,1,4,0,3,3
9022,1,10/06/22,12:47,realblock,2,5,0,5,8
9022,1,10/06/22,12:47,realblock,3,3,1,1,9
9022,1,10/06/22,12:47,realblock,4,2,0,2,11
9022,1,10/06/22,12:47,realblock,5,2,1,2,13
9022,1,10/06/22,12:47,realblock,6,4,0,4,17
9022,1,10/06/22,12:47,realblock,7,3,0,3,20
9022,1,10/06/22,12:47,realblock,8,5,1,3,23
9023,1,10/06/22,12:55,realblock,1,3,0,3,3
9023,1,10/06/22,12:55,realblock,2,5,1,5,8
9023,1,10/06/22,12:55,realblock,3,5,1,5,13
9023,1,10/06/22,12:55,realblock,4,2,0,1,14
9023,1,10/06/22,12:55,realblock,5,4,0,4,18
9023,1,10/06/22,12:55,realblock,6,4,0,4,22
9023,1,10/06/22,12:55,realblock,7,3,0,3,25
9023,1,10/06/22,12:55,realblock,8,2,0,2,27
9024,1,10/06/22,15:47,realblock,1,3,0,3,3
9024,1,10/06/22,15:47,realblock,2,2,0,2,5
9024,1,10/06/22,15:47,realblock,3,4,0,3,8
9024,1,10/06/22,15:47,realblock,4,5,0,4,12
9024,1,10/06/22,15:47,realblock,5,4,2,3,15
9024,1,10/06/22,15:47,realblock,6,5,0,5,20
9024,1,10/06/22,15:47,realblock,7,3,0,3,23
9024,1,10/06/22,15:47,realblock,8,2,0,2,25
9025,1,10/06/22,15:52,realblock,1,5,1,5,5
9025,1,10/06/22,15:52,realblock,2,5,0,3,8
9025,1,10/06/22,15:52,realblock,3,4,0,4,12
9025,1,10/06/22,15:52,realblock,4,4,0,4,16
9025,1,10/06/22,15:52,realblock,5,2,0,2,18
9025,1,10/06/22,15:52,realblock,6,3,0,3,21
9025,1,10/06/22,15:52,realblock,7,2,0,2,23
9025,1,10/06/22,15:52,realblock,8,3,0,3,26
9026,1,10/06/22,16:17,realblock,1,2,0,2,2
9026,1,10/06/22,16:17,realblock,2,2,0,1,3
9026,1,10/06/22,16:17,realblock,3,3,1,3,6
9026,1,10/06/22,16:17,realblock,4,4,0,4,10
9026,1,10/06/22,16:17,realblock,5,5,0,5,15
9026,1,10/06/22,16:17,realblock,6,5,0,4,19
9026,1,10/06/22,16:17,realblock,7,3,0,3,22
9026,1,10/06/22,16:17,realblock,8,4,0,4,26
9027,1,10/07/22,09:57,realblock,1,5,0,5,5
9027,1,10/07/22,09:57,realblock,2,4,0,4,9
9027,1,10/07/22,09:57,realblock,3,3,0,3,12
9027,1,10/07/22,09:57,realblock,4,4,1,1,13
9027,1,10/07/22,09:57,realblock,5,3,0,2,15
9027,1,10/07/22,09:57,realblock,6,5,0,0,15
9027,1,10/07/22,09:57,realblock,7,2,0,2,17
9027,1,10/07/22,09:57,realblock,8,2,0,2,19
9028,1,10/07/22,10:03,realblock,1,4,0,4,4
9028,1,10/07/22,10:03,realblock,2,4,0,4,8
9028,1,10/07/22,10:03,realblock,3,5,1,1,9
9028,1,10/07/22,10:03,realblock,4,3,0,3,12
9028,1,10/07/22,10:03,realblock,5,2,0,2,14
9028,1,10/07/22,10:03,realblock,6,5,1,4,18
9028,1,10/07/22,10:03,realblock,7,3,0,1,19
9028,1,10/07/22,10:03,realblock,8,2,0,2,21
9029,1,10/07/22,12:47,realblock,1,3,0,1,1
9029,1,10/07/22,12:47,realblock,2,3,1,3,4
9029,1,10/07/22,12:47,realblock,3,2,0,2,6
9029,1,10/07/22,12:47,realblock,4,5,0,5,11
9029,1,10/07/22,12:47,realblock,5,4,0,4,15
9029,1,10/07/22,12:47,realblock,6,4,1,4,19
9029,1,10/07/22,12:47,realblock,7,5,2,5,24
9029,1,10/07/22,12:47,realblock,8,2,0,2,26
9030,1,10/07/22,12:50,realblock,1,3,1,3,3
9030,1,10/07/22,12:50,realblock,2,4,0,2,5
9030,1,10/07/22,12:50,realblock,3,2,0,2,7
9030,1,10/07/22,12:50,realblock,4,2,0,2,9
9030,1,10/07/22,12:50,realblock,5,5,0,2,11
9030,1,10/07/22,12:50,realblock,6,3,1,2,13
9030,1,10/07/22,12:50,realblock,7,4,0,2,15
9030,1,10/07/22,12:50,realblock,8,5,0,0,15
9031,1,10/07/22,12:51,realblock,1,5,0,3,3
9031,1,10/07/22,12:51,realblock,2,4,0,3,6
9031,1,10/07/22,12:51,realblock,3,2,0,2,8
9031,1,10/07/22,12:51,realblock,4,3,0,0,8
9031,1,10/07/22,12:51,realblock,5,5,0,3,11
9031,1,10/07/22,12:51,realblock,6,2,0,2,13
9031,1,10/07/22,12:51,realblock,7,4,0,4,17
9031,1,10/07/22,12:51,realblock,8,3,0,3,20
9032,1,10/07/22,15:34,realblock,1,5,1,0,0
9032,1,10/07/22,15:34,realblock,2,2,0,2,2
9032,1,10/07/22,15:34,realblock,3,3,0,3,5
9032,1,10/07/22,15:34,realblock,4,3,1,3,8
9032,1,10/07/22,15:34,realblock,5,4,0,4,12
9032,1,10/07/22,15:34,realblock,6,5,2,2,14
9032,1,10/07/22,15:34,realblock,7,2,0,2,16
9032,1,10/07/22,15:34,realblock,8,4,0,4,20
9033,1,10/07/22,15:55,realblock,1,5,1,5,5
