subject,session,date,time,list,phase,subtrial,word,old_new,acc,resp,rt
9001,2,10/24/22,10:30,0,encoding,1,actual,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,2,monkey,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,3,upward,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,4,fellow,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,5,fiscal,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,6,outlet,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,7,tactic,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,8,parade,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,9,dancer,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,10,muscle,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,11,viewer,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,12,neural,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,13,folder,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,14,killer,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,15,hunger,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,16,knight,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,17,finite,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,18,frames,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,19,cannon,,NA,,NA
9001,2,10/24/22,10:30,0,encoding,20,puzzle,,NA,,NA
9001,2,10/24/22,10:30,0,test,1,monkey,old,1,f,2584.0529
9001,2,10/24/22,10:30,0,test,2,sequel,new,1,j,988.1788
9001,2,10/24/22,10:30,0,test,3,dinner,new,1,j,695.3343
9001,2,10/24/22,10:30,0,test,4,upward,old,1,f,666.4966
9001,2,10/24/22,10:30,0,test,5,oracle,new,1,j,768.1213
9001,2,10/24/22,10:30,0,test,6,ticket,new,1,j,707.98
9001,2,10/24/22,10:30,0,test,7,fiscal,old,1,f,545.3102
9001,2,10/24/22,10:30,0,test,8,maiden,new,1,j,592.5681
9001,2,10/24/22,10:30,0,test,9,supply,new,1,j,772.0374
9001,2,10/24/22,10:30,0,test,10,fellow,old,1,f,616.646
9001,2,10/24/22,10:30,0,test,11,actual,old,1,f,691.5878
9001,2,10/24/22,10:30,0,test,12,parade,old,0,j,936.112
9001,2,10/24/22,10:30,0,test,13,tattoo,new,1,j,893.6183
9001,2,10/24/22,10:30,0,test,14,outlet,old,1,f,881.5302
9001,2,10/24/22,10:30,0,test,15,tactic,old,1,f,782.9629
9001,2,10/24/22,10:30,0,test,16,decade,new,1,j,798.2619
9001,2,10/24/22,10:30,0,test,17,figure,new,1,j,743.0284
9001,2,10/24/22,10:30,0,test,18,muscle,old,1,f,556.2845
9001,2,10/24/22,10:30,0,test,19,dancer,old,0,j,745.4325
