subject,session,list,setsize,senterrors,lettertotal,rspantotal
9001,1,1,7,0,3,3
9001,1,2,7,0,2,5
9001,1,3,4,0,4,9
9001,1,4,5,0,5,14
9001,1,5,4,0,4,18
9001,1,6,5,0,4,22
9001,1,7,3,0,3,25
9001,1,8,3,0,3,28
9001,1,9,6,1,6,34
9001,1,10,6,0,4,38
9003,1,1,6,0,6,6
9003,1,2,3,1,3,9
9003,1,3,7,1,1,10
9003,1,4,5,0,5,15
9003,1,5,3,0,3,18
9003,1,6,4,0,4,22
9003,1,7,7,0,1,23
9003,1,8,4,0,4,27
9003,1,9,6,0,6,33
9003,1,10,5,0,5,38
9004,1,1,3,1,2,2
9004,1,2,3,1,0,2
9004,1,3,4,1,4,6
9004,1,4,7,0,3,9
9004,1,5,6,1,4,13
9004,1,6,6,1,6,19
9004,1,7,7,1,4,23
9004,1,8,4,1,4,27
9004,1,9,5,1,4,31
9004,1,10,5,1,4,35
9005,1,1,7,0,3,3
9005,1,2,5,0,5,8
9005,1,3,3,0,1,9
9005,1,4,5,1,5,14
9005,1,5,3,0,3,17
9005,1,6,4,1,4,21
9005,1,7,6,0,3,24
9005,1,8,7,0,3,27
9005,1,9,6,1,3,30
9005,1,10,4,0,3,33
9006,1,1,3,0,3,3
9006,1,2,6,2,5,8
9006,1,3,7,1,7,15
9006,1,4,6,1,4,19
9006,1,5,5,0,3,22
9006,1,6,4,2,1,23
9006,1,7,4,0,4,27
9006,1,8,7,1,4,31
9006,1,9,3,1,2,33
9006,1,10,5,0,2,35
9007,1,1,7,0,7,7
9007,1,2,3,0,3,10
9007,1,3,6,0,6,16
9007,1,4,4,0,4,20
9007,1,5,4,1,4,24
9007,1,6,5,1,4,28
9007,1,7,5,0,5,33
9007,1,8,6,1,6,39
9007,1,9,3,0,3,42
9007,1,10,7,1,7,49
9008,1,1,4,0,1,1
9008,1,2,5,2,0,1
9008,1,3,3,0,0,1
9008,1,4,6,2,4,5
9008,1,5,7,0,2,7
9008,1,6,5,1,0,7
9008,1,7,4,1,1,8
9008,1,8,3,0,3,11
9008,1,9,6,0,5,16
9008,1,10,7,0,0,16
9009,1,1,5,1,5,5
9009,1,2,6,0,6,11
9009,1,3,7,1,5,16
9009,1,4,7,1,5,21
9009,1,5,4,1,4,25
9009,1,6,6,0,6,31
9009,1,7,3,0,3,34
9009,1,8,4,0,4,38
9009,1,9,3,0,3,41
9009,1,10,5,0,5,46
9010,1,1,6,0,2,2
9010,1,2,7,0,7,9
9010,1,3,3,0,3,12
9010,1,4,5,0,5,17
9010,1,5,4,1,3,20
9010,1,6,6,0,5,25
9010,1,7,4,0,4,29
9010,1,8,7,0,7,36
9010,1,9,5,0,4,40
9010,1,10,3,0,0,40
9011,1,1,5,1,5,5
9011,1,2,6,1,6,11
9011,1,3,6,1,3,14
9011,1,4,3,0,3,17
9011,1,5,5,0,5,22
9011,1,6,4,1,4,26
9011,1,7,7,1,6,32
9011,1,8,4,0,4,36
9011,1,9,7,0,5,41
9011,1,10,3,0,3,44
9012,1,1,6,0,3,3
9012,1,2,3,0,3,6
9012,1,3,4,0,1,7
9012,1,4,3,0,3,10
9012,1,5,5,0,3,13
9012,1,6,5,0,5,18
9012,1,7,7,0,5,23
9012,1,8,4,0,2,25
9012,1,9,7,0,2,27
9012,1,10,6,0,1,28
9013,1,1,7,0,7,7
9013,1,2,6,1,0,7
9013,1,3,5,1,4,11
9013,1,4,6,1,6,17
9013,1,5,3,0,3,20
9013,1,6,7,2,7,27
9013,1,7,4,0,1,28
9013,1,8,4,0,4,32
9013,1,9,3,0,3,35
9013,1,10,5,1,5,40
9014,1,1,7,1,7,7
9014,1,2,7,0,5,12
9014,1,3,6,0,2,14
9014,1,4,5,0,0,14
9014,1,5,6,1,1,15
9014,1,6,4,0,4,19
9014,1,7,5,0,5,24
