subject,session,block,trial,subtrial,trialtype,ss,resp,acc,rt,probe_resp
9002,1,practice,0,4,nochange,6,f,1,2705.3049,NA
9002,1,practice,0,5,change,6,j,1,1768.5596,NA
9002,1,0,1,1,nochange,6,j,0,6720.2718,NA
9002,1,0,2,2,nochange,6,f,1,1423.7327,NA
9002,1,0,3,3,nochange,6,f,1,1209.3092,NA
9002,1,0,4,4,nochange,6,f,1,3412.9067,NA
9002,1,0,5,5,nochange,6,f,1,1822.3662,NA
9002,1,0,6,6,nochange,6,f,1,1547.5878,NA
9002,1,0,7,7,change,6,j,1,6220.8059,NA
9002,1,0,8,8,change,6,j,1,1418.7534,2
9002,1,0,9,9,nochange,6,f,1,2423.043,NA
9002,1,0,10,10,nochange,6,f,1,1194.1852,NA
9002,1,0,11,11,nochange,6,j,0,3830.3486,NA
9002,1,0,12,12,change,6,f,0,3097.9024,NA
9002,1,0,13,13,change,6,f,0,1354.7653,NA
9002,1,0,14,14,nochange,6,f,1,1369.1894,NA
9002,1,0,15,15,nochange,6,f,1,2462.6101,NA
9002,1,0,16,16,change,6,f,0,1453.1845,3
9002,1,0,17,17,nochange,6,f,1,1903.7882,NA
9002,1,0,18,18,change,6,j,1,2046.79,NA
9002,1,0,19,19,nochange,6,f,1,1377.5608,NA
9002,1,0,20,20,change,6,f,0,3713.9156,NA
9002,1,0,21,21,change,6,j,1,4884.6229,NA
9002,1,0,22,22,change,6,f,0,2246.4532,NA
9002,1,0,23,23,nochange,6,f,1,2154.5556,NA
9002,1,0,24,24,nochange,6,f,1,2287.647,3
9002,1,0,25,25,change,6,f,0,1680.0494,NA
9002,1,0,26,26,change,6,j,1,1979.5898,NA
9002,1,0,27,27,change,6,j,1,2375.7139,NA
9002,1,0,28,28,nochange,6,f,1,1511.3019,NA
9002,1,0,29,29,change,6,f,0,1679.6215,NA
9002,1,0,30,30,nochange,6,j,0,1288.0381,NA
9002,1,0,31,31,nochange,6,f,1,1202.0991,NA
9002,1,0,32,32,nochange,6,f,1,3043.3242,2
9002,1,0,33,33,change,6,f,0,1648.1526,NA
9002,1,0,34,34,change,6,j,1,2103.2224,NA
9002,1,0,35,35,change,6,f,0,1686.3571,NA
9002,1,0,36,36,change,6,j,1,1617.0637,NA
9002,1,0,37,37,change,6,f,0,1727.8009,NA
9002,1,0,38,38,change,6,f,0,2354.2715,NA
9002,1,0,39,39,nochange,6,f,1,1152.9649,NA
9002,1,0,40,40,nochange,6,f,1,1229.0527,2
9002,1,0,41,41,change,6,f,0,1421.11,NA
9002,1,0,42,42,nochange,6,f,1,1453.6772,NA
9002,1,0,43,43,change,6,j,1,5506.4519,NA
9002,1,0,44,44,change,6,f,0,1397.4267,NA
9002,1,0,45,45,change,6,j,1,2368.4406,NA
9002,1,0,46,46,nochange,6,f,1,1832.7106,NA
9002,1,0,47,47,change,6,j,1,1766.255,NA
9002,1,0,48,48,change,6,j,1,2904.7086,2
9002,1,0,49,49,nochange,6,f,1,2469.6387,NA
9003,1,practice,0,1,change,6,j,1,12545.0495,NA
9003,1,practice,0,2,change,6,j,1,1622.8204,NA
9003,1,practice,0,3,nochange,6,f,1,617.3054,NA
9003,1,practice,0,4,change,6,j,1,1176.5551,NA
9003,1,practice,0,5,nochange,6,f,1,1496.3358,NA
9003,1,0,1,1,change,6,f,0,2969.2504,NA
9003,1,0,2,2,change,6,j,1,852.012,NA
9003,1,0,3,3,change,6,j,1,1281.3232,NA
9003,1,0,4,4,change,6,f,0,1602.0708,NA
9003,1,0,5,5,change,6,j,1,1862.0332,NA
9003,1,0,6,6,nochange,6,j,0,2837.6324,NA
9003,1,0,7,7,change,6,f,0,2268.4916,NA
9003,1,0,8,8,nochange,6,j,0,869.3467,5
9003,1,0,9,9,nochange,6,f,1,1523.0061,NA
9003,1,0,10,10,change,6,j,1,2256.0993,NA
9003,1,0,11,11,nochange,6,f,1,1525.2288,NA
9003,1,0,12,12,change,6,j,1,2535.9829,NA
9003,1,0,13,13,change,6,f,0,1265.0963,NA
9003,1,0,14,14,nochange,6,f,1,1531.1015,NA
9003,1,0,15,15,change,6,j,1,1150.2379,NA
9003,1,0,16,16,change,6,j,1,4052.5167,2
9003,1,0,17,17,change,6,f,0,3004.1247,NA
9003,1,0,18,18,nochange,6,f,1,1514.1874,NA
9003,1,0,19,19,nochange,6,f,1,1354.3643,NA
9003,1,0,20,20,nochange,6,f,1,883.9747,NA
9003,1,0,21,21,change,6,j,1,1062.7391,NA
9003,1,0,22,22,nochange,6,f,1,1629.5882,NA
9003,1,0,23,23,change,6,j,1,1571.6859,NA
9003,1,0,24,24,nochange,6,f,1,884.5012,1
9003,1,0,25,25,change,6,j,1,1103.4631,NA
9003,1,0,26,26,nochange,6,f,1,1149.4038,NA
9003,1,0,27,27,change,6,f,0,2095.954,NA
9003,1,0,28,28,nochange,6,f,1,862.4484,NA
9003,1,0,29,29,nochange,6,f,1,925.8097,NA
9003,1,0,30,30,change,6,j,1,743.7288,NA
9003,1,0,31,31,nochange,6,f,1,956.1515,NA
9003,1,0,32,32,nochange,6,f,1,1545.8918,1
9003,1,0,33,33,nochange,6,f,1,903.8282,NA
9003,1,0,34,34,nochange,6,f,1,895.7558,NA
9003,1,0,35,35,change,6,j,1,698.2293,NA
9003,1,0,36,36,change,6,j,1,1553.1778,NA
9003,1,0,37,37,nochange,6,j,0,7.50379999995,NA
9003,1,0,38,38,change,6,j,1,2202.0147,NA
9003,1,0,39,39,change,6,f,0,3178.8515,NA
9003,1,0,40,40,nochange,6,f,1,1123.9413,3
9003,1,0,41,41,change,6,j,1,3720.804,NA
9003,1,0,42,42,nochange,6,f,1,848.4187,NA
9003,1,0,43,43,nochange,6,f,1,1273.5467,NA
9003,1,0,44,44,nochange,6,f,1,862.23,NA
9003,1,0,45,45,change,6,j,1,2708.133,NA
9003,1,0,46,46,nochange,6,f,1,1139.9907,NA
9003,1,0,47,47,change,6,f,0,1045.4991,NA
9003,1,0,48,48,change,6,j,1,1033.6553,2
9003,1,0,49,49,nochange,6,f,1,844.3209,NA
9003,1,0,50,50,nochange,6,f,1,2271.1501,NA
9003,1,0,51,51,change,6,f,0,918.4251,NA
9003,1,0,52,52,change,6,f,0,1732.7682,NA
9003,1,0,53,53,change,6,f,0,2353.1384,NA
9003,1,0,54,54,change,6,f,0,1814.9804,NA
9003,1,0,55,55,nochange,6,f,1,1328.0052,NA
9003,1,0,56,56,nochange,6,f,1,1073.044,1
9003,1,0,57,57,nochange,6,f,1,884.7291,NA
9003,1,0,58,58,nochange,6,f,1,757.3773,NA
9003,1,0,59,59,nochange,6,j,0,2518.9768,NA
9003,1,0,60,60,change,6,f,0,920.9084,NA
9004,1,practice,0,1,nochange,6,f,1,21195.9055,NA
9004,1,practice,0,2,change,6,j,1,4346.8192,NA
9004,1,practice,0,3,change,6,j,1,3633.5587,NA
9004,1,practice,0,4,nochange,6,j,0,1205.8693,NA
9004,1,practice,0,5,nochange,6,f,1,4935.4165,NA
9004,1,0,1,1,nochange,6,j,0,19904.048,NA
9004,1,0,2,2,nochange,6,f,1,3410.2843,NA
9004,1,0,3,3,change,6,j,1,1549.9497,NA
9004,1,0,4,4,nochange,6,f,1,2478.9468,NA
9004,1,0,5,5,nochange,6,j,0,1257.6965,NA
9004,1,0,6,6,change,6,f,0,1695.0922,NA
9004,1,0,7,7,change,6,j,1,1536.2679,NA
9004,1,0,8,8,nochange,6,f,1,1573.0336,1
9004,1,0,9,9,change,6,j,1,2302.9113,NA
9004,1,0,10,10,change,6,f,0,1860.8172,NA
9004,1,0,11,11,change,6,j,1,1906.0877,NA
9004,1,0,12,12,nochange,6,f,1,1393.5384,NA
9004,1,0,13,13,change,6,f,0,2168.9213,NA
9004,1,0,14,14,nochange,6,f,1,1232.1499,NA
9004,1,0,15,15,nochange,6,f,1,1275.557,NA
9004,1,0,16,16,change,6,j,1,1309.3309,2
9004,1,0,17,17,nochange,6,f,1,4.3836,NA
9004,1,0,18,18,change,6,f,0,1710.1713,NA
9004,1,0,19,19,nochange,6,f,1,1118.6444,NA
9004,1,0,20,20,nochange,6,f,1,983.9656,NA
9004,1,0,21,21,nochange,6,f,1,1616.973,NA
9004,1,0,22,22,nochange,6,f,1,4170.0196,NA
9004,1,0,23,23,change,6,f,0,1468.5707,NA
9004,1,0,24,24,change,6,f,0,1202.7811,3
9004,1,0,25,25,change,6,j,1,1665.6624,NA
9004,1,0,26,26,change,6,j,1,3439.4855,NA
9004,1,0,27,27,nochange,6,f,1,1577.368,NA
9004,1,0,28,28,change,6,f,0,1595.7408,NA
9004,1,0,29,29,change,6,f,0,2511.0949,NA
9004,1,0,30,30,change,6,f,0,2483.8306,NA
9004,1,0,31,31,change,6,j,1,1208.5091,NA
9004,1,0,32,32,nochange,6,f,1,1543.7267,3
9004,1,0,33,33,change,6,f,0,1615.6182,NA
9004,1,0,34,34,nochange,6,j,0,793.3074,NA
9004,1,0,35,35,change,6,j,1,1471.4647,NA
9004,1,0,36,36,change,6,f,0,1679.6133,NA
9004,1,0,37,37,nochange,6,f,1,3974.9415,NA
9004,1,0,38,38,nochange,6,f,1,1059.2901,NA
9004,1,0,39,39,nochange,6,f,1,1583.9329,NA
9004,1,0,40,40,nochange,6,f,1,1179.6478,3
9004,1,0,41,41,change,6,f,0,2095.8566,NA
9004,1,0,42,42,nochange,6,f,1,1032.8865,NA
9004,1,0,43,43,change,6,j,1,973.7514,NA
9004,1,0,44,44,nochange,6,f,1,1078.8808,NA
9004,1,0,45,45,change,6,f,0,1189.533,NA
9004,1,0,46,46,change,6,j,1,1345.982,NA
9004,1,0,47,47,change,6,f,0,2201.5333,NA
9004,1,0,48,48,change,6,j,1,979.7342,3
9004,1,0,49,49,nochange,6,j,0,1785.7097,NA
9004,1,0,50,50,change,6,j,1,1257.042,NA
9004,1,0,51,51,nochange,6,f,1,921.3727,NA
9004,1,0,52,52,nochange,6,j,0,2131.0447,NA
9004,1,0,53,53,change,6,j,1,1201.4186,NA
9004,1,0,54,54,nochange,6,f,1,1523.9075,NA
9004,1,0,55,55,nochange,6,f,1,6423.814,NA
9004,1,0,56,56,nochange,6,j,0,2078.3525,3
9004,1,0,57,57,change,6,j,1,875.2359,NA
9004,1,0,58,58,nochange,6,j,0,2548.8123,NA
9004,1,0,59,59,nochange,6,f,1,1667.3473,NA
9004,1,0,60,60,change,6,j,1,1319.143,NA
9005,1,practice,0,1,change,6,f,0,2425.0388,NA
9005,1,practice,0,2,change,6,f,0,1525.0599,NA
9005,1,practice,0,3,change,6,f,0,1231.8793,NA
9005,1,practice,0,4,nochange,6,j,0,988.5785,NA
9005,1,practice,0,5,nochange,6,f,1,880.8057,NA
9005,1,0,1,1,change,6,j,1,3606.5409,NA
9005,1,0,2,2,change,6,f,0,1950.1833,NA
9005,1,0,3,3,nochange,6,j,0,1985.996,NA
9005,1,0,4,4,nochange,6,f,1,5179.088,NA
9005,1,0,5,5,change,6,f,0,1785.3729,NA
9005,1,0,6,6,change,6,f,0,2067.8226,NA
9005,1,0,7,7,nochange,6,f,1,1992.72,NA
9005,1,0,8,8,nochange,6,j,0,1592.4683,2
9005,1,0,9,9,change,6,f,0,1777.4847,NA
9005,1,0,10,10,change,6,j,1,1674.1888,NA
9005,1,0,11,11,nochange,6,j,0,1686.635,NA
9005,1,0,12,12,nochange,6,j,0,2478.2561,NA
9005,1,0,13,13,change,6,f,0,1404.7784,NA
9005,1,0,14,14,nochange,6,j,0,1074.2409,NA
9005,1,0,15,15,nochange,6,f,1,1650.2706,NA
9005,1,0,16,16,nochange,6,f,1,2779.3572,3
9005,1,0,17,17,change,6,f,0,1373.8194,NA
9005,1,0,18,18,change,6,f,0,1806.5618,NA
9005,1,0,19,19,change,6,f,0,1899.8434,NA
9005,1,0,20,20,nochange,6,j,0,2308.1666,NA
9005,1,0,21,21,change,6,f,0,1742.5901,NA
9005,1,0,22,22,nochange,6,f,1,1123.6834,NA
9005,1,0,23,23,nochange,6,j,0,1494.7392,NA
9005,1,0,24,24,nochange,6,f,1,1397.216,2
9005,1,0,25,25,nochange,6,f,1,1245.6597,NA
9005,1,0,26,26,change,6,f,0,1167.8426,NA
9005,1,0,27,27,nochange,6,f,1,1422.0645,NA
9005,1,0,28,28,change,6,j,1,1151.9637,NA
9005,1,0,29,29,change,6,j,1,1642.968,NA
9005,1,0,30,30,change,6,f,0,1890.5658,NA
9005,1,0,31,31,nochange,6,j,0,1299.1903,NA
9005,1,0,32,32,nochange,6,f,1,2307.1934,1
9005,1,0,33,33,change,6,f,0,1174.0801,NA
9005,1,0,34,34,change,6,f,0,2506.8228,NA
9005,1,0,35,35,change,6,j,1,1697.3437,NA
9005,1,0,36,36,change,6,f,0,1597.3356,NA
9005,1,0,37,37,change,6,j,1,2756.2757,NA
9005,1,0,38,38,nochange,6,f,1,2896.278,NA
9005,1,0,39,39,nochange,6,j,0,2709.7479,NA
9005,1,0,40,40,change,6,f,0,801.0012,1
9005,1,0,41,41,change,6,f,0,1241.3276,NA
9005,1,0,42,42,nochange,6,j,0,2035.9372,NA
9005,1,0,43,43,change,6,f,0,1051.2694,NA
9005,1,0,44,44,change,6,j,1,1050.1968,NA
9005,1,0,45,45,change,6,j,1,1019.9602,NA
9005,1,0,46,46,nochange,6,f,1,775.4117,NA
9005,1,0,47,47,change,6,f,0,1547.5641,NA
9005,1,0,48,48,change,6,j,1,826.9906,1
9005,1,0,49,49,nochange,6,j,0,1254.6824,NA
9005,1,0,50,50,change,6,j,1,1117.4986,NA
9005,1,0,51,51,nochange,6,j,0,1057.1104,NA
9005,1,0,52,52,nochange,6,f,1,1471.4276,NA
9005,1,0,53,53,nochange,6,f,1,1072.2466,NA
9005,1,0,54,54,change,6,f,0,1509.128,NA
9005,1,0,55,55,nochange,6,j,0,697.5047,NA
9005,1,0,56,56,nochange,6,f,1,941.0829,1
9005,1,0,57,57,nochange,6,j,0,1362.1873,NA
9005,1,0,58,58,change,6,f,0,2079.2199,NA
9005,1,0,59,59,nochange,6,j,0,1613.47,NA
9005,1,0,60,60,nochange,6,f,1,1966.7518,NA
9006,1,practice,0,1,nochange,6,f,1,7231.2068,NA
9006,1,practice,0,2,nochange,6,f,1,1491.2915,NA
9006,1,practice,0,3,change,6,f,0,1883.2375,NA
9006,1,practice,0,4,change,6,j,1,1577.8631,NA
9006,1,practice,0,5,change,6,f,0,1392.7576,NA
9006,1,0,1,1,change,6,f,0,1220.7467,NA
9006,1,0,2,2,nochange,6,f,1,1189.43,NA
9006,1,0,3,3,nochange,6,f,1,2431.7779,NA
9006,1,0,4,4,nochange,6,f,1,1228.0649,NA
9006,1,0,5,5,nochange,6,j,0,1322.4582,NA
9006,1,0,6,6,change,6,f,0,1405.3378,NA
9006,1,0,7,7,nochange,6,j,0,3453.1615,NA
9006,1,0,8,8,change,6,j,1,2393.5136,5
9006,1,0,9,9,nochange,6,f,1,1073.3681,NA
9006,1,0,10,10,nochange,6,j,0,2371.7178,NA
9006,1,0,11,11,nochange,6,f,1,921.8183,NA
9006,1,0,12,12,change,6,j,1,769.8171,NA
9006,1,0,13,13,change,6,f,0,605.6139,NA
9006,1,0,14,14,nochange,6,j,0,736.5637,NA
9006,1,0,15,15,nochange,6,f,1,944.889,NA
9006,1,0,16,16,change,6,j,1,6440.1346,2
9006,1,0,17,17,change,6,j,1,1368.7844,NA
9006,1,0,18,18,change,6,j,1,3558.9221,NA
9006,1,0,19,19,nochange,6,f,1,3511.3547,NA
9006,1,0,20,20,nochange,6,j,0,10532.2886,NA
9006,1,0,21,21,change,6,f,0,1587.6231,NA
9006,1,0,22,22,nochange,6,f,1,3527.7022,NA
9006,1,0,23,23,nochange,6,f,1,1449.6518,NA
9006,1,0,24,24,change,6,f,0,548.6563,3
9006,1,0,25,25,change,6,j,1,4.15819999995,NA
9006,1,0,26,26,change,6,f,0,420.1009,NA
9006,1,0,27,27,change,6,f,0,537.3935,NA
9006,1,0,28,28,nochange,6,f,1,547.3893,NA
9006,1,0,29,29,change,6,f,0,834.7895,NA
9006,1,0,30,30,nochange,6,j,0,1383.6926,NA
9006,1,0,31,31,nochange,6,f,1,861.3937,NA
9006,1,0,32,32,change,6,f,0,527.3064,5
9006,1,0,33,33,nochange,6,f,1,544.4953,NA
9006,1,0,34,34,change,6,f,0,9164.8172,NA
9006,1,0,35,35,nochange,6,f,1,942.8733,NA
9006,1,0,36,36,change,6,j,1,521.6083,NA
9006,1,0,37,37,nochange,6,f,1,700.6344,NA
9006,1,0,38,38,nochange,6,f,1,1159.4466,NA
9006,1,0,39,39,change,6,j,1,1161.2824,NA
9006,1,0,40,40,nochange,6,j,0,2013.1121,3
9006,1,0,41,41,change,6,f,0,1265.0037,NA
9006,1,0,42,42,change,6,j,1,1625.2757,NA
9006,1,0,43,43,change,6,j,1,1737.0897,NA
9006,1,0,44,44,change,6,j,1,1542.9746,NA
9006,1,0,45,45,change,6,j,1,1401.2417,NA
9006,1,0,46,46,nochange,6,f,1,3786.9668,NA
9006,1,0,47,47,nochange,6,j,0,3663.3749,NA
9006,1,0,48,48,change,6,f,0,1793.8556,3
9006,1,0,49,49,nochange,6,j,0,776.1032,NA
9006,1,0,50,50,nochange,6,f,1,1981.0691,NA
