subject,session,block,trial,subtrial,trialtype,setsize,resp,acc,rt,proberesp
9001,2,practice,0,1,change,6,f,0,1507.7463,NA
9001,2,practice,0,2,change,6,j,1,1591.1192,NA
9001,2,practice,0,3,nochange,6,f,1,2152.7028,NA
9001,2,practice,0,4,change,6,f,0,1330.3961,NA
9001,2,practice,0,5,nochange,6,f,1,2038.9059,NA
9001,2,practice,0,6,nochange,6,f,1,1142.8381,NA
9001,2,real,1,1,change,6,j,1,1221.5769,NA
9001,2,real,2,2,nochange,6,f,1,1390.2776,NA
9001,2,real,3,3,nochange,6,f,1,1406.9337,NA
9001,2,real,4,4,nochange,6,f,1,2661.7718,NA
9001,2,real,5,5,change,6,j,1,1296.2882,NA
9001,2,real,6,6,change,6,j,1,1680.5799,NA
9001,2,real,7,7,nochange,6,f,1,1301.4696,NA
9001,2,real,8,8,nochange,6,j,0,5874.4199,3
9001,2,real,9,9,change,6,f,0,2337.8631,NA
9001,2,real,10,10,nochange,6,j,0,1378.8685,NA
9001,2,real,11,11,change,6,f,0,1970.1557,NA
9001,2,real,12,12,nochange,6,j,0,2109.6752,NA
9001,2,real,13,13,nochange,6,f,1,1733.9125,NA
9001,2,real,14,14,change,6,j,1,2434.9324,NA
9001,2,real,15,15,nochange,6,f,1,4310.0514,NA
9001,2,real,16,16,nochange,6,f,1,1287.1891,5
9001,2,real,17,17,change,6,j,1,4890.2989,NA
9001,2,real,18,18,change,6,j,1,2154.583,NA
9001,2,real,19,19,change,6,f,0,5870.7633,NA
9001,2,real,20,20,change,6,f,0,5288.9374,NA
9001,2,real,21,21,change,6,j,1,1397.0926,NA
9001,2,real,22,22,nochange,6,j,0,1834.2205,NA
9001,2,real,23,23,nochange,6,f,1,1308.8966,NA
9001,2,real,24,24,nochange,6,f,1,1707.8638,5
9001,2,real,25,25,change,6,j,1,1724.8556,NA
9001,2,real,26,26,nochange,6,f,1,482.1107,NA
9001,2,real,27,27,change,6,f,0,1705.9961,NA
9001,2,real,28,28,change,6,j,1,1876.6292,NA
9001,2,real,29,29,nochange,6,f,1,1938.867,NA
9001,2,real,30,30,change,6,j,1,2451.7149,NA
9001,2,real,31,31,nochange,6,f,1,6787.4147,NA
9001,2,real,32,32,nochange,6,f,1,1435.1363,5
9001,2,real,33,33,change,6,j,1,3756.1437,NA
9001,2,real,34,34,change,6,j,1,3098.1154,NA
9001,2,real,35,35,nochange,6,f,1,2916.3132,NA
9001,2,real,36,36,change,6,j,1,2091.2347,NA
9001,2,real,37,37,change,6,j,1,2149.9758,NA
9001,2,real,38,38,nochange,6,f,1,1525.934,NA
9001,2,real,39,39,nochange,6,f,1,5690.3628,NA
9001,2,real,40,40,change,6,j,1,2046.9214,3
9001,2,real,41,41,change,6,f,0,2548.9706,NA
9001,2,real,42,42,nochange,6,j,0,1339.8187,NA
9001,2,real,43,43,change,6,j,1,1642.7604,NA
9001,2,real,44,44,nochange,6,f,1,1877.0727,NA
9001,2,real,45,45,change,6,j,1,1329.1903,NA
9001,2,real,46,46,change,6,j,1,3624.5995,NA
9001,2,real,47,47,nochange,6,f,1,1461.2984,NA
9001,2,real,48,48,change,6,f,0,2286.1743,3
9001,2,real,49,49,nochange,6,f,1,1372.431,NA
9001,2,real,50,50,nochange,6,f,1,899.4716,NA
9001,2,real,51,51,nochange,6,f,1,1898.7027,NA
9001,2,real,52,52,nochange,6,f,1,1959.2014,NA
9001,2,real,53,53,change,6,j,1,2940.0941,NA
9001,2,real,54,54,change,6,f,0,1655.7225,NA
9001,2,real,55,55,change,6,f,0,1599.5973,NA
9001,2,real,56,56,change,6,j,1,1190.7726,5
9001,2,real,57,57,nochange,6,f,1,1090.5428,NA
9001,2,real,58,58,change,6,j,1,1096.3067,NA
9001,2,real,59,59,nochange,6,f,1,1757.0812,NA
9001,2,real,60,60,nochange,6,j,0,1286.5411,NA
9002,2,practice,0,1,nochange,6,f,1,2033.9988,NA
9002,2,practice,0,2,change,6,f,0,1759.2094,NA
9002,2,practice,0,3,change,6,j,1,1361.2739,NA
9002,2,practice,0,4,change,6,j,1,1633.1674,NA
9002,2,practice,0,5,nochange,6,f,1,1004.7554,NA
9002,2,practice,0,6,nochange,6,j,0,1516.1949,NA
9002,2,real,1,1,nochange,6,f,1,1207.067,NA
9002,2,real,2,2,change,6,j,1,1151.4431,NA
9002,2,real,3,3,nochange,6,f,1,1345.9327,NA
9002,2,real,4,4,nochange,6,f,1,1487.8094,NA
9002,2,real,5,5,nochange,6,f,1,1265.1201,NA
9002,2,real,6,6,change,6,j,1,1772.9137,NA
9002,2,real,7,7,nochange,6,f,1,1217.3066,NA
9002,2,real,8,8,change,6,j,1,1974.1015,1
9002,2,real,9,9,change,6,j,1,1158.3225,NA
9002,2,real,10,10,change,6,j,1,1472.5166,NA
9002,2,real,11,11,nochange,6,f,1,1884.1217,NA
9002,2,real,12,12,change,6,j,1,2309.8445,NA
9002,2,real,13,13,nochange,6,f,1,1074.8309,NA
9002,2,real,14,14,change,6,f,0,1054.3617,NA
9002,2,real,15,15,nochange,6,f,1,1961.0594,NA
9002,2,real,16,16,nochange,6,f,1,1441.8236,1
9002,2,real,17,17,nochange,6,f,1,993.1538,NA
9002,2,real,18,18,nochange,6,f,1,2432.3921,NA
9002,2,real,19,19,change,6,j,1,1445.7541,NA
9002,2,real,20,20,nochange,6,f,1,2496.8524,NA
9002,2,real,21,21,nochange,6,f,1,1160.9699,NA
9002,2,real,22,22,change,6,j,1,3046.1808,NA
9002,2,real,23,23,change,6,j,1,1447.4193,NA
9002,2,real,24,24,change,6,f,0,1471.6528,1
9002,2,real,25,25,change,6,j,1,1065.4376,NA
9002,2,real,26,26,change,6,j,1,1102.8756,NA
9002,2,real,27,27,nochange,6,j,0,1728.8041,NA
9002,2,real,28,28,nochange,6,f,1,2569.3775,NA
9002,2,real,29,29,change,6,j,1,1231.7269,NA
9002,2,real,30,30,change,6,j,1,952.2449,NA
9002,2,real,31,31,change,6,j,1,1141.0097,NA
9002,2,real,32,32,change,6,j,1,1135.9008,1
9002,2,real,33,33,change,6,j,1,1051.783,NA
9002,2,real,34,34,change,6,j,1,1319.0356,NA
9002,2,real,35,35,change,6,j,1,1208.2361,NA
9002,2,real,36,36,nochange,6,f,1,1336.3009,NA
9002,2,real,37,37,nochange,6,f,1,1119.7233,NA
9002,2,real,38,38,change,6,j,1,1517.059,NA
9002,2,real,39,39,nochange,6,f,1,1414.9616,NA
9002,2,real,40,40,nochange,6,f,1,1136.3118,1
9002,2,real,41,41,nochange,6,f,1,1009.3834,NA
9002,2,real,42,42,change,6,j,1,1294.9469,NA
9002,2,real,43,43,nochange,6,f,1,1223.0987,NA
9002,2,real,44,44,change,6,j,1,1605.2891,NA
9002,2,real,45,45,nochange,6,f,1,1280.2155,NA
9002,2,real,46,46,nochange,6,f,1,2073.78,NA
