subject,session,date,time,item,acc,rt
9001,2,10/17/22,10:34,1,1,4406.1275
9001,2,10/17/22,10:34,2,1,15942.0299
9001,2,10/17/22,10:34,3,1,5843.6823
9001,2,10/17/22,10:34,4,1,14334.3562
9001,2,10/17/22,10:34,5,0,17956.7024
9001,2,10/17/22,10:34,6,1,11897.8285
9001,2,10/17/22,10:34,7,1,14742.7554
9001,2,10/17/22,10:34,8,1,13494.4569
9001,2,10/17/22,10:34,9,0,24497.3981
9001,2,10/17/22,10:34,10,0,17930.6921
9001,2,10/17/22,10:34,11,0,36930.1853
9001,2,10/17/22,10:34,12,1,38484.5777
9001,2,10/17/22,10:34,13,0,33965.36
9001,2,10/17/22,10:34,14,0,32274.6346
9001,2,10/17/22,10:34,15,0,51138.8442
9001,2,10/17/22,10:34,16,0,29078.6095
9001,2,10/17/22,10:34,17,0,21468.2813
9001,2,10/17/22,10:34,18,0,45083.844
9002,2,10/17/22,10:37,1,1,6275.349
9002,2,10/17/22,10:37,2,1,6141.9339
9002,2,10/17/22,10:37,3,1,6735.625
9002,2,10/17/22,10:37,4,1,14455.9653
9002,2,10/17/22,10:37,5,0,31561.5252
9002,2,10/17/22,10:37,6,0,16454.9313
9002,2,10/17/22,10:37,7,1,40741.2713
9002,2,10/17/22,10:37,8,0,16722.0983
9002,2,10/17/22,10:37,9,0,14106.063
9002,2,10/17/22,10:37,10,0,26744.4116
9002,2,10/17/22,10:37,11,0,15399.5706
9002,2,10/17/22,10:37,12,0,17732.3536
9002,2,10/17/22,10:37,13,0,10726.2926
9002,2,10/17/22,10:37,14,0,18945.6319
9002,2,10/17/22,10:37,15,0,4418.3702
9002,2,10/17/22,10:37,16,1,23861.162
9002,2,10/17/22,10:37,17,0,9449.1966
9002,2,10/17/22,10:37,18,0,7591.131
9004,2,10/17/22,13:27,1,1,11176.6294
9004,2,10/17/22,13:27,2,0,31046.2685
9004,2,10/17/22,13:27,3,1,19707.756
9004,2,10/17/22,13:27,4,1,42086.7564
9004,2,10/17/22,13:27,5,1,12657.985
9004,2,10/17/22,13:27,6,1,20105.7488
9004,2,10/17/22,13:27,7,0,12281.4953
9004,2,10/17/22,13:27,8,0,72808.4983
9004,2,10/17/22,13:27,9,1,11232.3663
9004,2,10/17/22,13:27,10,0,15604.2963
9004,2,10/17/22,13:27,11,0,43385.3793
9004,2,10/17/22,13:27,12,0,24018.1457
9004,2,10/17/22,13:27,13,0,63752.9491
9004,2,10/17/22,13:27,14,0,11438.4205
9004,2,10/17/22,13:27,15,0,30685.9791
9004,2,10/17/22,13:27,16,1,29112.8148
9004,2,10/17/22,13:27,17,0,25983.6873
9004,2,10/17/22,13:27,18,0,32777.9736
9005,2,10/17/22,12:16,1,1,8419.7639
9005,2,10/17/22,12:16,2,1,17240.4519
9005,2,10/17/22,12:16,3,1,4879.014
9005,2,10/17/22,12:16,4,1,16548.7702
9005,2,10/17/22,12:16,5,0,21056.0605
9005,2,10/17/22,12:16,6,1,8391.7319
9005,2,10/17/22,12:16,7,1,12091.2321
9005,2,10/17/22,12:16,8,1,7774.994
9005,2,10/17/22,12:16,9,1,8998.2185
9005,2,10/17/22,12:16,10,0,8962.533
9005,2,10/17/22,12:16,11,0,56061.0977
9005,2,10/17/22,12:16,12,0,26911.7568
