subject,session,date,time,condition,block,trial,rt,wait_time,probe_resp
9001,2,10/17/22,10:01,grey,practice,1,0,3000,NA
9001,2,10/17/22,10:01,grey,practice,2,0.3374673,3500,NA
9001,2,10/17/22,10:01,grey,practice,3,0.2939843,2500,NA
9001,2,10/17/22,10:01,grey,practice,4,0.3038054,5000,NA
9001,2,10/17/22,10:01,grey,practice,5,0.3268152,2500,NA
9001,2,10/17/22,10:01,grey,real,1,0.3569655,5000,NA
9001,2,10/17/22,10:01,grey,real,2,0.341687,6500,NA
9001,2,10/17/22,10:01,grey,real,3,0.3829693,7000,NA
9001,2,10/17/22,10:01,grey,real,4,0.372821,7500,NA
9001,2,10/17/22,10:01,grey,real,5,0.468598,3500,NA
9001,2,10/17/22,10:01,grey,real,6,0.4060471,4000,NA
9001,2,10/17/22,10:01,grey,real,7,0.7328717,6000,NA
9001,2,10/17/22,10:01,grey,real,8,0.8474472,2000,2
9001,2,10/17/22,10:01,grey,real,9,0.3354372,5500,NA
9001,2,10/17/22,10:01,grey,real,10,0.3472012,3500,NA
9001,2,10/17/22,10:01,grey,real,11,0.4488833,5500,NA
9001,2,10/17/22,10:01,grey,real,12,0.3540468,5000,NA
9001,2,10/17/22,10:01,grey,real,13,0.4757047,3000,NA
9001,2,10/17/22,10:01,grey,real,14,0.384376,5000,NA
9001,2,10/17/22,10:01,grey,real,15,0,7000,NA
9001,2,10/17/22,10:01,grey,real,16,0.3862394,7000,5
9001,2,10/17/22,10:01,grey,real,17,0.3920516,2000,NA
9001,2,10/17/22,10:01,grey,real,18,0.5698932,2000,NA
9001,2,10/17/22,10:01,grey,real,19,0.5188516,3500,NA
9001,2,10/17/22,10:01,grey,real,20,0.4896328,2000,NA
9001,2,10/17/22,10:01,grey,real,21,0.4417473,7500,NA
9001,2,10/17/22,10:01,grey,real,22,0.3857475,4500,NA
9001,2,10/17/22,10:01,grey,real,23,0.4115643,4000,NA
9001,2,10/17/22,10:01,grey,real,24,0.3624448,6500,3
9001,2,10/17/22,10:01,grey,real,25,0.4800314,3000,NA
9001,2,10/17/22,10:01,grey,real,26,0,6500,NA
9001,2,10/17/22,10:01,grey,real,27,0.5450507,7500,NA
9001,2,10/17/22,10:01,grey,real,28,0,7500,NA
9001,2,10/17/22,10:01,grey,real,29,0.4168223,8000,NA
9001,2,10/17/22,10:01,grey,real,30,0.4019759,6500,NA
9001,2,10/17/22,10:01,grey,real,31,0.3991619,6000,NA
9001,2,10/17/22,10:01,grey,real,32,0,3500,3
9001,2,10/17/22,10:01,grey,real,33,0.4168609,7500,NA
9001,2,10/17/22,10:01,grey,real,34,0.8143564,5000,NA
9001,2,10/17/22,10:01,grey,real,35,0.4035267,7000,NA
9001,2,10/17/22,10:01,grey,real,36,1.2390529,2000,NA
9001,2,10/17/22,10:01,grey,real,37,0.4850169,4500,NA
9001,2,10/17/22,10:01,grey,real,38,0.450625,5500,NA
9001,2,10/17/22,10:01,grey,real,39,0.8101548,3000,NA
9001,2,10/17/22,10:01,grey,real,40,0.4455771,7500,3
9001,2,10/17/22,10:01,grey,real,41,0.5748813,3500,NA
9001,2,10/17/22,10:01,grey,real,42,0.5024644,3000,NA
9001,2,10/17/22,10:01,grey,real,43,0,7500,NA
9001,2,10/17/22,10:01,grey,real,44,0.6242645,5500,NA
9001,2,10/17/22,10:01,grey,real,45,0.486918,8000,NA
9001,2,10/17/22,10:01,grey,real,46,0.4005719,5000,NA
9001,2,10/17/22,10:01,grey,real,47,0.3847313,5000,NA
9001,2,10/17/22,10:01,grey,real,48,0.7373825,5000,3
9001,2,10/17/22,10:01,grey,real,49,0.4184333,7500,NA
9001,2,10/17/22,10:01,grey,real,50,0,5500,NA
9001,2,10/17/22,10:01,grey,real,51,0.5301356,5000,NA
