subject,session,date,time,block,trial,string,match,rt,acc,target_length,total_correct
NA,2,02/28/23,10:33,0,1,231459_____123759,nonmatch,2104.4472,0,6,NA
NA,2,02/28/23,10:33,0,2,798135_____798135,match,397.7919,0,6,NA
NA,2,02/28/23,10:33,0,3,687_____687,match,155.1727,0,3,NA
NA,2,02/28/23,10:33,0,4,345269875_____3485269875,nonmatch,444.2715,1,9,NA
NA,2,02/28/23,10:33,0,5,168735925_____168735925,match,718.9228,0,9,NA
NA,2,02/28/23,10:33,0,6,342_____349,nonmatch,700.3708,0,3,NA
NA,2,02/28/23,10:33,1,1,897_____397,nonmatch,1004.2949,1,3,1
NA,2,02/28/23,10:33,1,2,984760213_____984760213,match,1026.5954,1,9,2
NA,2,02/28/23,10:33,1,3,541069382_____541069372,nonmatch,1036.7335,0,9,2
NA,2,02/28/23,10:33,1,4,708_____208,nonmatch,884.7091,1,3,3
NA,2,02/28/23,10:33,1,5,951_____951,match,940.0977,1,3,4
NA,2,02/28/23,10:33,1,6,768_____968,nonmatch,838.135,1,3,5
NA,2,02/28/23,10:33,1,7,256093_____256093,match,909.1967,1,6,6
NA,2,02/28/23,10:33,1,8,836_____836,match,848.8349,1,3,7
NA,2,02/28/23,10:33,1,9,302549817_____302549817,match,847.6604,1,9,8
NA,2,02/28/23,10:33,1,10,452183_____452783,nonmatch,933.9454,0,6,8
NA,2,02/28/23,10:33,1,11,197306582_____497306582,nonmatch,993.1287,1,9,9
NA,2,02/28/23,10:33,1,12,816539270_____816539270,match,917.5607,1,9,10
NA,2,02/28/23,10:33,1,13,670418325_____670418325,match,937.2493,1,9,11
NA,2,02/28/23,10:33,1,14,653782_____153782,nonmatch,839.5848,1,6,12
NA,2,02/28/23,10:33,1,15,695_____615,nonmatch,903.1165,0,3,12
NA,2,02/28/23,10:33,1,16,386092517_____386092517,match,863.4992,1,9,13
NA,2,02/28/23,10:33,1,17,456902_____456902,match,1051.6743,1,6,14
NA,2,02/28/23,10:33,1,18,549_____543,nonmatch,798.2218,1,3,15
NA,2,02/28/23,10:33,1,19,803412975_____803412975,match,1046.355,1,9,16
NA,2,02/28/23,10:33,1,20,724_____724,match,876.7197,1,3,17
NA,2,02/28/23,10:33,1,21,301_____301,match,823.0137,1,3,18
NA,2,02/28/23,10:33,1,22,678_____678,match,1306.5193,1,3,19
NA,2,02/28/23,10:33,2,1,938042_____938042,match,1297.6038,1,2,20
NA,2,02/28/23,10:33,2,2,705_____735,nonmatch,830.798,1,2,21
NA,2,02/28/23,10:33,2,3,914_____914,match,1056.5976,1,2,22
NA,2,02/28/23,10:33,2,4,801_____401,nonmatch,870.6778,1,2,23
NA,2,02/28/23,10:33,2,5,512_____512,match,881.0955,1,2,24
NA,2,02/28/23,10:33,2,6,317864095_____327864095,nonmatch,1078.7017,1,2,25
NA,2,02/28/23,10:33,2,7,592034861_____592034861,match,1138.8422,1,2,26
NA,2,02/28/23,10:33,2,8,619_____618,nonmatch,976.988,1,2,27
NA,2,02/28/23,10:33,2,9,587240136_____587240136,match,1206.8021,1,2,28
NA,2,02/28/23,10:33,2,10,965_____965,match,861.0469,1,2,29
NA,2,02/28/23,10:33,2,11,940185237_____940185637,nonmatch,869.4986,0,2,29
NA,2,02/28/23,10:33,2,12,629135470_____629835470,nonmatch,1059.6606,0,2,29
NA,2,02/28/23,10:33,2,13,763520_____783520,nonmatch,988.7208,1,2,30
NA,2,02/28/23,10:33,2,14,496815372_____496815372,match,1075.7212,1,2,31
NA,2,02/28/23,10:33,2,15,237641085_____237641085,match,1001.034,1,2,32
NA,2,02/28/23,10:33,2,16,481593_____401593,nonmatch,1022.537,1,2,33
NA,2,02/28/23,10:33,2,17,586347_____586347,match,1404.7351,1,2,34
NA,2,02/28/23,10:33,2,18,509764138_____509764138,match,1109.356,1,2,35
NA,2,02/28/23,10:33,2,19,759182604_____759182604,match,1276.2083,1,2,36
NA,2,02/28/23,10:33,2,20,580392647_____580392617,nonmatch,1326.2472,0,2,36
9001,2,10/24/22,10:43,0,1,345269875_____3485269875,nonmatch,4051.0158,1,9,NA
9001,2,10/24/22,10:43,0,2,231459_____123759,nonmatch,1210.9194,1,6,NA
9001,2,10/24/22,10:43,0,3,798135_____798135,match,1427.4675,1,6,NA
9001,2,10/24/22,10:43,0,4,342_____349,nonmatch,1215.1524,1,3,NA
9001,2,10/24/22,10:43,0,5,687_____687,match,767.1149,1,3,NA
9001,2,10/24/22,10:43,0,6,168735925_____168735925,match,1882.8743,1,9,NA
9001,2,10/24/22,10:43,1,1,816539270_____816539270,match,2403.4396,1,9,1
9001,2,10/24/22,10:43,1,2,803412975_____803412975,match,1267.1077,1,9,2
9001,2,10/24/22,10:43,1,3,405_____402,nonmatch,837.6922,1,3,3
9001,2,10/24/22,10:43,1,4,583_____583,match,757.8996,1,3,4
9001,2,10/24/22,10:43,1,5,724_____724,match,761.9568,1,3,5
9001,2,10/24/22,10:43,1,6,836_____836,match,798.384,1,3,6
9001,2,10/24/22,10:43,1,7,134785_____130785,nonmatch,1057.3022,1,6,7
9001,2,10/24/22,10:43,1,8,678_____678,match,704.9648,1,3,8
9001,2,10/24/22,10:43,1,9,385096_____385026,nonmatch,1690.9586,1,6,9
9001,2,10/24/22,10:43,1,10,203817546_____203819546,nonmatch,2733.6123,1,9,10
9001,2,10/24/22,10:43,1,11,451076_____451079,nonmatch,1504.8127,1,6,11
9001,2,10/24/22,10:43,1,12,739_____739,match,958.2324,1,3,12
9001,2,10/24/22,10:43,1,13,301_____301,match,653.0259,1,3,13
9001,2,10/24/22,10:43,1,14,287564_____237564,nonmatch,1695.4283,1,6,14
9001,2,10/24/22,10:43,1,15,984760213_____984760213,match,2369.0686,1,9,15
9001,2,10/24/22,10:43,1,16,637_____607,nonmatch,1063.0841,1,3,16
9001,2,10/24/22,10:43,1,17,562937_____562937,match,1756.0675,1,6,17
9001,2,10/24/22,10:43,2,1,806_____806,match,801.9921,1,2,18
9001,2,10/24/22,10:43,2,2,542_____542,match,805.3162,1,2,19
9001,2,10/24/22,10:43,2,3,512_____512,match,712.7954,1,2,20
9001,2,10/24/22,10:43,2,4,481593_____401593,nonmatch,869.7023,1,2,21
9001,2,10/24/22,10:43,2,5,412_____416,nonmatch,791.3685,1,2,22
9001,2,10/24/22,10:43,2,6,416732859_____416732859,match,1877.7553,1,2,23
9001,2,10/24/22,10:43,2,7,587240136_____587240136,match,1813.2008,1,2,24
9001,2,10/24/22,10:43,2,8,132845970_____632845970,nonmatch,1045.0668,1,2,25
9001,2,10/24/22,10:43,2,9,940185237_____940185637,nonmatch,2459.8915,0,2,25
9001,2,10/24/22,10:43,2,10,873_____473,nonmatch,895.3812,1,2,26
9001,2,10/24/22,10:43,2,11,841_____841,match,754.7053,1,2,27
9001,2,10/24/22,10:43,2,12,268571_____268571,match,2003.5653,1,2,28
9001,2,10/24/22,10:43,2,13,796_____896,nonmatch,965.5042,1,2,29
9001,2,10/24/22,10:43,2,14,619_____618,nonmatch,911.3757,1,2,30
9001,2,10/24/22,10:43,2,15,763520_____783520,nonmatch,1521.2756,0,2,30
