subject,session,block,list,setsize,matherrors,lettertotal,ospantotal,motivation,alertness
9001,1,realblock,1,7,1,7,7,NA,NA
9001,1,realblock,2,4,0,4,11,NA,NA
9001,1,realblock,3,5,1,4,15,NA,NA
9001,1,realblock,4,7,1,4,19,NA,NA
9001,1,realblock,5,6,0,3,22,NA,NA
9001,1,realblock,6,3,0,3,25,NA,NA
9001,1,realblock,7,4,1,4,29,NA,NA
9001,1,realblock,8,3,0,3,32,NA,NA
9001,1,realblock,9,6,0,6,38,NA,NA
9001,1,realblock,10,5,0,5,43,NA,NA
9002,1,realblock,1,4,0,4,4,NA,NA
9002,1,realblock,2,5,1,5,9,NA,NA
9002,1,realblock,3,3,0,3,12,NA,NA
9002,1,realblock,4,5,0,5,17,NA,NA
9002,1,realblock,5,4,0,4,21,NA,NA
9002,1,realblock,6,7,0,7,28,NA,NA
9002,1,realblock,7,3,0,3,31,NA,NA
9002,1,realblock,8,6,1,4,35,NA,NA
9002,1,realblock,9,7,0,2,37,NA,NA
9002,1,realblock,10,6,0,6,43,NA,NA
9003,1,realblock,1,6,1,6,6,NA,NA
9003,1,realblock,2,5,2,5,11,NA,NA
9003,1,realblock,3,7,0,0,11,NA,NA
9003,1,realblock,4,4,0,4,15,NA,NA
9003,1,realblock,5,5,0,5,20,NA,NA
9003,1,realblock,6,7,1,2,22,NA,NA
9003,1,realblock,7,3,0,3,25,NA,NA
9003,1,realblock,8,3,0,3,28,NA,NA
9003,1,realblock,9,6,0,6,34,NA,NA
9003,1,realblock,10,4,1,4,38,NA,NA
9005,1,realblock,1,3,0,3,3,NA,NA
9005,1,realblock,2,4,0,0,3,NA,NA
9005,1,realblock,3,6,0,2,5,NA,NA
9005,1,realblock,4,5,0,5,10,NA,NA
9005,1,realblock,5,7,0,3,13,NA,NA
9005,1,realblock,6,4,0,4,17,NA,NA
9005,1,realblock,7,7,1,6,23,NA,NA
9005,1,realblock,8,6,1,6,29,NA,NA
9005,1,realblock,9,5,0,0,29,NA,NA
9005,1,realblock,10,3,0,3,32,NA,NA
9006,1,realblock,1,7,1,7,7,NA,NA
9006,1,realblock,2,3,1,3,10,NA,NA
9006,1,realblock,3,4,0,0,10,NA,NA
9006,1,realblock,4,6,0,6,16,NA,NA
9006,1,realblock,5,3,0,3,19,NA,NA
9006,1,realblock,6,7,1,2,21,NA,NA
9006,1,realblock,7,4,2,4,25,NA,NA
9006,1,realblock,8,6,0,5,30,NA,NA
9006,1,realblock,9,5,0,5,35,NA,NA
9006,1,realblock,10,5,0,5,40,NA,NA
9007,1,realblock,1,7,0,7,7,NA,NA
9007,1,realblock,2,6,0,6,13,NA,NA
9007,1,realblock,3,5,0,5,18,NA,NA
9007,1,realblock,4,3,1,3,21,NA,NA
9007,1,realblock,5,6,1,6,27,NA,NA
9007,1,realblock,6,4,0,4,31,NA,NA
9007,1,realblock,7,5,0,5,36,NA,NA
9007,1,realblock,8,7,1,7,43,NA,NA
9007,1,realblock,9,3,0,3,46,NA,NA
9007,1,realblock,10,4,0,4,50,NA,NA
9008,1,realblock,1,3,0,3,3,NA,NA
9008,1,realblock,2,7,1,4,7,NA,NA
9008,1,realblock,3,4,0,2,9,NA,NA
9008,1,realblock,4,6,1,2,11,NA,NA
9008,1,realblock,5,4,2,4,15,NA,NA
9008,1,realblock,6,7,0,0,15,NA,NA
9008,1,realblock,7,5,0,5,20,NA,NA
9008,1,realblock,8,5,0,2,22,NA,NA
9008,1,realblock,9,3,2,3,25,NA,NA
9008,1,realblock,10,6,1,0,25,NA,NA
9009,1,realblock,1,4,0,4,4,NA,NA
9009,1,realblock,2,4,0,4,8,NA,NA
9009,1,realblock,3,7,0,7,15,NA,NA
9009,1,realblock,4,5,0,5,20,NA,NA
9009,1,realblock,5,3,0,3,23,NA,NA
9009,1,realblock,6,6,1,6,29,NA,NA
9009,1,realblock,7,3,0,3,32,NA,NA
9009,1,realblock,8,5,0,5,37,NA,NA
9009,1,realblock,9,6,1,2,39,NA,NA
9009,1,realblock,10,7,0,5,44,NA,NA
9010,1,realblock,1,4,0,4,4,NA,NA
9010,1,realblock,2,3,0,3,7,NA,NA
9010,1,realblock,3,3,1,3,10,NA,NA
9010,1,realblock,4,7,3,4,14,NA,NA
9010,1,realblock,5,5,0,5,19,NA,NA
9010,1,realblock,6,6,0,4,23,NA,NA
9010,1,realblock,7,5,0,5,28,NA,NA
9010,1,realblock,8,7,1,6,34,NA,NA
9010,1,realblock,9,6,0,6,40,NA,NA
9010,1,realblock,10,4,0,4,44,NA,NA
9011,1,realblock,1,5,1,5,5,NA,NA
9011,1,realblock,2,6,1,4,9,NA,NA
9011,1,realblock,3,4,1,4,13,NA,NA
9011,1,realblock,4,7,0,3,16,NA,NA
9011,1,realblock,5,4,1,4,20,NA,NA
9011,1,realblock,6,5,1,3,23,NA,NA
9011,1,realblock,7,6,3,6,29,NA,NA
9011,1,realblock,8,3,0,3,32,NA,NA
9011,1,realblock,9,7,1,5,37,NA,NA
9011,1,realblock,10,3,0,3,40,NA,NA
9012,1,realblock,1,4,0,4,4,NA,NA
9012,1,realblock,2,7,0,5,9,NA,NA
9012,1,realblock,3,4,0,2,11,NA,NA
