subject,session,date,time,item,acc,rt
9001,1,10/03/22,10:28,1,1,7340.997
9001,1,10/03/22,10:28,2,1,9908.7925
9001,1,10/03/22,10:28,3,1,30632.3573
9001,1,10/03/22,10:28,4,1,6113.5064
9001,1,10/03/22,10:28,5,0,27356.3245
9001,1,10/03/22,10:28,6,0,NA
9001,1,10/03/22,10:28,7,1,15330.8929
9001,1,10/03/22,10:28,8,1,22205.8457
9001,1,10/03/22,10:28,9,1,35716.7527
9001,1,10/03/22,10:28,10,1,17107.3912
9001,1,10/03/22,10:28,11,0,21005.4167
9001,1,10/03/22,10:28,12,1,15173.3424
9001,1,10/03/22,10:28,13,1,14614.7957
9001,1,10/03/22,10:28,14,1,12023.0834
9001,1,10/03/22,10:28,15,0,NA
9004,1,10/03/22,12:58,1,1,14037.2993
9004,1,10/03/22,12:58,2,1,7608.4143
9004,1,10/03/22,12:58,3,1,22053.9729
9004,1,10/03/22,12:58,4,1,57572.2825
9004,1,10/03/22,12:58,5,1,23504.6124
9004,1,10/03/22,12:58,6,1,19251.4528
9004,1,10/03/22,12:58,7,1,26403.0874
9004,1,10/03/22,12:58,8,1,36916.5495
9004,1,10/03/22,12:58,9,1,39309.2845
9004,1,10/03/22,12:58,10,0,NA
9005,1,10/03/22,13:13,1,1,17107.7748
9005,1,10/03/22,13:13,2,1,9040.0424
9005,1,10/03/22,13:13,3,1,46552.4242
9005,1,10/03/22,13:13,4,1,11646.0677
9005,1,10/03/22,13:13,5,1,53640.6772
9005,1,10/03/22,13:13,6,1,16426.9373
9005,1,10/03/22,13:13,7,0,7737.7324
9005,1,10/03/22,13:13,8,1,19452.9562
9005,1,10/03/22,13:13,9,1,29135.4911
9005,1,10/03/22,13:13,10,0,NA
9006,1,10/04/22,10:12,1,0,6413.3255
9006,1,10/04/22,10:12,2,1,12481.0669
9006,1,10/04/22,10:12,3,1,107908.0816
9006,1,10/04/22,10:12,4,1,43962.0588
9006,1,10/04/22,10:12,5,1,89069.659
9006,1,10/04/22,10:12,6,0,NA
9007,1,10/04/22,10:07,1,1,5917.6156
9007,1,10/04/22,10:07,2,1,7498.0766
9007,1,10/04/22,10:07,3,1,15236.0418
9007,1,10/04/22,10:07,4,1,6655.6017
9007,1,10/04/22,10:07,5,0,32595.5017
9007,1,10/04/22,10:07,6,1,12742.0672
9007,1,10/04/22,10:07,7,1,10508.612
9007,1,10/04/22,10:07,8,1,29875.0808
9007,1,10/04/22,10:07,9,0,38370.0696
9007,1,10/04/22,10:07,10,1,25121.7365
9007,1,10/04/22,10:07,11,1,33760.2302
9007,1,10/04/22,10:07,12,1,15984.6504
9007,1,10/04/22,10:07,13,0,NA
9007,1,10/04/22,10:07,14,0,NA
9008,1,10/04/22,13:32,1,1,11876.0072
