subject,session,date,time,list,phase,serial_position,cue,target,rt,correct
9002,2,10/24/22,09:17:00,5,recall,1,NA,queen,2250.7412,1
9002,2,10/24/22,09:17:00,5,recall,2,NA,uncle,3225.3037,1
9002,2,10/24/22,09:17:00,5,recall,3,NA,media,1493.7679,1
9002,2,10/24/22,09:17:00,5,recall,4,NA,penny,1184.6323,1
9002,2,10/24/22,09:17:00,5,recall,10,NA,kitty,4248.833,1
9002,2,10/24/22,09:17:00,6,recall,1,NA,canon,2197.6924,1
9002,2,10/24/22,09:17:00,6,recall,2,NA,snail,2176.5655,1
9002,2,10/24/22,09:17:00,6,recall,3,NA,sauce,1488.3954,1
9002,2,10/24/22,09:17:00,6,recall,6,NA,woman,1290.804,1
9002,2,10/24/22,09:17:00,6,recall,6,NA,worker,5176.9618,0
9002,2,10/24/22,09:17:00,6,recall,8,NA,child,27628.2863,1
9002,2,10/24/22,09:17:00,6,recall,8,NA,wraith,4137.99,0
9002,2,10/24/22,09:17:00,7,recall,1,NA,mouth,2464.9846,1
9002,2,10/24/22,09:17:00,7,recall,2,NA,urine,1449.7405,1
9002,2,10/24/22,09:17:00,7,recall,3,NA,maker,1161.973,1
9002,2,10/24/22,09:17:00,7,recall,10,NA,thorn,1382.8582,1
9002,2,10/24/22,09:17:00,7,recall,6,NA,loser,3961.7388,1
9002,2,10/24/22,09:17:00,8,recall,1,NA,scope,2303.1958,1
9002,2,10/24/22,09:17:00,8,recall,3,NA,radar,2405.9629,1
9002,2,10/24/22,09:17:00,8,recall,3,NA,flash,1248.7864,0
9002,2,10/24/22,09:17:00,8,recall,9,NA,trunk,1266.3408,1
9002,2,10/24/22,09:17:00,8,recall,9,NA,falsh,1976.3039,0
9002,2,10/24/22,09:17:00,8,recall,5,NA,mommy,1738.786,1
9002,2,10/24/22,09:17:00,8,recall,7,NA,hotel,11484.0712,1
9002,2,10/24/22,09:17:00,8,recall,8,NA,sheet,3329.4209,1
9002,2,10/24/22,09:17:00,9,recall,1,NA,latex,2351.6654,1
9002,2,10/24/22,09:17:00,9,recall,2,NA,sword,1393.3067,1
9002,2,10/24/22,09:17:00,9,recall,3,NA,ranch,2800.2969,1
