subject,session,date,time,condition,block,sub_block,trial,subtrial,rt,acc
9002,1,10/10/22,09:27,random,2,1,20,10,502.5772,1
9002,1,10/10/22,09:27,random,3,1,21,1,569.7035,1
9002,1,10/10/22,09:27,random,3,1,22,2,453.9146,1
9002,1,10/10/22,09:27,random,3,1,23,3,458.9335,1
9002,1,10/10/22,09:27,random,3,1,24,4,774.3607,1
9002,1,10/10/22,09:27,random,3,1,25,5,501.9126,1
9002,1,10/10/22,09:27,random,3,1,26,6,462.6653,1
9002,1,10/10/22,09:27,random,3,1,27,7,428.3277,1
9002,1,10/10/22,09:27,random,3,1,28,8,435.8172,1
9002,1,10/10/22,09:27,random,3,1,29,9,557.4968,1
9002,1,10/10/22,09:27,random,3,1,30,10,641.3135,1
9002,1,10/10/22,09:27,random,4,1,31,1,569.7038,0
9002,1,10/10/22,09:27,random,4,1,32,2,427.9152,1
9002,1,10/10/22,09:27,random,4,1,33,3,549.8635,1
9002,1,10/10/22,09:27,random,4,1,34,4,524.9512,1
9002,1,10/10/22,09:27,random,4,1,35,5,765.458,1
9002,1,10/10/22,09:27,random,4,1,36,6,602.7332,1
9002,1,10/10/22,09:27,random,4,1,37,7,573.6976,1
9002,1,10/10/22,09:27,random,4,1,38,8,473.5632,1
9002,1,10/10/22,09:27,random,4,1,39,9,583.8219,1
9002,1,10/10/22,09:27,random,4,1,40,10,532.6639,1
9002,1,10/10/22,09:27,random,5,1,41,1,480.3224,1
9002,1,10/10/22,09:27,random,5,1,42,2,581.9817,1
9002,1,10/10/22,09:27,random,5,1,43,3,525.7302,1
9002,1,10/10/22,09:27,random,5,1,44,4,478.7359,1
9002,1,10/10/22,09:27,random,5,1,45,5,675.7964,1
9002,1,10/10/22,09:27,random,5,1,46,6,484.0877,1
9002,1,10/10/22,09:27,random,5,1,47,7,506.8609,1
9002,1,10/10/22,09:27,random,5,1,48,8,614.1047,1
9002,1,10/10/22,09:27,random,5,1,49,9,593.8025,1
9002,1,10/10/22,09:27,random,5,1,50,10,534.7814,1
9003,1,10/10/22,10:28,practice,0,1,1,1,4716.6721,1
9003,1,10/10/22,10:28,practice,0,1,2,2,780.8795,1
9003,1,10/10/22,10:28,practice,0,1,3,3,1181.4337,1
9003,1,10/10/22,10:28,practice,0,1,4,4,572.3535,1
9003,1,10/10/22,10:28,practice,0,1,5,5,562.9391,1
9003,1,10/10/22,10:28,practice,0,1,6,6,556.8327,1
9003,1,10/10/22,10:28,practice,0,1,7,7,556.9758,1
9003,1,10/10/22,10:28,practice,0,1,8,8,379.0875,1
9003,1,10/10/22,10:28,random,1,1,1,1,402.417,1
9003,1,10/10/22,10:28,random,1,1,2,2,382.3509,1
9003,1,10/10/22,10:28,random,1,1,3,3,383.5917,1
9003,1,10/10/22,10:28,random,1,1,4,4,490.6957,1
9003,1,10/10/22,10:28,random,1,1,5,5,458.8409,1
9003,1,10/10/22,10:28,random,1,1,6,6,481.3736,1
9003,1,10/10/22,10:28,random,1,1,7,7,408.8101,1
9003,1,10/10/22,10:28,random,1,1,8,8,369.7427,1
9003,1,10/10/22,10:28,random,1,1,9,9,354.8406,1
9003,1,10/10/22,10:28,random,1,1,10,10,382.2201,1
9003,1,10/10/22,10:28,random,2,1,11,1,408.5447,0
9003,1,10/10/22,10:28,random,2,1,12,2,534.9472,1
9003,1,10/10/22,10:28,random,2,1,13,3,519.7308,1
9003,1,10/10/22,10:28,random,2,1,14,4,389.0826,1
9003,1,10/10/22,10:28,random,2,1,15,5,407.952,1
9003,1,10/10/22,10:28,random,2,1,16,6,336.9844,1
9003,1,10/10/22,10:28,random,2,1,17,7,308.7655,1
9003,1,10/10/22,10:28,random,2,1,18,8,312.5812,1
9003,1,10/10/22,10:28,random,2,1,19,9,446.4296,1
9003,1,10/10/22,10:28,random,2,1,20,10,363.4918,1
9003,1,10/10/22,10:28,random,3,1,21,1,392.1258,1
9003,1,10/10/22,10:28,random,3,1,22,2,418.2231,1
9003,1,10/10/22,10:28,random,3,1,23,3,379.0115,1
9003,1,10/10/22,10:28,random,3,1,24,4,347.2182,1
9003,1,10/10/22,10:28,random,3,1,25,5,396.7146,1
9003,1,10/10/22,10:28,random,3,1,26,6,384.7803,1
9003,1,10/10/22,10:28,random,3,1,27,7,550.1054,1
9003,1,10/10/22,10:28,random,3,1,28,8,463.585,1
9003,1,10/10/22,10:28,random,3,1,29,9,362.8372,1
9003,1,10/10/22,10:28,random,3,1,30,10,407.7648,1
9003,1,10/10/22,10:28,random,4,1,31,1,464.8612,1
9003,1,10/10/22,10:28,random,4,1,32,2,461.8694,1
9003,1,10/10/22,10:28,random,4,1,33,3,497.535,1
9003,1,10/10/22,10:28,random,4,1,34,4,355.584,1
9003,1,10/10/22,10:28,random,4,1,35,5,360.7092,1
9003,1,10/10/22,10:28,random,4,1,36,6,384.9483,1
9003,1,10/10/22,10:28,random,4,1,37,7,457.4348,1
9003,1,10/10/22,10:28,random,4,1,38,8,378.025,1
9003,1,10/10/22,10:28,random,4,1,39,9,497.7651,1
9003,1,10/10/22,10:28,random,4,1,40,10,381.6619,1
9003,1,10/10/22,10:28,random,5,1,41,1,621.3425,1
9003,1,10/10/22,10:28,random,5,1,42,2,494.7157,1
9003,1,10/10/22,10:28,random,5,1,43,3,463.9457,1
9003,1,10/10/22,10:28,random,5,1,44,4,371.7563,1
9003,1,10/10/22,10:28,random,5,1,45,5,319.4345,1
9003,1,10/10/22,10:28,random,5,1,46,6,439.6484,0
9003,1,10/10/22,10:28,random,5,1,47,7,419.9449,1
9003,1,10/10/22,10:28,random,5,1,48,8,424.3568,1
9003,1,10/10/22,10:28,random,5,1,49,9,522.4087,1
9003,1,10/10/22,10:28,random,5,1,50,10,434.1583,1
9004,1,10/10/22,13:17,practice,0,1,1,1,517.297,1
9004,1,10/10/22,13:17,practice,0,1,2,2,480.3284,1
9004,1,10/10/22,13:17,practice,0,1,3,3,507.6733,1
9004,1,10/10/22,13:17,practice,0,1,4,4,423.4488,1
9004,1,10/10/22,13:17,practice,0,1,5,5,351.9756,1
9004,1,10/10/22,13:17,practice,0,1,6,6,463.6238,1
9004,1,10/10/22,13:17,practice,0,1,7,7,481.9082,1
9004,1,10/10/22,13:17,practice,0,1,8,8,618.2506,1
9004,1,10/10/22,13:17,random,1,1,1,1,365.2574,1
9004,1,10/10/22,13:17,random,1,1,2,2,347.0573,1
9004,1,10/10/22,13:17,random,1,1,3,3,399.5697,1
9004,1,10/10/22,13:17,random,1,1,4,4,424.0075,1
9004,1,10/10/22,13:17,random,1,1,5,5,422.4963,1
9004,1,10/10/22,13:17,random,1,1,6,6,322.5891,1
9004,1,10/10/22,13:17,random,1,1,7,7,439.4018,1
9004,1,10/10/22,13:17,random,1,1,8,8,353.1718,1
9004,1,10/10/22,13:17,random,1,1,9,9,386.7514,1
9004,1,10/10/22,13:17,random,1,1,10,10,459.4221,1
9004,1,10/10/22,13:17,random,2,1,11,1,389.7017,1
9004,1,10/10/22,13:17,random,2,1,12,2,618.6878,1
9004,1,10/10/22,13:17,random,2,1,13,3,385.0998,1
9004,1,10/10/22,13:17,random,2,1,14,4,267.1877,1
9004,1,10/10/22,13:17,random,2,1,15,5,363.1538,1
9004,1,10/10/22,13:17,random,2,1,16,6,526.0613,1
9004,1,10/10/22,13:17,random,2,1,17,7,537.8674,1
9004,1,10/10/22,13:17,random,2,1,18,8,350.7943,1
9004,1,10/10/22,13:17,random,2,1,19,9,337.9551,1
9004,1,10/10/22,13:17,random,2,1,20,10,368.9422,1
9004,1,10/10/22,13:17,random,3,1,21,1,389.1301,1
9004,1,10/10/22,13:17,random,3,1,22,2,306.0631,1
9004,1,10/10/22,13:17,random,3,1,23,3,448.3864,1
9004,1,10/10/22,13:17,random,3,1,24,4,416.134,0
9004,1,10/10/22,13:17,random,3,1,25,5,591.6708,1
9004,1,10/10/22,13:17,random,3,1,26,6,396.2059,1
9004,1,10/10/22,13:17,random,3,1,27,7,477.0436,1
9004,1,10/10/22,13:17,random,3,1,28,8,471.045,1
9004,1,10/10/22,13:17,random,3,1,29,9,349.8337,1
9004,1,10/10/22,13:17,random,3,1,30,10,386.5877,1
9004,1,10/10/22,13:17,random,4,1,31,1,852.9316,1
9004,1,10/10/22,13:17,random,4,1,32,2,526.3005,1
9004,1,10/10/22,13:17,random,4,1,33,3,555.7679,1
9004,1,10/10/22,13:17,random,4,1,34,4,510.4739,1
9004,1,10/10/22,13:17,random,4,1,35,5,418.0682,1
9004,1,10/10/22,13:17,random,4,1,36,6,454.1278,1
9004,1,10/10/22,13:17,random,4,1,37,7,1138.0687,1
9004,1,10/10/22,13:17,random,4,1,38,8,465.7293,1
9004,1,10/10/22,13:17,random,4,1,39,9,452.0743,1
9004,1,10/10/22,13:17,random,4,1,40,10,475.3353,1
9004,1,10/10/22,13:17,random,5,1,41,1,419.2713,1
9004,1,10/10/22,13:17,random,5,1,42,2,507.2267,1
9004,1,10/10/22,13:17,random,5,1,43,3,573.263,1
9004,1,10/10/22,13:17,random,5,1,44,4,535.3979,1
9004,1,10/10/22,13:17,random,5,1,45,5,453.4879,0
9004,1,10/10/22,13:17,random,5,1,46,6,532.2309,1
9004,1,10/10/22,13:17,random,5,1,47,7,516.9169,1
9004,1,10/10/22,13:17,random,5,1,48,8,542.7544,1
9004,1,10/10/22,13:17,random,5,1,49,9,517.0936,1
9004,1,10/10/22,13:17,random,5,1,50,10,477.0421,1
9005,1,10/10/22,12:12,practice,0,1,1,1,1118.1657,1
9005,1,10/10/22,12:12,practice,0,1,2,2,787.6728,1
9005,1,10/10/22,12:12,practice,0,1,3,3,536.9634,1
9005,1,10/10/22,12:12,practice,0,1,4,4,651.7178,1
9005,1,10/10/22,12:12,practice,0,1,5,5,570.5923,1
9005,1,10/10/22,12:12,practice,0,1,6,6,474.3834,1
9005,1,10/10/22,12:12,practice,0,1,7,7,518.7394,1
9005,1,10/10/22,12:12,practice,0,1,8,8,485.506,1
9005,1,10/10/22,12:12,random,1,1,1,1,546.1989,1
9005,1,10/10/22,12:12,random,1,1,2,2,492.8342,1
9005,1,10/10/22,12:12,random,1,1,3,3,578.6068,1
9005,1,10/10/22,12:12,random,1,1,4,4,442.2702,1
9005,1,10/10/22,12:12,random,1,1,5,5,649.1131,1
9005,1,10/10/22,12:12,random,1,1,6,6,414.6267,1
9005,1,10/10/22,12:12,random,1,1,7,7,399.029,1
9005,1,10/10/22,12:12,random,1,1,8,8,375.502,1
9005,1,10/10/22,12:12,random,1,1,9,9,458.355,0
9005,1,10/10/22,12:12,random,1,1,10,10,526.8832,1
9005,1,10/10/22,12:12,random,2,1,11,1,503.283,1
9005,1,10/10/22,12:12,random,2,1,12,2,557.057,1
9005,1,10/10/22,12:12,random,2,1,13,3,561.9865,1
9005,1,10/10/22,12:12,random,2,1,14,4,521.2566,1
9005,1,10/10/22,12:12,random,2,1,15,5,390.4814,1
9005,1,10/10/22,12:12,random,2,1,16,6,469.8134,1
9005,1,10/10/22,12:12,random,2,1,17,7,499.1055,1
9005,1,10/10/22,12:12,random,2,1,18,8,469.471,1
9005,1,10/10/22,12:12,random,2,1,19,9,474.4744,1
9005,1,10/10/22,12:12,random,2,1,20,10,610.9784,1
9005,1,10/10/22,12:12,random,3,1,21,1,637.7009,1
9005,1,10/10/22,12:12,random,3,1,22,2,621.9312,1
9005,1,10/10/22,12:12,random,3,1,23,3,663.8375,1
9005,1,10/10/22,12:12,random,3,1,24,4,399.0366,1
9005,1,10/10/22,12:12,random,3,1,25,5,739.8257,1
9005,1,10/10/22,12:12,random,3,1,26,6,435.4523,1
9005,1,10/10/22,12:12,random,3,1,27,7,441.6486,1
9005,1,10/10/22,12:12,random,3,1,28,8,548.2453,1
9005,1,10/10/22,12:12,random,3,1,29,9,493.2838,1
9005,1,10/10/22,12:12,random,3,1,30,10,666.3269,1
9005,1,10/10/22,12:12,random,4,1,31,1,484.2225,1
9005,1,10/10/22,12:12,random,4,1,32,2,524.3948,1
9005,1,10/10/22,12:12,random,4,1,33,3,636.6405,1
9005,1,10/10/22,12:12,random,4,1,34,4,391.6603,1
9005,1,10/10/22,12:12,random,4,1,35,5,670.7914,1
9005,1,10/10/22,12:12,random,4,1,36,6,538.0464,1
9005,1,10/10/22,12:12,random,4,1,37,7,503.5033,1
9005,1,10/10/22,12:12,random,4,1,38,8,555.8743,1
9005,1,10/10/22,12:12,random,4,1,39,9,484.1437,1
9005,1,10/10/22,12:12,random,4,1,40,10,400.8147,1
9005,1,10/10/22,12:12,random,5,1,41,1,415.3444,1
9005,1,10/10/22,12:12,random,5,1,42,2,418.7575,1
