subject,session,date,time,screen_size,block,trial,trial_type,set_size,resp,acc,rt,proberesp,probresp
9002,2,10/17/2022,10:26,"(1600, 900)",real,57,no-change,6,f,1,1061.9729,NA,NA
9002,2,10/17/2022,10:26,"(1600, 900)",real,58,no-change,6,f,1,1811.9875,NA,NA
9002,2,10/17/2022,10:26,"(1600, 900)",real,59,no-change,6,j,0,1658.6929,NA,NA
9002,2,10/17/2022,10:26,"(1600, 900)",real,60,no-change,6,f,1,1042.0788,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",practice,0,change,6,f,0,353.3785,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",practice,0,change,6,j,1,1257.3312,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",practice,0,no-change,6,f,1,1840.0257,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",practice,0,change,6,f,0,0.1736,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",practice,0,no-change,6,f,1,0.1418,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",practice,0,no-change,6,j,0,0.9924,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,1,change,6,j,1,1844.5353,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,2,change,6,j,1,1851.7778,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,3,no-change,6,f,1,1187.7029,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,4,no-change,6,j,0,1727.6095,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,5,change,6,j,1,2327.5066,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,6,no-change,6,f,1,1742.6309,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,7,change,6,j,1,1202.0354,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,8,change,6,f,0,3.9148,3,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,9,no-change,6,f,1,1018.5604,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,10,no-change,6,j,0,579.4156,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,11,no-change,6,j,0,17.9183,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,12,no-change,6,f,1,1101.4497,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,13,change,6,f,0,1018.6401,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,14,no-change,6,j,0,468.2117,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,15,change,6,f,0,434.6946,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,16,no-change,6,f,1,1205.073,3,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,17,no-change,6,f,1,1353.6379,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,18,no-change,6,f,1,475.0095,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,19,no-change,6,f,1,1132.6557,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,20,change,6,f,0,319.6957,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,21,no-change,6,f,1,3.1069,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,22,change,6,j,1,653.5791,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,23,change,6,f,0,496.7208,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,24,no-change,6,f,1,14.2274,3,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,25,no-change,6,f,1,18.5748,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,26,no-change,6,f,1,9.4603,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,27,no-change,6,f,1,14.3684,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,28,no-change,6,f,1,16.9736,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,29,no-change,6,j,0,1847.9896,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,30,change,6,j,1,1183.4134,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,31,change,6,f,0,1659.5102,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,32,change,6,f,0,583.9927,3,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,33,change,6,f,0,17.9749,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,34,change,6,j,1,510.8204,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,35,change,6,f,0,981.3927,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,36,change,6,j,1,456.2636,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,37,no-change,6,j,0,15.2325,NA,NA
