subject,session,block,trial,subtrial,trialtype,ss,resp,acc,rt,probe_resp
9001,2,practice,0,1,nochange,6,f,1,2435.2086,NA
9001,2,practice,0,2,change,6,f,0,2379.1482,NA
9001,2,practice,0,3,nochange,6,f,1,1458.1709,NA
9001,2,practice,0,4,nochange,6,f,1,1062.9324,NA
9001,2,practice,0,5,change,6,j,1,3213.8138,NA
9001,2,0,1,1,change,6,f,0,993.8644,NA
9001,2,0,2,2,change,6,j,1,4185.6386,NA
9001,2,0,3,3,nochange,6,f,1,2941.3467,NA
9001,2,0,4,4,change,6,f,0,1549.6423,NA
9001,2,0,5,5,change,6,f,0,1299.7954,NA
9001,2,0,6,6,change,6,j,1,3050.5482,NA
9001,2,0,7,7,change,6,f,0,4896.6498,NA
9001,2,0,8,8,nochange,6,f,1,1593.6428,3
9001,2,0,9,9,change,6,f,0,1236.1431,NA
9001,2,0,10,10,change,6,f,0,1405.0499,NA
9001,2,0,11,11,change,6,j,1,2169.889,NA
9001,2,0,12,12,change,6,j,1,1949.4552,NA
9001,2,0,13,13,nochange,6,j,0,2315.9213,NA
9001,2,0,14,14,nochange,6,f,1,1639.2084,NA
9001,2,0,15,15,change,6,f,0,1202.146,NA
9001,2,0,16,16,change,6,f,0,1296.8354,5
9001,2,0,17,17,change,6,j,1,821.8852,NA
9001,2,0,18,18,change,6,f,0,1473.0548,NA
9001,2,0,19,19,change,6,f,0,1846.7883,NA
9001,2,0,20,20,change,6,j,1,3030.5859,NA
9001,2,0,21,21,nochange,6,f,1,1361.4849,NA
9001,2,0,22,22,nochange,6,f,1,948.1401,NA
9001,2,0,23,23,change,6,f,0,1145.8214,NA
9001,2,0,24,24,nochange,6,f,1,892.1103,5
9001,2,0,25,25,nochange,6,f,1,1274.715,NA
9001,2,0,26,26,nochange,6,f,1,2956.7009,NA
9001,2,0,27,27,nochange,6,f,1,870.5921,NA
9001,2,0,28,28,nochange,6,f,1,1442.6427,NA
9001,2,0,29,29,nochange,6,f,1,1838.2089,NA
9001,2,0,30,30,nochange,6,j,0,1679.8346,NA
9001,2,0,31,31,nochange,6,j,0,1690.4252,NA
9001,2,0,32,32,change,6,f,0,1587.0173,5
9001,2,0,33,33,change,6,j,1,1969.6217,NA
9001,2,0,34,34,change,6,j,1,1773.5041,NA
9001,2,0,35,35,nochange,6,f,1,1472.0867,NA
9001,2,0,36,36,nochange,6,f,1,4685.7183000000005,NA
9001,2,0,37,37,nochange,6,j,0,1312.9158,NA
9001,2,0,38,38,change,6,j,1,1917.2999,NA
9001,2,0,39,39,nochange,6,f,1,1643.4597,NA
9001,2,0,40,40,change,6,f,0,3175.2816,5
9001,2,0,41,41,change,6,f,0,2784.7922,NA
9001,2,0,42,42,change,6,j,1,1681.6561,NA
9001,2,0,43,43,change,6,f,0,2971.6997,NA
9001,2,0,44,44,nochange,6,f,1,1555.5129,NA
9001,2,0,45,45,nochange,6,f,1,1674.86,NA
9001,2,0,46,46,change,6,j,1,3868.6054,NA
9001,2,0,47,47,nochange,6,f,1,1436.124,NA
9001,2,0,48,48,nochange,6,j,0,2419.0049,3
9001,2,0,49,49,nochange,6,f,1,1515.2903,NA
9001,2,0,50,50,change,6,j,1,3335.9521,NA
9001,2,0,51,51,change,6,j,1,1396.5842,NA
9001,2,0,52,52,nochange,6,j,0,1963.7092,NA
9001,2,0,53,53,nochange,6,f,1,2586.8191,NA
9001,2,0,54,54,nochange,6,f,1,1473.902,NA
9001,2,0,55,55,nochange,6,f,1,822.2071,NA
9001,2,0,56,56,change,6,j,1,1641.1739,3
9001,2,0,57,57,nochange,6,f,1,4999.8056,NA
9001,2,0,58,58,nochange,6,f,1,1525.641,NA
9001,2,0,59,59,change,6,j,1,993.4533,NA
9001,2,0,60,60,nochange,6,f,1,1269.5953,NA
9002,2,practice,0,1,nochange,6,f,1,2937.0235,NA
9002,2,practice,0,2,nochange,6,f,1,1337.3343,NA
9002,2,practice,0,3,nochange,6,j,0,1335.6698,NA
9002,2,practice,0,4,change,6,j,1,1745.1264,NA
9002,2,practice,0,5,nochange,6,f,1,1414.7938,NA
9002,2,0,1,1,nochange,6,f,1,1191.6084,NA
9002,2,0,2,2,change,6,f,0,1144.9425,NA
9002,2,0,3,3,nochange,6,f,1,1174.2374,NA
9002,2,0,4,4,change,6,j,1,1382.4669,NA
9002,2,0,5,5,change,6,f,0,2802.8997,NA
9002,2,0,6,6,change,6,f,0,1940.4018,NA
9002,2,0,7,7,change,6,j,1,1281.0306,NA
9002,2,0,8,8,change,6,j,1,1156.2752,3
9002,2,0,9,9,nochange,6,f,1,1431.0336,NA
9002,2,0,10,10,change,6,f,0,1284.7372,NA
9002,2,0,11,11,nochange,6,f,1,1041.5732,NA
9002,2,0,12,12,change,6,j,1,1607.6705,NA
9002,2,0,13,13,nochange,6,f,1,1168.0231,NA
9002,2,0,14,14,change,6,f,0,1017.4162,NA
9002,2,0,15,15,change,6,j,1,2010.9104,NA
9002,2,0,16,16,change,6,j,1,1964.6092,2
9002,2,0,17,17,nochange,6,f,1,1367.305,NA
9002,2,0,18,18,nochange,6,f,1,1114.5752,NA
9002,2,0,19,19,nochange,6,f,1,2271.1086,NA
9002,2,0,20,20,change,6,f,0,1825.575,NA
9002,2,0,21,21,nochange,6,f,1,1635.4056,NA
9002,2,0,22,22,nochange,6,f,1,1499.3208,NA
9002,2,0,23,23,nochange,6,f,1,1343.4551,NA
9002,2,0,24,24,nochange,6,f,1,1797.264,3
9002,2,0,25,25,change,6,f,0,1135.9371,NA
9002,2,0,26,26,change,6,j,1,1443.9413,NA
9002,2,0,27,27,nochange,6,f,1,1358.6453,NA
9002,2,0,28,28,nochange,6,f,1,1308.2719,NA
9002,2,0,29,29,nochange,6,f,1,1362.5422,NA
9002,2,0,30,30,change,6,f,0,1814.5896,NA
9002,2,0,31,31,change,6,j,1,886.3574,NA
9002,2,0,32,32,change,6,j,1,1297.9113,3
9002,2,0,33,33,nochange,6,f,1,2197.4792,NA
9002,2,0,34,34,nochange,6,f,1,1740.7423,NA
9002,2,0,35,35,change,6,j,1,3179.4547,NA
9002,2,0,36,36,nochange,6,f,1,1534.4786,NA
9002,2,0,37,37,nochange,6,f,1,1308.503,NA
9002,2,0,38,38,nochange,6,f,1,1468.3711,NA
9002,2,0,39,39,change,6,f,0,3645.5184,NA
9002,2,0,40,40,change,6,j,1,1158.9334,3
9002,2,0,41,41,nochange,6,f,1,1966.2862,NA
