subject,session,date,time,block,trial,string,match,rt,acc,target_length,total_correct
NA,1,11/08/22,10:02,0,1,PHCMNYW_____PHCMNYW,match,2772.655,0,7,NA
NA,1,11/08/22,10:02,0,2,YXC_____HXC,nonmatch,946.6,1,3,NA
NA,1,11/08/22,10:02,0,3,WLDHY_____WLBHY,nonmatch,1068.2175,0,5,NA
NA,1,11/08/22,10:02,0,4,GBMNH_____GBMNH,match,858.9016,1,5,NA
NA,1,11/08/22,10:02,0,5,MZP_____MZP,match,704.1297,0,3,NA
NA,1,11/08/22,10:02,0,6,SNCYHDL_____SPCYHDL,nonmatch,770.6438,1,7,NA
NA,1,11/08/22,10:02,1,1,GYDBCJ_____GYNBCJ,nonmatch,1604.6687,0,6,0
NA,1,11/08/22,10:02,1,2,JWGRLBYFT_____JSGRLBYFT,nonmatch,1328.8715,1,9,1
NA,1,11/08/22,10:02,1,3,CGPWZS_____CGPWZY,nonmatch,1719.2095,1,6,2
NA,1,11/08/22,10:02,1,4,SJZHDC_____SJZHDC,match,1144.6604,0,6,2
NA,1,11/08/22,10:02,1,5,HLR_____HLR,match,709.7735,1,3,3
NA,1,11/08/22,10:02,1,6,DNT_____DPT,nonmatch,970.1128,1,3,4
NA,1,11/08/22,10:02,1,7,XVC_____JVC,nonmatch,824.4539,1,3,5
NA,1,11/08/22,10:02,1,8,FJM_____FJM,match,597.3755,1,3,6
NA,1,11/08/22,10:02,1,9,XWJSMR_____XWJSMR,match,756.7841,1,6,7
NA,1,11/08/22,10:02,1,10,YVFNWM_____YVFNWM,match,837.5561,1,6,8
NA,1,11/08/22,10:02,1,11,VXNMPKDQH_____VXNMPZDQH,nonmatch,1000.6717,1,9,9
NA,1,11/08/22,10:02,1,12,ZFT_____ZBT,nonmatch,938.6702,1,3,10
NA,1,11/08/22,10:02,1,13,MYSRGTHBV_____MYSRGTHBV,match,1223.2358,1,9,11
NA,1,11/08/22,10:02,1,14,CZJWPG_____CZJWPG,match,1065.3113,1,6,12
NA,1,11/08/22,10:02,1,15,YTPZFL_____YTPZFL,match,1720.3295,1,6,13
NA,1,11/08/22,10:02,1,16,QDPVKTGHF_____QDPVKTGHY,nonmatch,1679.4187,1,9,14
NA,1,11/08/22,10:02,1,17,DWR_____DWR,match,687.969,1,3,15
NA,1,11/08/22,10:02,1,18,QFNDSY_____QFTDSY,nonmatch,884.2614,0,6,15
