subject,session,date,time,screen_size,block,trial,trial_type,set_size,resp,acc,rt,probe_resp
9004,1,10/3/2022,12:47,"(1600, 900)",real,2,no-change,6,f,1,1675.1299,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,3,change,6,j,1,1115.7834,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,4,change,6,j,1,2218.9709,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,5,no-change,6,f,1,1490.1166,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,6,no-change,6,j,0,3283.9807,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,7,change,6,f,0,1519.2044,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,8,change,6,j,1,4673.5423,2
9004,1,10/3/2022,12:47,"(1600, 900)",real,9,change,6,j,1,1319.4887,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,10,no-change,6,f,1,1922.5395,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,11,no-change,6,f,1,1320.5024,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,12,no-change,6,j,0,1804.8583,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,13,no-change,6,f,1,2843.2844,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,14,no-change,6,f,1,1724.8534,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,15,no-change,6,f,1,1614.1239,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,16,change,6,j,1,1208.3788,3
9004,1,10/3/2022,12:47,"(1600, 900)",real,17,change,6,j,1,2643.3588,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,18,change,6,f,0,1848.0189,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,19,change,6,j,1,1435.185,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,20,change,6,f,0,1695.2317,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,21,change,6,j,1,1460.0627,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,22,no-change,6,f,1,1295.3398,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,23,no-change,6,f,1,2112.9753,NA
