subject,session,date,time,block,trial,delay,acc,rt,target_side,V11,V12
9001,2,10/17/22,09:19,antisaccade,47,2000,1,633.1394,left,NA,
9001,2,10/17/22,09:19,antisaccade,48,2000,0,1172.3672,left,NA,
9001,2,10/17/22,09:19,antisaccade,49,3000,1,1234.9512,left,NA,
9001,2,10/17/22,09:19,antisaccade,50,2000,0,796.4779,right,NA,
9001,2,10/17/22,09:19,antisaccade,51,3000,0,780.4552,right,NA,
9001,2,10/17/22,09:19,antisaccade,52,3000,0,1354.0703,left,NA,
9001,2,10/17/22,09:19,antisaccade,53,3000,1,527.8094,right,NA,
9001,2,10/17/22,09:19,antisaccade,54,2000,0,601.6507,left,NA,
9001,2,10/17/22,09:19,antisaccade,55,2000,0,1051.0057,left,NA,
9001,2,10/17/22,09:19,antisaccade,56,2000,0,1274.906,right,NA,
9001,2,10/17/22,09:19,antisaccade,57,3000,1,630.6876,left,NA,
9001,2,10/17/22,09:19,antisaccade,58,2000,1,5620.4741,left,NA,
9001,2,10/17/22,09:19,antisaccade,59,2000,1,509.9227,right,NA,
9001,2,10/17/22,09:19,antisaccade,60,2000,1,517.8167,left,NA,
9002,2,10/17/22,10:08,slow_practice,1,2000,1,1597.7897,right,NA,
9002,2,10/17/22,10:08,slow_practice,2,2000,1,1200.8279,left,NA,
9002,2,10/17/22,10:08,slow_practice,3,2000,0,1137.1279,right,NA,
9002,2,10/17/22,10:08,slow_practice,4,2000,1,1041.65,left,NA,
9002,2,10/17/22,10:08,slow_practice,5,3000,1,915.8633,left,NA,
9002,2,10/17/22,10:08,slow_practice,6,3000,1,1344.4093,left,NA,
9002,2,10/17/22,10:08,slow_practice,7,2000,1,1937.4819,left,NA,
9002,2,10/17/22,10:08,slow_practice,8,2000,1,1032.3895,right,NA,
9002,2,10/17/22,10:08,fast_practice,1,3000,1,1365.781,,NA,right
9002,2,10/17/22,10:08,fast_practice,2,3000,0,1472.461,,NA,right
9002,2,10/17/22,10:08,fast_practice,3,2000,0,912.9133,,NA,left
9002,2,10/17/22,10:08,fast_practice,4,3000,1,855.2456,,NA,right
9002,2,10/17/22,10:08,fast_practice,5,2000,0,1130.7111,,NA,right
9002,2,10/17/22,10:08,fast_practice,6,3000,1,800.9812,,NA,left
9002,2,10/17/22,10:08,fast_practice,7,2000,1,857.0155,,NA,left
9002,2,10/17/22,10:08,fast_practice,8,2000,1,896.4023,,NA,right
9002,2,10/17/22,10:08,fast_practice,9,2000,0,711.0363,,NA,left
9002,2,10/17/22,10:08,fast_practice,10,2000,0,953.5034,,NA,left
9002,2,10/17/22,10:08,fast_practice,11,2000,1,664.3556,,NA,right
9002,2,10/17/22,10:08,fast_practice,12,2000,1,729.0395,,NA,right
9002,2,10/17/22,10:08,fast_practice,13,2000,0,1322.1417,,NA,right
9002,2,10/17/22,10:08,fast_practice,14,3000,1,752.0916,,NA,left
9002,2,10/17/22,10:08,fast_practice,15,2000,1,1368.4864,,NA,right
9002,2,10/17/22,10:08,fast_practice,16,2000,1,962.0765,,NA,left
9002,2,10/17/22,10:08,antisaccade,1,2000,1,722.9167,right,NA,
9002,2,10/17/22,10:08,antisaccade,2,2000,1,778.2396,left,NA,
9002,2,10/17/22,10:08,antisaccade,3,2000,0,919.6644,right,NA,
9002,2,10/17/22,10:08,antisaccade,4,3000,0,1300.4362,right,NA,
9002,2,10/17/22,10:08,antisaccade,5,3000,1,1005.8747,right,NA,
9002,2,10/17/22,10:08,antisaccade,6,2000,1,766.7095,right,NA,
9002,2,10/17/22,10:08,antisaccade,7,2000,1,764.7096,left,NA,
9002,2,10/17/22,10:08,antisaccade,8,2000,1,1036.9773,right,NA,
9002,2,10/17/22,10:08,antisaccade,9,3000,0,848.7934,left,NA,
9002,2,10/17/22,10:08,antisaccade,10,2000,0,786.1514,left,NA,
9002,2,10/17/22,10:08,antisaccade,11,2000,0,588.9862,right,NA,
9002,2,10/17/22,10:08,antisaccade,12,3000,0,1035.2232,right,NA,
9002,2,10/17/22,10:08,antisaccade,13,2000,1,1233.9722,left,NA,
9002,2,10/17/22,10:08,antisaccade,14,3000,0,871.1391,right,NA,
9002,2,10/17/22,10:08,antisaccade,15,3000,1,1699.535,left,NA,
9002,2,10/17/22,10:08,antisaccade,16,2000,1,839.8962,left,NA,
9002,2,10/17/22,10:08,antisaccade,17,3000,0,686.6979,left,NA,
9002,2,10/17/22,10:08,antisaccade,18,3000,1,933.4136,left,NA,
9002,2,10/17/22,10:08,antisaccade,19,2000,0,726.1709,left,NA,
9002,2,10/17/22,10:08,antisaccade,20,2000,0,764.6825,right,NA,
9002,2,10/17/22,10:08,antisaccade,21,2000,1,741.3515,left,NA,
9002,2,10/17/22,10:08,antisaccade,22,3000,0,760.3921,right,NA,
9002,2,10/17/22,10:08,antisaccade,23,3000,0,691.261,right,NA,
9002,2,10/17/22,10:08,antisaccade,24,3000,0,514.5264,left,NA,
9002,2,10/17/22,10:08,antisaccade,25,3000,1,704.7952,left,NA,
9002,2,10/17/22,10:08,antisaccade,26,2000,0,685.3767,right,NA,
9002,2,10/17/22,10:08,antisaccade,27,2000,0,854.731,right,NA,
9002,2,10/17/22,10:08,antisaccade,28,2000,1,948.6272,right,NA,
9002,2,10/17/22,10:08,antisaccade,29,2000,1,836.0924,left,NA,
9002,2,10/17/22,10:08,antisaccade,30,3000,0,995.4122,right,NA,
