sub session blk trl stim cond acc rt
11 1 1 123 1 2 1 0.53329
11 1 1 125 1 1 1 0.44937
11 1 1 127 2 1 1 0.44181
11 1 1 129 2 1 1 0.36133
11 1 1 130 1 1 1 0.444
11 1 1 131 1 1 1 0.33062
11 1 1 132 2 1 1 0.42854
11 1 1 135 2 2 1 0.48152
11 1 1 137 1 1 1 0.43462
11 1 1 138 2 2 1 0.50354
11 1 1 140 2 2 1 0.395
11 1 1 143 1 1 1 0.42632
11 1 2 11 2 1 1 0.46723
11 1 2 12 2 2 1 0.57813
11 1 2 13 1 2 1 0.42437
11 1 2 15 1 2 1 0.37733
11 1 2 16 2 2 1 0.39615
11 1 2 18 1 1 1 0.51641
11 1 2 19 2 2 1 0.41771
11 1 2 20 1 1 1 0.3837
11 1 2 21 2 1 1 0.36301
11 1 2 24 1 2 1 0.51658
11 1 2 25 1 2 1 0.52407
11 1 2 26 2 2 1 0.3947
11 1 2 27 2 1 1 0.43001
11 1 2 29 1 2 1 0.49644
11 1 2 32 2 2 1 0.43139
11 1 2 34 1 2 1 0.43408
11 1 2 36 1 2 1 0.50556
11 1 2 39 1 2 1 0.38026
11 1 2 40 2 1 1 0.39118
11 1 2 41 2 1 1 0.44201
11 1 2 43 1 2 1 0.50018
11 1 2 45 2 2 1 0.41219
11 1 2 47 1 1 1 0.36633
11 1 2 49 2 1 1 0.40331
11 1 2 50 2 2 1 0.59152
11 1 2 51 2 2 1 0.48945
11 1 2 52 1 1 1 0.48734
11 1 2 53 2 1 1 0.42898
11 1 2 54 2 1 1 0.4018
11 1 2 55 1 2 1 0.5325
11 1 2 59 1 2 1 0.46926
11 1 2 60 1 2 1 0.45871
11 1 2 61 1 2 1 0.49738
11 1 2 67 1 1 1 0.44054
11 1 2 68 2 2 1 0.43692
11 1 2 70 2 2 1 0.46317
11 1 2 71 2 1 1 0.36483
11 1 2 72 2 1 1 0.39266
11 1 2 74 1 1 1 0.4226
11 1 2 75 1 1 1 0.33185
11 1 2 76 2 2 1 0.45422
11 1 2 77 2 2 1 0.53131
11 1 2 79 1 1 1 0.34183
11 1 2 81 2 1 1 0.45022
11 1 2 82 1 1 1 0.33668
11 1 2 83 2 2 1 0.47489
11 1 2 84 1 1 1 0.39363
11 1 2 89 1 1 1 0.38557
11 1 2 90 2 1 1 0.44497
11 1 2 91 1 2 1 0.36252
11 1 2 92 1 1 1 0.39796
11 1 2 93 2 2 1 0.43323
11 1 2 94 2 2 1 0.50471
11 1 2 95 1 2 1 0.50834
11 1 2 97 2 2 1 0.50441
11 1 2 98 2 1 1 0.41332
11 1 2 100 1 1 1 0.43237
11 1 2 101 1 1 1 0.38021
11 1 2 102 2 1 1 0.52065
11 1 2 103 2 2 1 0.4731
11 1 2 106 1 1 1 0.42059
11 1 2 108 1 1 1 0.50347
11 1 2 109 2 1 1 0.58914
11 1 2 110 2 2 1 0.49353
11 1 2 113 2 2 1 0.45606
11 1 2 114 2 1 1 0.4599
11 1 2 115 2 1 1 0.44244
11 1 2 117 1 1 1 0.54062
11 1 2 118 1 2 1 0.58609
11 1 2 119 1 1 1 0.45102
11 1 2 120 2 1 1 0.49631
11 1 2 121 2 1 1 0.51907
11 1 2 122 1 1 1 0.57693
11 1 2 123 1 2 1 0.53452
11 1 2 125 2 1 1 0.47595
11 1 2 127 1 1 1 0.43959
11 1 2 128 1 1 1 0.39735
11 1 2 129 2 2 1 0.44136
11 1 2 130 1 2 1 0.43815
11 1 2 131 2 1 1 0.44301
11 1 2 132 2 2 1 0.53447
11 1 2 133 1 2 1 0.41686
11 1 2 134 1 2 1 0.52246
11 1 2 137 1 1 1 0.43704
11 1 2 138 1 1 1 0.51305
11 1 2 140 2 1 1 0.50868
11 1 2 144 2 1 1 0.40186
11 1 3 11 1 2 1 0.52859
11 1 3 13 2 2 1 0.41873
11 1 3 14 1 2 1 0.32834
11 1 3 15 2 2 1 0.45009
11 1 3 17 1 1 1 0.44274
11 1 3 18 2 1 1 0.48045
11 1 3 19 2 2 1 0.71789
11 1 3 20 2 2 1 0.48356
11 1 3 21 1 2 1 0.44787
11 1 3 23 1 1 1 0.5391
11 1 3 25 1 2 1 0.49509
11 1 3 26 2 2 1 0.41498
11 1 3 27 2 2 1 0.40993
11 1 3 28 2 2 1 0.43815
11 1 3 31 1 2 1 0.46249
11 1 3 35 1 2 1 0.45928
11 1 3 36 1 2 1 0.51242
11 1 3 38 1 2 1 0.49926
11 1 3 39 2 1 1 0.4337
11 1 3 40 1 1 1 0.3424
11 1 3 41 2 1 1 0.47644
11 1 3 42 2 1 1 0.45784
11 1 3 43 1 1 1 0.46084
11 1 3 44 1 2 1 0.33876
11 1 3 45 1 2 1 0.38881
11 1 3 47 2 1 1 0.41609
11 1 3 48 2 2 1 0.56646
11 1 3 50 2 2 1 0.56717
11 1 3 52 1 2 1 0.49323
11 1 3 53 2 2 1 0.45445
11 1 3 55 2 2 1 0.49317
11 1 3 56 2 1 1 0.46077
11 1 3 57 1 2 1 0.44132
11 1 3 58 1 1 1 0.38268
11 1 3 59 1 1 1 0.41847
11 1 3 61 2 1 1 0.43439
11 1 3 64 2 1 1 0.45289
11 1 3 66 2 1 1 0.36757
11 1 3 67 1 1 1 0.41065
11 1 3 68 1 1 1 0.34244
11 1 3 70 2 2 1 0.44689
11 1 3 74 2 1 1 0.4258
11 1 3 75 1 2 1 0.46283
11 1 3 76 2 1 1 0.42308
11 1 3 78 2 2 1 0.44684
11 1 3 80 1 1 1 0.59031
11 1 3 81 2 1 1 0.68782
11 1 3 82 1 2 1 0.44921
