sub session blk trl stim cond acc rt
11 1 1 27 0 1 1 0.62661
11 1 1 30 0 1 1 0.59437
11 1 1 31 0 1 1 0.78633
11 1 1 32 0 1 1 0.67152
11 1 1 33 0 1 1 0.52105
11 1 1 34 0 1 1 0.4887
11 1 1 36 0 2 1 0.91278
11 1 1 37 0 2 1 1.2253
11 1 1 38 0 2 1 0.57489
11 1 1 39 0 1 1 0.53453
11 1 1 40 0 2 1 0.8778
11 1 1 45 0 1 1 0.83193
11 1 1 46 0 1 1 0.69591
11 1 1 47 0 1 1 0.84121
11 1 1 48 0 2 1 0.68903
11 1 1 49 0 2 1 0.73809
11 1 1 53 0 1 1 0.6956
11 1 1 54 0 2 1 0.73048
11 1 1 56 0 2 1 0.85354
11 1 1 57 0 1 1 0.67043
11 1 1 58 0 1 1 0.7417
11 1 1 59 0 1 1 0.63413
11 1 1 60 0 1 1 0.53245
11 1 1 61 0 1 1 0.44445
11 1 1 63 0 1 1 0.85668
11 1 1 64 0 2 1 1.2075
11 1 1 65 0 1 1 0.76861
11 1 1 66 0 2 1 0.81113
11 1 1 67 0 2 1 0.93023
11 1 1 68 0 1 1 0.86581
11 1 1 69 0 1 1 0.72138
11 1 1 70 0 2 1 0.78115
11 1 1 71 0 1 1 0.60894
11 1 1 74 0 1 1 0.54731
11 1 1 75 0 1 1 0.50734
11 1 1 78 0 1 1 0.49462
11 1 1 80 0 1 1 0.5905
11 1 1 81 0 1 1 0.77405
11 1 1 84 0 1 1 1.1855
11 1 1 85 0 2 1 0.87287
11 1 1 87 0 2 1 0.78201
11 1 1 91 0 2 1 0.53602
11 1 1 92 0 1 1 0.52761
11 1 1 94 0 1 1 0.64805
11 1 1 95 0 1 1 0.99312
11 1 1 97 0 2 1 1.0859
11 1 1 98 0 2 1 0.80281
11 1 1 99 0 2 1 0.79984
11 1 1 100 0 2 1 0.81361
11 1 1 101 0 2 1 0.62941
11 1 1 102 0 2 1 0.98138
11 1 1 103 0 2 1 0.57406
11 1 1 105 0 2 1 0.93803
11 1 1 106 0 2 1 0.70776
11 1 1 107 0 1 1 0.67682
11 1 1 108 0 1 1 0.67161
11 1 1 110 0 2 1 0.80667
11 1 1 111 0 2 1 0.69368
11 1 1 112 0 2 1 0.64963
11 1 1 113 0 2 1 1.0338
11 1 1 114 0 2 1 0.58053
11 1 1 115 0 2 1 0.9256
11 1 1 116 0 2 1 0.84689
11 1 1 117 0 2 1 0.64443
11 1 1 121 0 2 1 0.56035
11 1 1 122 0 1 1 1.0009
11 1 1 126 0 1 1 0.78007
11 1 1 129 0 2 1 1.0375
11 1 1 130 0 2 1 1.2016
11 1 1 132 0 2 1 0.91071
11 1 1 134 0 2 1 0.45139
11 1 1 135 0 1 1 0.67249
11 1 1 136 0 1 1 1.1236
11 1 1 138 0 1 1 0.54322
11 1 1 140 0 2 1 0.55245
11 1 1 142 0 1 1 0.56199
11 1 1 143 0 1 1 0.53097
11 1 1 144 0 1 1 1.2112
11 1 2 11 0 1 1 0.75874
11 1 2 12 0 2 1 0.84258
11 1 2 13 0 2 1 0.81021
11 1 2 16 0 1 1 0.812
11 1 2 18 0 2 1 0.77965
11 1 2 22 0 2 1 0.92776
11 1 2 23 0 1 1 0.74662
11 1 2 24 0 2 1 0.77365
11 1 2 25 0 1 1 0.50682
11 1 2 26 0 2 1 0.83275
11 1 2 27 0 1 1 0.59029
11 1 2 28 0 2 1 1.1931
11 1 2 29 0 1 1 0.9013
11 1 2 30 0 2 1 0.63163
11 1 2 32 0 1 1 0.77997
11 1 2 34 0 2 1 0.70302
11 1 2 37 0 1 1 0.72888
11 1 2 38 0 2 1 0.74832
11 1 2 39 0 1 1 0.92846
11 1 2 43 0 1 1 1.0225
11 1 2 44 0 2 1 0.79274
11 1 2 48 0 2 1 0.61457
11 1 2 49 0 1 1 0.60836
11 1 2 54 0 2 1 0.71762
11 1 2 55 0 2 1 1.1367
11 1 2 57 0 2 1 0.58394
11 1 2 58 0 1 1 0.56522
11 1 2 60 0 1 1 1.0769
11 1 2 62 0 1 1 0.84525
