"ID","item","item_type","test_type","study_pos","ON_resp","ON_RT","rating_resp","rating_RT","file"
1,"NAUC","nonword","old",22,"old",1.47123801708,"R",0.641133472323,"P1_RKN_2018_Feb_14_1053.csv"
1,"DATE","word","old",36,"old",0.980656020343,"R",0.681392386556,"P1_RKN_2018_Feb_14_1053.csv"
1,"WUIL","nonword","old",50,"new",1.21471979469,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"CHUR","nonword","old",27,"old",1.45545394719,"R",1.14525991678,"P1_RKN_2018_Feb_14_1053.csv"
1,"HAND","word","old",28,"old",1.0173926875,"R",1.07311492413,"P1_RKN_2018_Feb_14_1053.csv"
1,"COLD","word","old",8,"old",0.942191764712,"R",0.897370859981,"P1_RKN_2018_Feb_14_1053.csv"
1,"LORT","nonword","new",NA,"new",1.23611880094,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"SWAZ","nonword","old",20,"old",1.5008636117,"R",0.929322361946,"P1_RKN_2018_Feb_14_1053.csv"
1,"WIND","word","old",24,"old",0.876396283507,"K",0.993175625801,"P1_RKN_2018_Feb_14_1053.csv"
1,"FACT","word","new",NA,"new",1.77806827426,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"TRUV","nonword","old",19,"new",1.36127495021,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"DOOR","word","new",NA,"new",1.44577909261,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"GWIC","nonword","new",NA,"new",1.17979379743,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"YAIL","nonword","old",18,"new",0.93309866637,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"SKIN","word","old",46,"old",1.02483776212,"K",0.737409390509,"P1_RKN_2018_Feb_14_1053.csv"
1,"MIND","word","new",NA,"old",1.18253858387,"K",0.713147647679,"P1_RKN_2018_Feb_14_1053.csv"
1,"HESP","nonword","new",NA,"new",1.23861751705,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"LOOK","word","new",NA,"new",1.36750880629,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"ZEAM","nonword","new",NA,"new",1.09193065017,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"RETE","nonword","new",NA,"new",0.938234910369,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"KEPH","nonword","old",10,"old",1.3655584529,"K",0.753278523684,"P1_RKN_2018_Feb_14_1053.csv"
1,"MYDE","nonword","new",NA,"new",1.32201585174,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"WASH","word","new",NA,"new",1.64749576151,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"GATE","word","old",49,"new",1.2274114117,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"DAUV","nonword","old",17,"old",1.79845499992,"K",0.681249573827,"P1_RKN_2018_Feb_14_1053.csv"
1,"LINE","word","new",NA,"new",1.29373501241,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"HOME","word","new",NA,"new",1.28699861467,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"PAGE","word","new",NA,"new",1.17833593488,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"WALK","word","new",NA,"old",1.37079498917,"K",0.760979391634,"P1_RKN_2018_Feb_14_1053.csv"
1,"WONE","nonword","old",2,"old",1.21962694079,"K",1.1455000788,"P1_RKN_2018_Feb_14_1053.csv"
1,"FOSK","nonword","new",NA,"new",1.14141643792,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"RAIN","word","old",38,"old",1.29238627106,"K",0.673284828663,"P1_RKN_2018_Feb_14_1053.csv"
1,"FEET","word","new",NA,"new",1.18305486441,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"JALT","nonword","old",4,"old",1.22170443088,"R",0.76907145232,"P1_RKN_2018_Feb_14_1053.csv"
1,"BOOK","word","new",NA,"new",1.4014583379,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"LIFE","word","old",3,"old",1.120234631,"K",0.65756291151,"P1_RKN_2018_Feb_14_1053.csv"
1,"VEUL","nonword","new",NA,"new",1.24362637103,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"TALK","word","old",43,"old",1.5336305052,"K",0.577366180718,"P1_RKN_2018_Feb_14_1053.csv"
1,"UFTS","nonword","new",NA,"new",1.1157425195,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"DWEK","nonword","new",NA,"new",1.14656658471,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"LEFT","word","new",NA,"new",1.7306181863,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
1,"DAPT","nonword","new",NA,"new",1.51264981925,"N",NA,"P1_RKN_2018_Feb_14_1053.csv"
2,"WUIL","nonword","new",NA,"new",6.53319733386,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"CWUL","nonword","old",31,"old",8.88588042391,"K",1.78403601464,"P10_RKN_2018_Mar_01_1317.csv"
2,"ZEAM","nonword","old",15,"new",2.93745275053,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"LATT","nonword","old",12,"old",3.30838923772,"R",2.81750554392,"P10_RKN_2018_Mar_01_1317.csv"
2,"LEFT","word","new",NA,"new",3.21896684173,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"GWIC","nonword","new",NA,"new",3.35398086187,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"WALK","word","old",29,"old",2.59375256069,"R",1.56154403371,"P10_RKN_2018_Mar_01_1317.csv"
2,"BEEF","word","old",2,"old",2.01704743781,"K",2.45728837044,"P10_RKN_2018_Mar_01_1317.csv"
2,"PLOK","nonword","old",50,"new",3.74183736875,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SONG","word","old",9,"old",2.24217231534,"K",2.105481869,"P10_RKN_2018_Mar_01_1317.csv"
2,"HAND","word","new",NA,"new",1.79033069551,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"CHIE","nonword","new",NA,"new",5.30030633039,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"CLOF","nonword","old",30,"new",4.13801618479,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"TREE","word","new",NA,"new",5.56891184235,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"REST","word","new",NA,"old",8.19460248493,"K",0.91309019523,"P10_RKN_2018_Mar_01_1317.csv"
2,"COLV","nonword","new",NA,"old",2.96176794096,"K",1.33750519805,"P10_RKN_2018_Mar_01_1317.csv"
2,"NARN","nonword","old",32,"old",2.9060200494,"R",1.3055378413,"P10_RKN_2018_Mar_01_1317.csv"
2,"RAIN","word","new",NA,"new",2.02548408251,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"DAUV","nonword","old",23,"new",2.57370124097,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"YAIL","nonword","old",18,"old",1.98346039405,"K",0.88947694574,"P10_RKN_2018_Mar_01_1317.csv"
2,"NOTE","word","old",16,"new",2.18218389116,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SHOP","word","new",NA,"new",2.40012792638,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"TIME","word","new",NA,"new",9.94316052976,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"COLD","word","new",NA,"new",3.26668273666,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SOTE","nonword","old",25,"new",5.15659741883,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"HALF","word","old",41,"new",2.52755358098,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"WONE","nonword","old",36,"old",2.44135724485,"K",0.721373596549,"P10_RKN_2018_Mar_01_1317.csv"
2,"DAPT","nonword","new",NA,"new",1.72039618201,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SEFS","nonword","old",33,"new",2.94066335192,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"WIND","word","new",NA,"new",1.64879080311,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"LIKE","word","new",NA,"new",1.19640431122,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"BOOK","word","old",20,"new",1.15927671191,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"LOOK","word","old",3,"new",1.18391280399,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"KNEE","word","old",46,"old",1.26323070642,"R",1.53716662443,"P10_RKN_2018_Mar_01_1317.csv"
2,"CAKE","word","new",NA,"new",1.54333313534,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"MENC","nonword","new",NA,"new",2.0055451946,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"KISS","word","new",NA,"new",2.38770751908,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"DWEK","nonword","new",NA,"old",2.3051670124,"K",1.09746584212,"P10_RKN_2018_Mar_01_1317.csv"
2,"CWEB","nonword","old",1,"new",2.3038162126,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SALT","word","old",49,"new",1.56070323117,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"TASP","nonword","old",7,"old",2.29838733849,"R",1.35352971207,"P10_RKN_2018_Mar_01_1317.csv"
2,"SPIZ","nonword","old",47,"old",2.22368893884,"K",1.92960437288,"P10_RKN_2018_Mar_01_1317.csv"
2,"HOAB","nonword","new",NA,"new",2.01314498558,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"KLIB","nonword","new",NA,"new",3.5114172607,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"WASH","word","old",19,"old",2.92827661942,"K",0.913597660183,"P10_RKN_2018_Mar_01_1317.csv"
2,"YEAR","word","new",NA,"new",1.36785676854,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"BATH","word","old",4,"old",1.98043141467,"K",1.23347489465,"P10_RKN_2018_Mar_01_1317.csv"
