Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,NextTrial.ACC,Reversal,ReversalNumb,LoudThreshold.last,SessionDate,SessionTime
14005,1,23,13,10,first,1,NA,NA,NA,2,08-28-2018,11:19:41
14005,2,13,21,8,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,3,7,13,6,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,4,13,9,4,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,5,11,13,2,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,6,12,13,1,second,0,1,1,1,2,08-28-2018,11:19:41
14005,7,13,6,7,first,1,0,1,2,2,08-28-2018,11:19:41
14005,8,7,13,6,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,9,13,8,5,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,10,17,13,4,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,11,13,16,3,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,12,13,11,2,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,13,12,13,1,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,14,12,13,1,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,15,13,12,1,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,16,13,12,1,first,0,1,1,3,2,08-28-2018,11:19:41
14005,17,13,9,4,first,1,0,1,4,2,08-28-2018,11:19:41
14005,18,13,10,3,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,19,15,13,2,first,0,1,1,5,2,08-28-2018,11:19:41
14005,20,13,8,5,first,1,0,1,6,2,08-28-2018,11:19:41
14005,21,9,13,4,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,22,16,13,3,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,23,13,11,2,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,24,13,14,1,second,0,1,1,7,2,08-28-2018,11:19:41
14005,25,17,13,4,first,1,0,1,8,2,08-28-2018,11:19:41
14005,26,13,16,3,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,27,13,11,2,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,28,14,13,1,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,29,14,13,1,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,30,13,14,1,second,0,1,1,9,2,08-28-2018,11:19:41
14005,31,13,17,4,second,1,0,1,10,2,08-28-2018,11:19:41
14005,32,13,16,3,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,33,15,13,2,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,34,13,14,1,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,35,14,13,1,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,36,12,13,1,second,0,1,1,11,2,08-28-2018,11:19:41
14005,37,13,17,4,second,1,0,1,12,2,08-28-2018,11:19:41
14005,38,16,13,3,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,39,11,13,2,second,0,1,1,13,2,08-28-2018,11:19:41
14005,40,13,8,5,first,1,0,1,14,2,08-28-2018,11:19:41
14005,41,17,13,4,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,42,13,10,3,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,43,13,15,2,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,44,13,12,1,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,45,13,12,1,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,46,12,13,1,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,47,12,13,1,second,0,1,1,15,2,08-28-2018,11:19:41
14005,48,13,17,4,second,0,0,0,NA,2,08-28-2018,11:19:41
14005,49,13,20,7,second,1,0,1,16,2,08-28-2018,11:19:41
14005,50,19,13,6,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,51,13,18,5,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,52,9,13,4,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,53,16,13,3,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,54,13,11,2,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,55,12,13,1,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,56,12,13,1,second,0,1,1,17,2,08-28-2018,11:19:41
14005,57,13,17,4,second,1,0,1,18,2,08-28-2018,11:19:41
14005,58,16,13,3,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,59,15,13,2,first,1,1,0,NA,2,08-28-2018,11:19:41
14005,60,12,13,1,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,61,13,14,1,second,1,1,0,NA,2,08-28-2018,11:19:41
14005,62,13,14,1,second,0,1,1,19,2,08-28-2018,11:19:41
14005,63,9,13,4,second,1,0,1,20,2,08-28-2018,11:19:41
14005,64,16,13,3,first,1,1,0,NA,2,08-28-2018,11:19:41
14009,1,13,3,10,first,1,NA,NA,NA,5,10-12-2018,15:23:45
14009,2,5,13,8,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,3,13,7,6,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,4,13,17,4,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,5,15,13,2,first,0,1,1,1,5,10-12-2018,15:23:45
14009,6,21,13,8,first,1,0,1,2,5,10-12-2018,15:23:45
14009,7,7,13,6,second,0,1,1,3,5,10-12-2018,15:23:45
14009,8,4,13,9,second,1,0,1,4,5,10-12-2018,15:23:45
14009,9,13,5,8,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,10,20,13,7,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,11,13,7,6,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,12,8,13,5,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,13,17,13,4,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,14,13,16,3,second,0,1,1,5,5,10-12-2018,15:23:45
14009,15,13,19,6,second,1,0,1,6,5,10-12-2018,15:23:45
14009,16,13,18,5,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,17,13,17,4,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,18,13,10,3,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,19,13,15,2,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,20,13,12,1,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,21,12,13,1,second,0,1,1,7,5,10-12-2018,15:23:45
14009,22,9,13,4,second,1,0,1,8,5,10-12-2018,15:23:45
14009,23,13,16,3,second,0,1,1,9,5,10-12-2018,15:23:45
14009,24,13,7,6,first,1,0,1,10,5,10-12-2018,15:23:45
14009,25,13,18,5,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,26,13,9,4,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,27,10,13,3,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,28,11,13,2,second,0,1,1,11,5,10-12-2018,15:23:45
14009,29,18,13,5,first,1,0,1,12,5,10-12-2018,15:23:45
14009,30,17,13,4,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,31,13,10,3,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,32,11,13,2,second,0,1,1,13,5,10-12-2018,15:23:45
14009,33,13,8,5,first,1,0,1,14,5,10-12-2018,15:23:45
14009,34,13,9,4,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,35,13,10,3,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,36,11,13,2,second,0,1,1,15,5,10-12-2018,15:23:45
14009,37,18,13,5,first,1,0,1,16,5,10-12-2018,15:23:45
14009,38,17,13,4,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,39,10,13,3,second,0,1,1,17,5,10-12-2018,15:23:45
14009,40,13,7,6,first,1,0,1,18,5,10-12-2018,15:23:45
14009,41,13,8,5,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,42,17,13,4,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,43,16,13,3,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,44,13,15,2,second,0,1,1,19,5,10-12-2018,15:23:45
14009,45,18,13,5,first,1,0,1,20,5,10-12-2018,15:23:45
14009,46,13,17,4,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,47,13,10,3,first,0,1,1,21,5,10-12-2018,15:23:45
14009,48,13,19,6,second,0,0,0,NA,5,10-12-2018,15:23:45
14009,49,13,22,9,second,1,0,1,22,5,10-12-2018,15:23:45
14009,50,5,13,8,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,51,6,13,7,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,52,13,19,6,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,53,18,13,5,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,54,13,17,4,second,1,1,0,NA,5,10-12-2018,15:23:45
14009,55,16,13,3,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,56,15,13,2,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,57,12,13,1,second,0,1,1,23,5,10-12-2018,15:23:45
14009,58,13,17,4,second,1,0,1,24,5,10-12-2018,15:23:45
14009,59,16,13,3,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,60,13,11,2,first,1,1,0,NA,5,10-12-2018,15:23:45
14009,61,13,14,1,second,0,1,1,25,5,10-12-2018,15:23:45
14009,62,9,13,4,second,1,0,1,26,5,10-12-2018,15:23:45
14009,63,10,13,3,second,0,1,1,27,5,10-12-2018,15:23:45
14009,64,19,13,6,first,1,0,1,28,5,10-12-2018,15:23:45
14011,1,13,23,10,second,1,NA,NA,NA,3,08-14-2018,15:02:38
14011,2,13,5,8,first,1,1,0,NA,3,08-14-2018,15:02:38
14011,3,13,19,6,second,1,1,0,NA,3,08-14-2018,15:02:38
14011,4,17,13,4,first,1,1,0,NA,3,08-14-2018,15:02:38
