Subject,Trial,Answer,Response,Accuracy,RT,TimeLeft,TotalScore,SessionDate,SessionTime
14000,1,A,A,1,6630,420000,19,09-17-2017,11:12:55
14000,2,E,E,1,3355,412729,19,09-17-2017,11:12:55
14000,3,D,D,1,16590,408836,19,09-17-2017,11:12:55
14000,4,B,B,1,5556,391709,19,09-17-2017,11:12:55
14000,5,D,D,1,7571,385607,19,09-17-2017,11:12:55
14000,6,D,D,1,26208,377514,19,09-17-2017,11:12:55
14000,7,C,C,1,19991,350789,19,09-17-2017,11:12:55
14000,8,C,C,1,14768,330263,19,09-17-2017,11:12:55
14000,9,B,B,1,17706,314961,19,09-17-2017,11:12:55
14000,10,D,D,1,17299,296714,19,09-17-2017,11:12:55
14000,11,C,C,1,31662,278851,19,09-17-2017,11:12:55
14000,12,B,B,1,23644,246651,19,09-17-2017,11:12:55
14000,13,B,C,0,26580,222458,19,09-17-2017,11:12:55
14000,14,B,B,1,4546,195348,19,09-17-2017,11:12:55
14000,15,D,E,0,22900,190282,19,09-17-2017,11:12:55
14000,16,E,E,1,39787,166850,19,09-17-2017,11:12:55
14000,17,E,E,1,28220,126529,19,09-17-2017,11:12:55
14000,18,E,E,1,42725,97780,19,09-17-2017,11:12:55
14000,19,D,D,1,7819,54514,19,09-17-2017,11:12:55
14000,20,E,E,1,16806,46157,19,09-17-2017,11:12:55
14000,21,A,A,1,7164,28803,19,09-17-2017,11:12:55
14001,1,A,A,1,4481,420000,20,09-17-2017,11:11:58
14001,2,E,E,1,4392,414874,20,09-17-2017,11:11:58
14001,3,D,D,1,10429,409942,20,09-17-2017,11:11:58
14001,4,B,B,1,10011,398973,20,09-17-2017,11:11:58
14001,5,D,D,1,2526,388416,20,09-17-2017,11:11:58
14001,6,D,B,0,6901,385352,20,09-17-2017,11:11:58
14001,7,C,A,0,14719,377900,20,09-17-2017,11:11:58
14001,8,C,D,0,33119,362666,20,09-17-2017,11:11:58
14001,9,B,B,1,8304,329009,20,09-17-2017,11:11:58
14001,10,D,D,1,9426,320172,20,09-17-2017,11:11:58
14001,11,C,C,1,41390,310216,20,09-17-2017,11:11:58
14001,12,B,B,1,10185,268283,20,09-17-2017,11:11:58
14001,13,B,B,1,12093,257567,20,09-17-2017,11:11:58
14001,14,B,B,1,4777,244932,20,09-17-2017,11:11:58
14001,15,D,A,0,11275,239613,20,09-17-2017,11:11:58
14001,16,E,E,1,16393,227803,20,09-17-2017,11:11:58
14001,17,E,E,1,20745,210876,20,09-17-2017,11:11:58
14001,18,E,E,1,18906,189590,20,09-17-2017,11:11:58
14001,19,D,D,1,21433,170156,20,09-17-2017,11:11:58
14001,20,E,E,1,18131,148190,20,09-17-2017,11:11:58
14001,21,A,A,1,12814,129529,20,09-17-2017,11:11:58
14001,22,B,B,1,16600,116187,20,09-17-2017,11:11:58
14001,23,D,C,0,21467,99046,20,09-17-2017,11:11:58
14001,24,A,A,1,47621,77040,20,09-17-2017,11:11:58
14001,25,A,A,1,25304,28883,20,09-17-2017,11:11:58
14002,1,A,A,1,12779,420000,24,09-13-2017,11:23:47
14002,2,E,E,1,3959,406598,24,09-13-2017,11:23:47
14002,3,D,D,1,12283,402106,24,09-13-2017,11:23:47
14002,4,B,B,1,7213,389283,24,09-13-2017,11:23:47
14002,5,D,D,1,6381,381539,24,09-13-2017,11:23:47
14002,6,D,D,1,11999,374622,24,09-13-2017,11:23:47
14002,7,C,C,1,21737,362078,24,09-13-2017,11:23:47
14002,8,C,C,1,27856,339807,24,09-13-2017,11:23:47
14002,9,B,B,1,13865,311415,24,09-13-2017,11:23:47
14002,10,D,D,1,4657,297008,24,09-13-2017,11:23:47
14002,11,C,C,1,21851,291809,24,09-13-2017,11:23:47
14002,12,B,B,1,16847,269429,24,09-13-2017,11:23:47
14002,13,B,B,1,12967,252049,24,09-13-2017,11:23:47
14002,14,B,B,1,4246,238560,24,09-13-2017,11:23:47
14002,15,D,D,1,37074,233789,24,09-13-2017,11:23:47
14002,16,E,E,1,23148,196188,24,09-13-2017,11:23:47
14002,17,E,E,1,16911,172503,24,09-13-2017,11:23:47
14002,18,E,E,1,20231,155055,24,09-13-2017,11:23:47
14002,19,D,D,1,368,134288,24,09-13-2017,11:23:47
14002,20,E,E,1,11166,127078,24,09-13-2017,11:23:47
14002,21,A,A,1,28919,115375,24,09-13-2017,11:23:47
14002,22,B,B,1,52269,85918,24,09-13-2017,11:23:47
14002,23,D,D,1,20196,33108,24,09-13-2017,11:23:47
14002,24,A,A,1,8478,12383,24,09-13-2017,11:23:47
14003,1,A,A,1,3417,420000,20,09-15-2017,12:07:02
14003,2,E,E,1,9768,415954,20,09-15-2017,12:07:02
14003,3,D,D,1,7833,405651,20,09-15-2017,12:07:02
14003,4,B,B,1,4150,397280,20,09-15-2017,12:07:02
14003,5,D,D,1,2573,392602,20,09-15-2017,12:07:02
14003,6,D,E,0,17329,389510,20,09-15-2017,12:07:02
14003,7,C,C,1,38864,371663,20,09-15-2017,12:07:02
14003,8,C,C,1,24304,332276,20,09-15-2017,12:07:02
14003,9,B,A,0,21747,307431,20,09-15-2017,12:07:02
14003,10,D,D,1,6949,285145,20,09-15-2017,12:07:02
14003,11,C,C,1,21474,277654,20,09-15-2017,12:07:02
14003,12,B,B,1,20407,255635,20,09-15-2017,12:07:02
14003,13,B,B,1,24142,234682,20,09-15-2017,12:07:02
14003,14,B,B,1,3916,210010,20,09-15-2017,12:07:02
14003,15,D,B,0,26861,205572,20,09-15-2017,12:07:02
14003,16,E,D,0,9627,178194,20,09-15-2017,12:07:02
14003,17,E,E,1,27743,168050,20,09-15-2017,12:07:02
14003,18,E,E,1,18112,139780,20,09-15-2017,12:07:02
14003,19,D,D,1,14097,121133,20,09-15-2017,12:07:02
14003,20,E,E,1,7534,106498,20,09-15-2017,12:07:02
14003,21,A,A,1,11185,98421,20,09-15-2017,12:07:02
14003,22,B,B,1,9564,86704,20,09-15-2017,12:07:02
14003,23,D,D,1,35914,76578,20,09-15-2017,12:07:02
14003,24,A,D,0,20859,40119,20,09-15-2017,12:07:02
14003,25,A,A,1,7664,18727,20,09-15-2017,12:07:02
14004,1,A,A,1,6199,420000,22,09-26-2017,15:11:15
14004,2,E,E,1,8051,413182,22,09-26-2017,15:11:15
14004,3,D,D,1,17147,404598,22,09-26-2017,15:11:15
14004,4,B,B,1,6603,386911,22,09-26-2017,15:11:15
14004,5,D,D,1,6363,379766,22,09-26-2017,15:11:15
14004,6,D,D,1,17026,372861,22,09-26-2017,15:11:15
14004,7,C,C,1,14947,355295,22,09-26-2017,15:11:15
14004,8,C,C,1,20827,339807,22,09-26-2017,15:11:15
14004,9,B,B,1,10970,318440,22,09-26-2017,15:11:15
14004,10,D,D,1,15856,306951,22,09-26-2017,15:11:15
14004,11,C,C,1,30947,290570,22,09-26-2017,15:11:15
14004,12,B,B,1,12504,259100,22,09-26-2017,15:11:15
14004,13,B,B,1,12509,246064,22,09-26-2017,15:11:15
14004,14,B,B,1,4740,233015,22,09-26-2017,15:11:15
14004,15,D,C,0,21429,227737,22,09-26-2017,15:11:15
14004,16,E,E,1,12911,205770,22,09-26-2017,15:11:15
14004,17,E,E,1,12110,192322,22,09-26-2017,15:11:15
14004,18,E,E,1,27501,179673,22,09-26-2017,15:11:15
14004,19,D,D,1,6049,151629,22,09-26-2017,15:11:15
14004,20,E,E,1,19497,145045,22,09-26-2017,15:11:15
14004,21,A,A,1,25423,125011,22,09-26-2017,15:11:15
14004,22,B,B,1,25812,99060,22,09-26-2017,15:11:15
14004,23,D,D,1,16306,72722,22,09-26-2017,15:11:15
14004,24,A,B,0,29800,55901,22,09-26-2017,15:11:15
14005,1,A,A,1,8250,420000,19,09-13-2017,15:12:59
14005,2,E,E,1,7658,411130,19,09-13-2017,15:12:59
