Subject,Task,TrialProc,Block,Trial,Accuracy,RT,Response,CorrectResponse,Stimulus_1,Stimulus_2,TargetLength,Distractor_Location,LetterComp.Total,NumberComp.Total,LetterComp_1.Total,LetterComp_2.Total,NumberComp_1.Total,NumberComp_2.Total,SessionDate,SessionTime
14005,LetterComparison,real,2,7,1,3599,different,different,SZRVPMTJH,SZYVPMTJH,9,3,20,32,9,11,17,15,09-04-2014,12:12:23
14005,LetterComparison,real,2,8,1,1290,different,different,MXK,GXK,3,1,20,32,9,11,17,15,09-04-2014,12:12:23
14005,LetterComparison,real,2,9,1,6705,different,different,CTBWGZNRL,CTBDGZNRL,9,4,20,32,9,11,17,15,09-04-2014,12:12:23
14005,LetterComparison,real,2,10,1,3513,same,same,KSDPVF,KSDPVF,6,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,LetterComparison,real,2,11,1,1672,different,different,FVN,FVY,3,3,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,practice,NA,1,1,3376,same,same,650198437,650198437,NA,NA,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,practice,NA,2,1,1776,same,same,905731,905731,NA,NA,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,practice,NA,3,1,1767,different,different,490371,490378,NA,NA,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,practice,NA,4,1,1062,same,same,468,468,NA,NA,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,practice,NA,5,1,1737,different,different,529760843,521760843,NA,NA,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,practice,NA,6,1,1649,different,different,361,261,NA,NA,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,1,1,971,same,same,780,780,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,2,1,837,same,same,678,678,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,3,1,2134,different,different,825031764,895031764,9,2,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,4,1,1123,different,different,708,208,3,1,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,5,1,2960,same,same,984760213,984760213,9,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,6,1,1853,same,same,562937,562937,6,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,7,1,2373,different,different,451076,451079,6,6,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,8,1,2513,different,different,653782,153782,6,1,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,9,1,1239,different,different,109,139,3,2,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,10,1,3623,same,same,739,739,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,11,1,2264,same,same,324719605,324719605,9,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,12,1,1600,different,different,405,402,3,3,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,13,1,1379,same,same,836,836,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,14,1,1431,different,different,897,397,3,1,20,32,9,11,17,15,09-04-2014,12:12:23
