Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,SymSpan.Absolute,SymSpan.Partial,SymSpan.Partial_Block1,SymSpan.Partial_Block2,SymSpan.SymmetryACC,SymSpan.SymmetryDuration,SessionDate,SessionTime
14000,1,1,2,1,ProcessingTask,659,1,FALSE,FALSE,12,2,2,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,1,2,2,ProcessingTask,919,1,FALSE,FALSE,3,2,2,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,1,2,3,Recall,336,1,12,12,NA,2,2,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,1,2,4,Recall,395,1,3,3,NA,2,2,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,1,ProcessingTask,671,1,FALSE,FALSE,16,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,2,ProcessingTask,518,1,FALSE,FALSE,3,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,3,ProcessingTask,445,1,FALSE,FALSE,1,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,4,ProcessingTask,638,1,TRUE,TRUE,6,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,5,ProcessingTask,3063,1,TRUE,TRUE,7,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,6,Recall,726,0,12,16,NA,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,7,Recall,446,1,3,3,NA,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,8,Recall,430,1,1,1,NA,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,9,Recall,2084,0,10,6,NA,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,2,5,10,Recall,444,1,7,7,NA,5,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,3,3,1,ProcessingTask,548,1,FALSE,FALSE,5,3,3,14,33,17,16,1,NA,08-30-2017,10:11:57
14000,1,3,3,2,ProcessingTask,499,1,FALSE,FALSE,2,3,3,14,33,17,16,1,NA,08-30-2017,10:11:57
