Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,NextTrial.ACC,Reversal,ReversalNumb,PitchThreshold.last,SessionDate,SessionTime
14000,1,825,810,15,first,1,NA,NA,NA,13,09-24-2017,14:46:49
14000,2,830,843,13,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,3,810,799,11,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,4,839,830,9,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,5,800,793,7,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,6,815,820,5,second,0,1,1,1,13,09-24-2017,14:46:49
14000,7,830,841,11,second,1,0,1,2,13,09-24-2017,14:46:49
14000,8,810,800,10,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,9,800,809,9,second,0,1,1,3,13,09-24-2017,14:46:49
14000,10,832,820,12,first,1,0,1,4,13,09-24-2017,14:46:49
14000,11,819,830,11,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,12,810,820,10,second,0,1,1,5,13,09-24-2017,14:46:49
14000,13,823,810,13,first,1,0,1,6,13,09-24-2017,14:46:49
14000,14,800,812,12,second,0,1,1,7,13,09-24-2017,14:46:49
14000,15,800,785,15,first,1,0,1,8,13,09-24-2017,14:46:49
14000,16,830,816,14,first,0,1,1,9,13,09-24-2017,14:46:49
14000,17,837,820,17,first,1,0,1,10,13,09-24-2017,14:46:49
14000,18,804,820,16,second,0,1,1,11,13,09-24-2017,14:46:49
14000,19,800,781,19,first,1,0,1,12,13,09-24-2017,14:46:49
14000,20,818,800,18,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,21,830,813,17,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,22,814,830,16,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,23,800,785,15,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,24,820,806,14,first,0,1,1,13,13,09-24-2017,14:46:49
14000,25,827,810,17,first,0,0,0,NA,13,09-24-2017,14:46:49
14000,26,820,840,20,second,1,0,1,14,13,09-24-2017,14:46:49
14000,27,839,820,19,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,28,802,820,18,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,29,810,793,17,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,30,784,800,16,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,31,815,830,15,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,32,810,824,14,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,33,807,820,13,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,34,832,820,12,first,0,1,1,15,13,09-24-2017,14:46:49
14000,35,845,830,15,first,0,0,0,NA,13,09-24-2017,14:46:49
14000,36,800,818,18,second,0,0,0,NA,13,09-24-2017,14:46:49
14000,37,799,820,21,second,1,0,1,16,13,09-24-2017,14:46:49
14000,38,810,790,20,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,39,820,839,19,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,40,810,792,18,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,41,820,837,17,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,42,830,846,16,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,43,815,830,15,second,0,1,1,17,13,09-24-2017,14:46:49
14000,44,818,800,18,first,1,0,1,18,13,09-24-2017,14:46:49
14000,45,810,827,17,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,46,810,826,16,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,47,820,805,15,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,48,824,810,14,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,49,830,817,13,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,50,808,820,12,second,0,1,1,19,13,09-24-2017,14:46:49
14000,51,820,805,15,first,1,0,1,20,13,09-24-2017,14:46:49
14000,52,786,800,14,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,53,813,800,13,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,54,830,842,12,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,55,789,800,11,second,0,1,1,21,13,09-24-2017,14:46:49
14000,56,820,834,14,second,1,0,1,22,13,09-24-2017,14:46:49
14000,57,843,830,13,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,58,810,822,12,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,59,830,819,11,first,1,1,0,NA,13,09-24-2017,14:46:49
14000,60,840,830,10,first,0,1,1,23,13,09-24-2017,14:46:49
14000,61,787,800,13,second,1,0,1,24,13,09-24-2017,14:46:49
14000,62,800,812,12,second,1,1,0,NA,13,09-24-2017,14:46:49
14000,63,809,820,11,second,0,1,1,25,13,09-24-2017,14:46:49
14000,64,820,806,14,first,1,0,1,26,13,09-24-2017,14:46:49
14001,1,830,815,15,first,1,NA,NA,NA,9,09-24-2017,14:36:00
14001,2,800,787,13,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,3,821,810,11,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,4,810,801,9,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,5,830,837,7,second,0,1,1,1,9,09-24-2017,14:36:00
14001,6,810,797,13,first,1,0,1,2,9,09-24-2017,14:36:00
14001,7,830,841,11,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,8,800,810,10,second,0,1,1,3,9,09-24-2017,14:36:00
14001,9,800,787,13,first,1,0,1,4,9,09-24-2017,14:36:00
14001,10,818,830,12,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,11,820,831,11,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,12,810,820,10,second,0,1,1,5,9,09-24-2017,14:36:00
14001,13,820,807,13,first,1,0,1,6,9,09-24-2017,14:36:00
14001,14,830,818,12,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,15,789,800,11,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,16,820,830,10,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,17,829,820,9,first,0,1,1,7,9,09-24-2017,14:36:00
14001,18,842,830,12,first,1,0,1,8,9,09-24-2017,14:36:00
