Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,NextTrial.ACC,Reversal,ReversalNumb,PitchThreshold.last,SessionDate,SessionTime
14001,19,800,811,11,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,20,840,830,10,first,0,1,1,9,9,09-24-2017,14:36:00
14001,21,800,787,13,first,1,0,1,10,9,09-24-2017,14:36:00
14001,22,820,832,12,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,23,809,820,11,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,24,790,800,10,second,0,1,1,11,9,09-24-2017,14:36:00
14001,25,813,800,13,first,1,0,1,12,9,09-24-2017,14:36:00
14001,26,788,800,12,second,0,1,1,13,9,09-24-2017,14:36:00
14001,27,810,825,15,second,1,0,1,14,9,09-24-2017,14:36:00
14001,28,844,830,14,first,0,1,1,15,9,09-24-2017,14:36:00
14001,29,810,827,17,second,1,0,1,16,9,09-24-2017,14:36:00
14001,30,820,804,16,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,31,805,820,15,second,0,1,1,17,9,09-24-2017,14:36:00
14001,32,802,820,18,second,1,0,1,18,9,09-24-2017,14:36:00
14001,33,827,810,17,first,0,1,1,19,9,09-24-2017,14:36:00
14001,34,800,820,20,second,1,0,1,20,9,09-24-2017,14:36:00
14001,35,811,830,19,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,36,818,800,18,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,37,800,817,17,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,38,810,826,16,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,39,820,835,15,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,40,830,816,14,first,0,1,1,21,9,09-24-2017,14:36:00
14001,41,820,803,17,first,1,0,1,22,9,09-24-2017,14:36:00
14001,42,830,846,16,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,43,835,820,15,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,44,810,796,14,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,45,787,800,13,second,0,1,1,23,9,09-24-2017,14:36:00
14001,46,830,814,16,first,1,0,1,24,9,09-24-2017,14:36:00
14001,47,815,830,15,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,48,824,810,14,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,49,800,787,13,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,50,830,842,12,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,51,809,820,11,second,0,1,1,25,9,09-24-2017,14:36:00
14001,52,806,820,14,second,1,0,1,26,9,09-24-2017,14:36:00
14001,53,810,823,13,second,1,1,0,NA,9,09-24-2017,14:36:00
14001,54,842,830,12,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,55,831,820,11,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,56,810,800,10,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,57,809,800,9,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,58,800,808,8,second,0,1,1,27,9,09-24-2017,14:36:00
14001,59,819,830,11,second,1,0,1,28,9,09-24-2017,14:36:00
14001,60,810,820,10,second,0,1,1,29,9,09-24-2017,14:36:00
14001,61,820,807,13,first,1,0,1,30,9,09-24-2017,14:36:00
14001,62,812,800,12,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,63,821,810,11,first,1,1,0,NA,9,09-24-2017,14:36:00
14001,64,830,820,10,first,1,1,0,NA,9,09-24-2017,14:36:00
14010,1,820,835,15,second,1,NA,NA,NA,1,09-28-2017,12:49:21
14010,2,800,813,13,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,3,820,809,11,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,4,830,839,9,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,5,807,800,7,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,6,815,810,5,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,7,820,817,3,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,8,810,812,2,second,0,1,1,1,1,09-28-2017,12:49:21
14010,9,805,800,5,first,1,0,1,2,1,09-28-2017,12:49:21
14010,10,826,830,4,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,11,800,797,3,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,12,820,822,2,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,13,799,800,1,second,0,1,1,3,1,09-28-2017,12:49:21
14010,14,800,804,4,second,1,0,1,4,1,09-28-2017,12:49:21
14010,15,817,820,3,second,0,1,1,5,1,09-28-2017,12:49:21
14010,16,806,800,6,first,0,0,0,NA,1,09-28-2017,12:49:21
14010,17,791,800,9,second,1,0,1,6,1,09-28-2017,12:49:21
14010,18,830,822,8,first,0,1,1,7,1,09-28-2017,12:49:21
14010,19,819,830,11,second,1,0,1,8,1,09-28-2017,12:49:21
14010,20,820,830,10,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,21,810,801,9,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,22,800,808,8,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,23,810,803,7,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,24,814,820,6,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,25,810,805,5,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,26,810,806,4,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,27,817,820,3,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,28,798,800,2,second,0,1,1,9,1,09-28-2017,12:49:21
14010,29,805,800,5,first,1,0,1,10,1,09-28-2017,12:49:21
14010,30,830,826,4,first,0,1,1,11,1,09-28-2017,12:49:21
14010,31,817,810,7,first,1,0,1,12,1,09-28-2017,12:49:21
14010,32,830,836,6,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,33,825,820,5,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,34,824,820,4,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,35,800,797,3,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,36,832,830,2,first,0,1,1,13,1,09-28-2017,12:49:21
14010,37,830,825,5,first,1,0,1,14,1,09-28-2017,12:49:21
14010,38,824,820,4,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,39,833,830,3,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,40,832,830,2,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,41,831,830,1,first,0,1,1,15,1,09-28-2017,12:49:21
14010,42,814,810,4,first,1,0,1,16,1,09-28-2017,12:49:21
14010,43,820,817,3,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,44,830,832,2,second,0,1,1,17,1,09-28-2017,12:49:21
14010,45,825,830,5,second,1,0,1,18,1,09-28-2017,12:49:21
14010,46,830,834,4,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,47,810,813,3,second,0,1,1,19,1,09-28-2017,12:49:21
14010,48,814,820,6,second,1,0,1,20,1,09-28-2017,12:49:21
14010,49,820,815,5,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,50,816,820,4,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,51,830,827,3,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,52,810,812,2,second,0,1,1,21,1,09-28-2017,12:49:21
14010,53,800,795,5,first,1,0,1,22,1,09-28-2017,12:49:21
14010,54,800,804,4,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,55,817,820,3,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,56,820,822,2,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,57,829,830,1,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,58,821,820,1,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,59,800,799,1,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,60,819,820,1,second,1,1,0,NA,1,09-28-2017,12:49:21
14010,61,799,800,1,second,0,1,1,23,1,09-28-2017,12:49:21
14010,62,816,820,4,second,1,0,1,24,1,09-28-2017,12:49:21
14010,63,813,810,3,first,1,1,0,NA,1,09-28-2017,12:49:21
14010,64,810,812,2,second,1,1,0,NA,1,09-28-2017,12:49:21
14002,1,820,835,15,second,0,NA,NA,NA,14,09-27-2017,13:02:05
14002,2,800,779,21,first,1,0,1,1,14,09-27-2017,13:02:05
14002,3,830,811,19,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,4,827,810,17,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,5,825,810,15,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,6,813,800,13,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,7,800,789,11,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,8,800,810,10,second,0,1,1,2,14,09-27-2017,13:02:05
14002,9,830,843,13,second,1,0,1,3,14,09-27-2017,13:02:05
14002,10,830,818,12,first,0,1,1,4,14,09-27-2017,13:02:05
14002,11,815,830,15,second,0,0,0,NA,14,09-27-2017,13:02:05
14002,12,830,848,18,second,1,0,1,5,14,09-27-2017,13:02:05
14002,13,810,827,17,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,14,800,816,16,second,0,1,1,6,14,09-27-2017,13:02:05
14002,15,839,820,19,first,1,0,1,7,14,09-27-2017,13:02:05
14002,16,810,828,18,second,0,1,1,8,14,09-27-2017,13:02:05
14002,17,799,820,21,second,0,0,0,NA,14,09-27-2017,13:02:05
14002,18,796,820,24,second,0,0,0,NA,14,09-27-2017,13:02:05
14002,19,806,830,24,second,1,0,1,9,14,09-27-2017,13:02:05
14002,20,833,810,23,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,21,852,830,22,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,22,851,830,21,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,23,800,820,20,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,24,830,849,19,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,25,820,802,18,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,26,800,783,17,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,27,814,830,16,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,28,805,820,15,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,29,834,820,14,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,30,787,800,13,second,0,1,1,10,14,09-27-2017,13:02:05
14002,31,810,826,16,second,0,0,0,NA,14,09-27-2017,13:02:05
14002,32,801,820,19,second,1,0,1,11,14,09-27-2017,13:02:05
14002,33,820,802,18,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,34,830,813,17,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,35,820,836,16,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,36,800,815,15,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,37,814,800,14,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,38,820,807,13,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,39,832,820,12,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,40,820,831,11,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,41,790,800,10,second,0,1,1,12,14,09-27-2017,13:02:05
14002,42,843,830,13,first,0,0,0,NA,14,09-27-2017,13:02:05
14002,43,826,810,16,first,1,0,1,13,14,09-27-2017,13:02:05
14002,44,800,785,15,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,45,830,816,14,first,0,1,1,14,14,09-27-2017,13:02:05
14002,46,803,820,17,second,1,0,1,15,14,09-27-2017,13:02:05
14002,47,804,820,16,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,48,805,820,15,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,49,810,796,14,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,50,817,830,13,second,0,1,1,16,14,09-27-2017,13:02:05
14002,51,820,804,16,first,1,0,1,17,14,09-27-2017,13:02:05
14002,52,810,795,15,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,53,834,820,14,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,54,810,823,13,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,55,810,798,12,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,56,820,831,11,second,0,1,1,18,14,09-27-2017,13:02:05
14002,57,814,800,14,first,1,0,1,19,14,09-27-2017,13:02:05
14002,58,787,800,13,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,59,830,842,12,second,1,1,0,NA,14,09-27-2017,13:02:05
14002,60,810,799,11,first,1,1,0,NA,14,09-27-2017,13:02:05
14002,61,790,800,10,second,0,1,1,20,14,09-27-2017,13:02:05
14002,62,843,830,13,first,0,0,0,NA,14,09-27-2017,13:02:05
14002,63,816,800,16,first,1,0,1,21,14,09-27-2017,13:02:05
14002,64,800,815,15,second,1,1,0,NA,14,09-27-2017,13:02:05
14003,1,845,830,15,first,0,NA,NA,NA,12,10-06-2017,13:41:44
14003,2,810,789,21,first,1,0,1,1,12,10-06-2017,13:41:44
14003,3,829,810,19,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,4,837,820,17,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,5,800,785,15,first,0,1,1,2,12,10-06-2017,13:41:44
14003,6,779,800,21,second,1,0,1,3,12,10-06-2017,13:41:44
14003,7,801,820,19,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,8,810,828,18,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,9,830,813,17,first,0,1,1,4,12,10-06-2017,13:41:44
14003,10,800,780,20,first,1,0,1,5,12,10-06-2017,13:41:44
14003,11,800,819,19,second,0,1,1,6,12,10-06-2017,13:41:44
14003,12,798,820,22,second,0,0,0,NA,12,10-06-2017,13:41:44
14003,13,844,820,24,first,1,0,1,7,12,10-06-2017,13:41:44
14003,14,853,830,23,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,15,852,830,22,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,16,820,799,21,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,17,820,800,20,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,18,829,810,19,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,19,818,800,18,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,20,820,837,17,second,0,1,1,8,12,10-06-2017,13:41:44
14003,21,800,820,20,second,0,0,0,NA,12,10-06-2017,13:41:44
14003,22,810,787,23,first,1,0,1,9,12,10-06-2017,13:41:44
14003,23,820,798,22,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,24,809,830,21,second,0,1,1,10,12,10-06-2017,13:41:44
14003,25,830,854,24,second,1,0,1,11,12,10-06-2017,13:41:44
14003,26,810,833,23,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,27,852,830,22,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,28,809,830,21,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,29,820,840,20,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,30,801,820,19,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,31,800,818,18,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,32,837,820,17,first,0,1,1,12,12,10-06-2017,13:41:44
14003,33,840,820,20,first,0,0,0,NA,12,10-06-2017,13:41:44
14003,34,800,777,23,first,1,0,1,13,12,10-06-2017,13:41:44
14003,35,830,852,22,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,36,820,841,21,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,37,810,830,20,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,38,830,811,19,first,0,1,1,14,12,10-06-2017,13:41:44
14003,39,810,788,22,first,1,0,1,15,12,10-06-2017,13:41:44
14003,40,779,800,21,second,0,1,1,16,12,10-06-2017,13:41:44
14003,41,820,844,24,second,1,0,1,17,12,10-06-2017,13:41:44
14003,42,830,807,23,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,43,820,798,22,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,44,799,820,21,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,45,800,820,20,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,46,801,820,19,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,47,818,800,18,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,48,783,800,17,second,0,1,1,18,12,10-06-2017,13:41:44
14003,49,800,820,20,second,0,0,0,NA,12,10-06-2017,13:41:44
14003,50,800,777,23,first,1,0,1,19,12,10-06-2017,13:41:44
14003,51,830,852,22,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,52,821,800,21,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,53,830,810,20,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,54,811,830,19,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,55,818,800,18,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,56,827,810,17,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,57,784,800,16,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,58,815,830,15,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,59,806,820,14,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,60,830,817,13,first,0,1,1,20,12,10-06-2017,13:41:44
14003,61,830,846,16,second,1,0,1,21,12,10-06-2017,13:41:44
14003,62,810,825,15,second,1,1,0,NA,12,10-06-2017,13:41:44
14003,63,810,796,14,first,1,1,0,NA,12,10-06-2017,13:41:44
14003,64,807,820,13,second,1,1,0,NA,12,10-06-2017,13:41:44
14004,1,830,815,15,first,0,NA,NA,NA,17,10-24-2017,16:45:00
14004,2,851,830,21,first,0,0,0,NA,17,10-24-2017,16:45:00
14004,3,800,824,24,second,1,0,1,1,17,10-24-2017,16:45:00
14004,4,832,810,22,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,5,820,840,20,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,6,802,820,18,second,0,1,1,2,17,10-24-2017,16:45:00
14004,7,810,786,24,first,1,0,1,3,17,10-24-2017,16:45:00
14004,8,800,777,23,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,9,832,810,22,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,10,820,799,21,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,11,820,800,20,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,12,849,830,19,first,0,1,1,4,17,10-24-2017,16:45:00
14004,13,810,788,22,first,1,0,1,5,17,10-24-2017,16:45:00
14004,14,799,820,21,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,15,800,780,20,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,16,781,800,19,second,0,1,1,6,17,10-24-2017,16:45:00
14004,17,810,832,22,second,0,0,0,NA,17,10-24-2017,16:45:00
14004,18,800,824,24,second,1,0,1,7,17,10-24-2017,16:45:00
14004,19,820,843,23,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,20,778,800,22,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,21,821,800,21,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,22,850,830,20,first,0,1,1,8,17,10-24-2017,16:45:00
14004,23,797,820,23,second,1,0,1,9,17,10-24-2017,16:45:00
14004,24,820,842,22,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,25,809,830,21,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,26,800,780,20,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,27,801,820,19,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,28,800,818,18,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,29,803,820,17,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,30,836,820,16,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,31,825,810,15,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,32,810,824,14,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,33,807,820,13,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,34,820,808,12,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,35,830,841,11,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,36,810,820,10,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,37,809,800,9,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,38,830,822,8,first,0,1,1,10,17,10-24-2017,16:45:00
14004,39,831,820,11,first,1,0,1,11,17,10-24-2017,16:45:00
14004,40,810,820,10,second,0,1,1,12,17,10-24-2017,16:45:00
14004,41,800,813,13,second,0,0,0,NA,17,10-24-2017,16:45:00
14004,42,816,800,16,first,1,0,1,13,17,10-24-2017,16:45:00
14004,43,830,845,15,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,44,810,796,14,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,45,830,843,13,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,46,812,800,12,first,0,1,1,14,17,10-24-2017,16:45:00
14004,47,785,800,15,second,0,0,0,NA,17,10-24-2017,16:45:00
14004,48,812,830,18,second,1,0,1,15,17,10-24-2017,16:45:00
14004,49,813,830,17,second,1,1,0,NA,17,10-24-2017,16:45:00
14004,50,810,794,16,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,51,830,815,15,first,0,1,1,16,17,10-24-2017,16:45:00
14004,52,838,820,18,first,1,0,1,17,17,10-24-2017,16:45:00
14004,53,800,783,17,first,1,1,0,NA,17,10-24-2017,16:45:00
14004,54,836,820,16,first,0,1,1,18,17,10-24-2017,16:45:00
14004,55,810,829,19,second,1,0,1,19,17,10-24-2017,16:45:00
14004,56,782,800,18,second,0,1,1,20,17,10-24-2017,16:45:00
14004,57,831,810,21,first,0,0,0,NA,17,10-24-2017,16:45:00
