Subject,Trial,Answer,Response,Accuracy,RT,TimeLeft,TotalScore,SessionDate,SessionTime
14005,13,G,B,0,26077,239660,12,08-30-2017,14:49:39
14005,14,G,A,0,42624,213055,12,08-30-2017,14:49:39
14005,15,F,B,0,62785,169895,12,08-30-2017,14:49:39
14005,16,D,B,0,99091,106570,12,08-30-2017,14:49:39
14006,1,E,E,1,21860,600000,16,08-30-2017,15:30:30
14006,2,G,G,1,10952,577521,16,08-30-2017,15:30:30
14006,3,C,C,1,9284,566005,16,08-30-2017,15:30:30
14006,4,F,F,1,13637,556154,16,08-30-2017,15:30:30
14006,5,H,H,1,15172,541946,16,08-30-2017,15:30:30
14006,6,E,E,1,7705,526190,16,08-30-2017,15:30:30
14006,7,B,B,1,15906,517900,16,08-30-2017,15:30:30
14006,8,B,B,1,40409,501399,16,08-30-2017,15:30:30
14006,9,F,F,1,20678,460413,16,08-30-2017,15:30:30
14006,10,C,C,1,33664,439166,16,08-30-2017,15:30:30
14006,11,H,H,1,57542,404924,16,08-30-2017,15:30:30
14006,12,F,F,1,34887,346797,16,08-30-2017,15:30:30
14006,13,G,G,1,28493,311328,16,08-30-2017,15:30:30
14006,14,G,G,1,49691,282246,16,08-30-2017,15:30:30
14006,15,F,F,1,131953,231996,16,08-30-2017,15:30:30
14006,16,D,D,1,43990,99479,16,08-30-2017,15:30:30
14007,1,E,E,1,14376,600000,12,08-31-2017,09:23:11
14007,2,G,G,1,7162,585012,12,08-31-2017,09:23:11
14007,3,C,F,0,9375,577321,12,08-31-2017,09:23:11
14007,4,F,F,1,11971,567403,12,08-31-2017,09:23:11
14007,5,H,H,1,6740,554902,12,08-31-2017,09:23:11
14007,6,E,E,1,7799,547625,12,08-31-2017,09:23:11
14007,7,B,B,1,28660,539294,12,08-31-2017,09:23:11
14007,8,B,B,1,19206,510103,12,08-31-2017,09:23:11
14007,9,F,D,0,33242,490363,12,08-31-2017,09:23:11
14007,10,C,C,1,12519,456574,12,08-31-2017,09:23:11
14007,11,H,H,1,21168,443499,12,08-31-2017,09:23:11
14007,12,F,F,1,15706,421785,12,08-31-2017,09:23:11
14007,13,G,G,1,34093,405524,12,08-31-2017,09:23:11
14007,14,G,G,1,15920,370882,12,08-31-2017,09:23:11
14007,15,F,C,0,45875,354422,12,08-31-2017,09:23:11
14007,16,D,E,0,26104,308010,12,08-31-2017,09:23:11
14007,17,E,A,0,31676,281365,12,08-31-2017,09:23:11
14007,18,C,B,0,28836,249150,12,08-31-2017,09:23:11
14008,1,E,B,0,14512,600000,12,08-31-2017,09:26:36
14008,2,G,G,1,10671,584865,12,08-31-2017,09:26:36
14008,3,C,C,1,19117,573655,12,08-31-2017,09:26:36
14008,4,F,F,1,40065,553994,12,08-31-2017,09:26:36
14008,5,H,H,1,16497,513395,12,08-31-2017,09:26:36
14008,6,E,E,1,14847,496361,12,08-31-2017,09:26:36
14008,7,B,B,1,29025,480979,12,08-31-2017,09:26:36
14008,8,B,B,1,30142,451415,12,08-31-2017,09:26:36
14008,9,F,F,1,23043,420732,12,08-31-2017,09:26:36
14008,10,C,C,1,33360,397154,12,08-31-2017,09:26:36
14008,11,H,H,1,40488,363258,12,08-31-2017,09:26:36
14008,12,F,H,0,48677,322232,12,08-31-2017,09:26:36
14008,13,G,G,1,23715,273022,12,08-31-2017,09:26:36
14008,14,G,G,1,54917,248775,12,08-31-2017,09:26:36
14008,15,F,G,0,72325,193327,12,08-31-2017,09:26:36
14008,16,D,B,0,35165,120471,12,08-31-2017,09:26:36
14009,1,E,E,1,14664,600000,5,08-31-2017,10:34:46
14009,2,G,G,1,8451,584598,5,08-31-2017,10:34:46
14009,3,C,C,1,20854,575508,5,08-31-2017,10:34:46
14009,4,F,B,0,33469,553901,5,08-31-2017,10:34:46
14009,5,H,C,0,48255,519820,5,08-31-2017,10:34:46
14009,6,E,E,1,38437,470835,5,08-31-2017,10:34:46
14009,7,B,H,0,28106,431449,5,08-31-2017,10:34:46
14009,8,B,E,0,12457,402591,5,08-31-2017,10:34:46
14009,9,F,F,1,15909,389263,5,08-31-2017,10:34:46
14009,10,C,E,0,33413,372614,5,08-31-2017,10:34:46
14009,11,H,A,0,40870,338585,5,08-31-2017,10:34:46
14009,12,F,D,0,34271,296826,5,08-31-2017,10:34:46
14009,13,G,B,0,22402,261585,5,08-31-2017,10:34:46
14009,14,G,E,0,15247,238633,5,08-31-2017,10:34:46
14009,15,F,G,0,72118,222772,5,08-31-2017,10:34:46
14009,16,D,G,0,29156,150008,5,08-31-2017,10:34:46
14009,17,E,C,0,59200,119886,5,08-31-2017,10:34:46
14010,1,E,E,1,18680,600000,14,08-31-2017,11:22:04
14010,2,G,G,1,12660,580693,14,08-31-2017,11:22:04
14010,3,C,C,1,5952,567497,14,08-31-2017,11:22:04
14010,4,F,F,1,17677,561005,14,08-31-2017,11:22:04
14010,5,H,H,1,10248,542784,14,08-31-2017,11:22:04
14010,6,E,E,1,8329,532002,14,08-31-2017,11:22:04
14010,7,B,B,1,30618,523138,14,08-31-2017,11:22:04
14010,8,B,B,1,25204,491988,14,08-31-2017,11:22:04
14010,9,F,F,1,37177,466251,14,08-31-2017,11:22:04
14010,10,C,C,1,15933,428543,14,08-31-2017,11:22:04
14010,11,H,H,1,38155,412069,14,08-31-2017,11:22:04
14010,12,F,F,1,20925,373375,14,08-31-2017,11:22:04
14010,13,G,D,0,156402,351915,14,08-31-2017,11:22:04
14010,14,G,G,1,58458,194980,14,08-31-2017,11:22:04
14010,15,F,F,1,39608,135987,14,08-31-2017,11:22:04
14011,1,E,E,1,23733,600000,7,08-31-2017,11:21:44
14011,2,G,G,1,13108,575642,7,08-31-2017,11:21:44
14011,3,C,C,1,28147,561993,7,08-31-2017,11:21:44
14011,4,F,B,0,14407,533308,7,08-31-2017,11:21:44
14011,5,H,H,1,10793,518367,7,08-31-2017,11:21:44
14011,6,E,C,0,28472,507038,7,08-31-2017,11:21:44
14011,7,B,E,0,31687,478020,7,08-31-2017,11:21:44
14011,8,B,H,0,18623,445805,7,08-31-2017,11:21:44
14011,9,F,C,0,30949,426651,7,08-31-2017,11:21:44
14011,10,C,C,1,24018,395168,7,08-31-2017,11:21:44
14011,11,H,D,0,32307,370616,7,08-31-2017,11:21:44
14011,12,F,F,1,44335,337773,7,08-31-2017,11:21:44
14011,13,G,E,0,33265,292895,7,08-31-2017,11:21:44
14011,14,G,E,0,25655,259093,7,08-31-2017,11:21:44
14011,15,F,C,0,33903,232901,7,08-31-2017,11:21:44
14011,16,D,B,0,57750,198460,7,08-31-2017,11:21:44
14011,17,E,E,1,73334,140173,7,08-31-2017,11:21:44
14011,18,C,D,0,51928,66304,7,08-31-2017,11:21:44
14012,1,E,E,1,20263,600000,11,08-31-2017,13:13:53
14012,2,G,G,1,19870,579120,11,08-31-2017,13:13:53
14012,3,C,C,1,19008,558713,11,08-31-2017,13:13:53
14012,4,F,F,1,22747,539172,11,08-31-2017,13:13:53
14012,5,H,H,1,12814,515887,11,08-31-2017,13:13:53
14012,6,E,E,1,12218,502532,11,08-31-2017,13:13:53
14012,7,B,B,1,37439,489776,11,08-31-2017,13:13:53
14012,8,B,B,1,25921,451801,11,08-31-2017,13:13:53
14012,9,F,F,1,52831,425345,11,08-31-2017,13:13:53
14012,10,C,E,0,45294,371976,11,08-31-2017,13:13:53
14012,11,H,H,1,47988,326151,11,08-31-2017,13:13:53
14012,12,F,H,0,48161,277620,11,08-31-2017,13:13:53
14012,13,G,G,1,22439,228930,11,08-31-2017,13:13:53
14012,14,G,B,0,30697,205964,11,08-31-2017,13:13:53
14012,15,F,G,0,25700,174734,11,08-31-2017,13:13:53
14012,16,D,F,0,39596,148503,11,08-31-2017,13:13:53
14012,17,E,B,0,61974,108370,11,08-31-2017,13:13:53
14012,18,C,A,0,10758,45856,11,08-31-2017,13:13:53
14013,1,E,E,1,18440,600000,12,08-31-2017,13:11:55
14013,2,G,C,0,17996,580933,12,08-31-2017,13:11:55
14013,3,C,C,1,21032,562392,12,08-31-2017,13:11:55
14013,4,F,F,1,16892,540813,12,08-31-2017,13:11:55
14013,5,H,H,1,6802,523379,12,08-31-2017,13:11:55
14013,6,E,E,1,17564,516033,12,08-31-2017,13:11:55
14013,7,B,A,0,22456,497920,12,08-31-2017,13:11:55
14013,8,B,B,1,19423,474928,12,08-31-2017,13:11:55
14013,9,F,F,1,16717,454974,12,08-31-2017,13:11:55
14013,10,C,C,1,12557,437727,12,08-31-2017,13:11:55
14013,11,H,H,1,25460,424638,12,08-31-2017,13:11:55
14013,12,F,C,0,35157,398646,12,08-31-2017,13:11:55
14013,13,G,F,0,35358,362951,12,08-31-2017,13:11:55
14013,14,G,G,1,44663,327057,12,08-31-2017,13:11:55
14013,15,F,E,0,41433,281859,12,08-31-2017,13:11:55
14013,16,D,D,1,63851,239885,12,08-31-2017,13:11:55
14013,17,E,G,0,101380,175494,12,08-31-2017,13:11:55
14013,18,C,C,1,18995,73581,12,08-31-2017,13:11:55
14016,1,E,E,1,16312,600000,14,08-31-2017,15:20:11
14016,2,G,G,1,13152,583065,14,08-31-2017,15:20:11
14016,3,C,C,1,48456,569376,14,08-31-2017,15:20:11
14016,4,F,F,1,8642,520378,14,08-31-2017,15:20:11
14016,5,H,H,1,10115,511196,14,08-31-2017,15:20:11
14016,6,E,E,1,15897,500546,14,08-31-2017,15:20:11
14016,7,B,B,1,44718,484110,14,08-31-2017,15:20:11
14016,8,B,B,1,25598,438846,14,08-31-2017,15:20:11
14016,9,F,F,1,19801,412722,14,08-31-2017,15:20:11
14016,10,C,C,1,19538,392395,14,08-31-2017,15:20:11
14016,11,H,H,1,41081,372322,14,08-31-2017,15:20:11
14016,12,F,F,1,66595,330709,14,08-31-2017,15:20:11
14016,13,G,G,1,86841,263571,14,08-31-2017,15:20:11
14016,14,G,G,1,68918,176200,14,08-31-2017,15:20:11
14016,15,F,E,0,64350,106743,14,08-31-2017,15:20:11
14017,1,E,E,1,15213,600000,12,08-31-2017,15:22:38
14017,2,G,G,1,23442,584158,12,08-31-2017,15:22:38
14017,3,C,C,1,14375,560180,12,08-31-2017,15:22:38
14017,4,F,F,1,29332,545264,12,08-31-2017,15:22:38
14017,5,H,H,1,15862,515394,12,08-31-2017,15:22:38
14017,6,E,E,1,36387,499001,12,08-31-2017,15:22:38
14017,7,B,E,0,20106,462080,12,08-31-2017,15:22:38
14017,8,B,B,1,29235,441432,12,08-31-2017,15:22:38
14017,9,F,F,1,19883,411655,12,08-31-2017,15:22:38
14017,10,C,D,0,31335,391235,12,08-31-2017,15:22:38
14017,11,H,D,0,62073,359367,12,08-31-2017,15:22:38
14017,12,F,F,1,29571,296761,12,08-31-2017,15:22:38
14017,13,G,G,1,41805,266650,12,08-31-2017,15:22:38
14017,14,G,G,1,82147,224304,12,08-31-2017,15:22:38
14017,15,F,B,0,61694,141612,12,08-31-2017,15:22:38
14017,16,D,D,1,38453,79379,12,08-31-2017,15:22:38
14018,1,E,E,1,32385,600000,13,09-01-2017,09:21:52
14018,2,G,G,1,12471,566991,13,09-01-2017,09:21:52
14018,3,C,C,1,7005,553981,13,09-01-2017,09:21:52
14018,4,F,F,1,10864,546385,13,09-01-2017,09:21:52
14018,5,H,H,1,8675,534987,13,09-01-2017,09:21:52
14018,6,E,E,1,12513,525777,13,09-01-2017,09:21:52
14018,7,B,E,0,9456,512729,13,09-01-2017,09:21:52
14018,8,B,B,1,20651,502732,13,09-01-2017,09:21:52
14018,9,F,F,1,8674,481538,13,09-01-2017,09:21:52
14018,10,C,C,1,33144,472329,13,09-01-2017,09:21:52
14018,11,H,H,1,28198,438646,13,09-01-2017,09:21:52
14018,12,F,A,0,19757,409909,13,09-01-2017,09:21:52
14018,13,G,G,1,28030,389622,13,09-01-2017,09:21:52
14018,14,G,E,0,30579,361058,13,09-01-2017,09:21:52
14018,15,F,F,1,32717,329949,13,09-01-2017,09:21:52
14018,16,D,D,1,67924,296693,13,09-01-2017,09:21:52
14018,17,E,A,0,84374,228223,13,09-01-2017,09:21:52
14018,18,C,A,0,19621,143317,13,09-01-2017,09:21:52
14019,1,E,E,1,15413,600000,14,09-01-2017,10:30:27
14019,2,G,G,1,10608,583958,14,09-01-2017,10:30:27
14019,3,C,C,1,10320,572815,14,09-01-2017,10:30:27
14019,4,F,F,1,23775,561965,14,09-01-2017,10:30:27
14019,5,H,H,1,15023,537654,14,09-01-2017,10:30:27
14019,6,E,E,1,16004,522099,14,09-01-2017,10:30:27
14019,7,B,B,1,17119,505558,14,09-01-2017,10:30:27
14019,8,B,B,1,15994,487897,14,09-01-2017,10:30:27
14019,9,F,F,1,10762,471369,14,09-01-2017,10:30:27
14019,10,C,C,1,13075,460066,14,09-01-2017,10:30:27
14019,11,H,H,1,27779,446457,14,09-01-2017,10:30:27
14019,12,F,F,1,31615,418133,14,09-01-2017,10:30:27
14019,13,G,G,1,22585,385984,14,09-01-2017,10:30:27
14019,14,G,A,0,35921,362872,14,09-01-2017,10:30:27
14019,15,F,G,0,71193,326417,14,09-01-2017,10:30:27
14019,16,D,D,1,60225,254681,14,09-01-2017,10:30:27
14019,17,E,C,0,66867,193915,14,09-01-2017,10:30:27
14019,18,C,A,0,54591,126510,14,09-01-2017,10:30:27
14021,1,E,E,1,32120,600000,4,09-01-2017,13:19:07
14021,2,G,C,0,39024,567258,4,09-01-2017,13:19:07
14021,3,C,C,1,22824,527698,4,09-01-2017,13:19:07
14021,4,F,B,0,21745,504331,4,09-01-2017,13:19:07
14021,5,H,H,1,12171,482046,4,09-01-2017,13:19:07
14021,6,E,A,0,32957,469344,4,09-01-2017,13:19:07
14021,7,B,B,1,16277,435848,4,09-01-2017,13:19:07
14021,8,B,H,0,24910,419040,4,09-01-2017,13:19:07
14021,9,F,C,0,37561,393596,4,09-01-2017,13:19:07
14021,10,C,E,0,23747,355502,4,09-01-2017,13:19:07
14021,11,H,E,0,11734,331216,4,09-01-2017,13:19:07
14021,12,F,A,0,18210,318940,4,09-01-2017,13:19:07
14021,13,G,A,0,30944,300187,4,09-01-2017,13:19:07
14021,14,G,D,0,18434,268717,4,09-01-2017,13:19:07
14021,15,F,C,0,7458,249750,4,09-01-2017,13:19:07
14021,16,D,F,0,22026,241766,4,09-01-2017,13:19:07
14021,17,E,H,0,13092,219199,4,09-01-2017,13:19:07
14021,18,C,F,0,23094,205578,4,09-01-2017,13:19:07
14022,1,E,E,1,22183,600000,9,09-01-2017,14:11:21
14022,2,G,G,1,6286,577200,9,09-01-2017,14:11:21
14022,3,C,C,1,10078,570377,9,09-01-2017,14:11:21
14022,4,F,B,0,6980,559766,9,09-01-2017,14:11:21
14022,5,H,H,1,24287,552249,9,09-01-2017,14:11:21
14022,6,E,C,0,8511,527417,9,09-01-2017,14:11:21
14022,7,B,B,1,14292,518368,9,09-01-2017,14:11:21
14022,8,B,B,1,14841,503531,9,09-01-2017,14:11:21
14022,9,F,F,1,8755,488150,9,09-01-2017,14:11:21
14022,10,C,C,1,8953,478860,9,09-01-2017,14:11:21
14022,11,H,G,0,15559,469371,9,09-01-2017,14:11:21
14022,12,F,H,0,17655,453282,9,09-01-2017,14:11:21
14022,13,G,A,0,25226,435101,9,09-01-2017,14:11:21
14022,14,G,D,0,7573,409336,9,09-01-2017,14:11:21
14022,15,F,A,0,17485,401232,9,09-01-2017,14:11:21
14022,16,D,D,1,24929,383212,9,09-01-2017,14:11:21
14022,17,E,G,0,36473,357740,9,09-01-2017,14:11:21
14022,18,C,A,0,20059,320726,9,09-01-2017,14:11:21
14023,1,E,E,1,33250,600000,12,09-01-2017,15:14:46
14023,2,G,G,1,13808,566111,12,09-01-2017,15:14:46
14023,3,C,C,1,11962,551543,12,09-01-2017,15:14:46
14023,4,F,F,1,13441,538772,12,09-01-2017,15:14:46
14023,5,H,H,1,9528,524565,12,09-01-2017,15:14:46
14023,6,E,E,1,11433,514341,12,09-01-2017,15:14:46
14023,7,B,E,0,28711,502212,12,09-01-2017,15:14:46
14023,8,B,B,1,19606,472727,12,09-01-2017,15:14:46
14023,9,F,F,1,54114,452335,12,09-01-2017,15:14:46
14023,10,C,C,1,44535,397445,12,09-01-2017,15:14:46
14023,11,H,H,1,53846,352035,12,09-01-2017,15:14:46
14023,12,F,F,1,22243,297532,12,09-01-2017,15:14:46
14023,13,G,A,0,87674,274619,12,09-01-2017,15:14:46
14023,14,G,F,0,58076,186315,12,09-01-2017,15:14:46
14023,15,F,F,1,74435,127482,12,09-01-2017,15:14:46
14024,1,E,H,0,26694,600000,11,09-01-2017,15:26:39
14024,2,G,G,1,14639,572669,11,09-01-2017,15:26:39
14024,3,C,C,1,11369,557486,11,09-01-2017,15:26:39
14024,4,F,B,0,21373,545570,11,09-01-2017,15:26:39
14024,5,H,H,1,11188,523658,11,09-01-2017,15:26:39
14024,6,E,E,1,17307,511929,11,09-01-2017,15:26:39
14024,7,B,H,0,22044,494081,11,09-01-2017,15:26:39
14024,8,B,B,1,12880,471501,11,09-01-2017,15:26:39
14024,9,F,G,0,35690,458080,11,09-01-2017,15:26:39
14024,10,C,C,1,21781,421852,11,09-01-2017,15:26:39
14024,11,H,E,0,22583,399526,11,09-01-2017,15:26:39
14024,12,F,F,1,37978,376401,11,09-01-2017,15:26:39
14024,13,G,G,1,23817,337880,11,09-01-2017,15:26:39
14024,14,G,F,0,17849,313528,11,09-01-2017,15:26:39
14024,15,F,F,1,20871,295134,11,09-01-2017,15:26:39
14024,16,D,D,1,17689,273727,11,09-01-2017,15:26:39
14024,17,E,E,1,45863,255494,11,09-01-2017,15:26:39
14024,18,C,E,0,25137,209096,11,09-01-2017,15:26:39
14025,1,E,A,0,26331,600000,14,09-05-2017,09:11:05
14025,2,G,G,1,10564,573042,14,09-05-2017,09:11:05
14025,3,C,C,1,10093,561939,14,09-05-2017,09:11:05
14025,4,F,F,1,18889,551301,14,09-05-2017,09:11:05
14025,5,H,H,1,6927,531868,14,09-05-2017,09:11:05
14025,6,E,E,1,9671,524405,14,09-05-2017,09:11:05
14025,7,B,B,1,29772,514194,14,09-05-2017,09:11:05
14025,8,B,B,1,28086,483885,14,09-05-2017,09:11:05
14025,9,F,C,0,81485,455268,14,09-05-2017,09:11:05
14025,10,C,C,1,8811,373241,14,09-05-2017,09:11:05
14025,11,H,H,1,32891,363898,14,09-05-2017,09:11:05
14025,12,F,F,1,18894,330468,14,09-05-2017,09:11:05
14025,13,G,G,1,46066,311048,14,09-05-2017,09:11:05
