Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,NextTrial.ACC,Reversal,ReversalNumb,DurationThreshold.last,SessionDate,SessionTime
14000,1,380,280,100,first,0,NA,NA,NA,60,09-24-2017,14:29:51
14000,2,100,250,150,second,1,0,1,1,60,09-24-2017,14:29:51
14000,3,250,380,130,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,4,240,350,110,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,5,280,190,90,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,6,320,250,70,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,7,270,320,50,second,0,1,1,2,60,09-24-2017,14:29:51
14000,8,330,250,80,first,1,0,1,3,60,09-24-2017,14:29:51
14000,9,250,320,70,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,10,410,350,60,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,11,370,320,50,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,12,280,320,40,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,13,310,280,30,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,14,350,330,20,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,15,280,290,10,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,16,240,250,10,second,0,1,1,4,60,09-24-2017,14:29:51
14000,17,350,390,40,second,1,0,1,5,60,09-24-2017,14:29:51
14000,18,310,280,30,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,19,330,350,20,second,0,1,1,6,60,09-24-2017,14:29:51
14000,20,320,370,50,second,1,0,1,7,60,09-24-2017,14:29:51
14000,21,360,320,40,first,0,1,1,8,60,09-24-2017,14:29:51
14000,22,390,320,70,first,1,0,1,9,60,09-24-2017,14:29:51
14000,23,410,350,60,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,24,270,320,50,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,25,280,240,40,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,26,280,310,30,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,27,350,370,20,second,0,1,1,10,60,09-24-2017,14:29:51
14000,28,370,320,50,first,1,0,1,11,60,09-24-2017,14:29:51
14000,29,390,350,40,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,30,250,280,30,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,31,320,300,20,first,0,1,1,12,60,09-24-2017,14:29:51
14000,32,300,250,50,first,1,0,1,13,60,09-24-2017,14:29:51
14000,33,350,390,40,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,34,280,250,30,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,35,320,340,20,second,0,1,1,14,60,09-24-2017,14:29:51
14000,36,250,300,50,second,1,0,1,15,60,09-24-2017,14:29:51
14000,37,350,390,40,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,38,280,250,30,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,39,300,280,20,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,40,280,290,10,second,0,1,1,16,60,09-24-2017,14:29:51
14000,41,350,310,40,first,1,0,1,17,60,09-24-2017,14:29:51
14000,42,250,280,30,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,43,260,280,20,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,44,320,330,10,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,45,250,240,10,first,0,1,1,18,60,09-24-2017,14:29:51
14000,46,280,320,40,second,1,0,1,19,60,09-24-2017,14:29:51
14000,47,320,350,30,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,48,270,250,20,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,49,240,250,10,second,0,1,1,20,60,09-24-2017,14:29:51
14000,50,240,280,40,second,0,0,0,NA,60,09-24-2017,14:29:51
14000,51,180,250,70,second,1,0,1,21,60,09-24-2017,14:29:51
14000,52,320,260,60,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,53,350,300,50,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,54,250,210,40,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,55,290,320,30,second,0,1,1,22,60,09-24-2017,14:29:51
14000,56,320,260,60,first,1,0,1,23,60,09-24-2017,14:29:51
14000,57,250,200,50,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,58,290,250,40,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,59,320,350,30,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,60,260,280,20,second,1,1,0,NA,60,09-24-2017,14:29:51
14000,61,250,240,10,first,1,1,0,NA,60,09-24-2017,14:29:51
14000,62,360,350,10,first,0,1,1,24,60,09-24-2017,14:29:51
14000,63,310,350,40,second,0,0,0,NA,60,09-24-2017,14:29:51
14000,64,350,280,70,first,1,0,1,25,60,09-24-2017,14:29:51
14001,1,150,250,100,second,1,NA,NA,NA,100,09-24-2017,14:24:25
14001,2,280,200,80,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,3,190,250,60,second,0,1,1,1,100,09-24-2017,14:24:25
14001,4,400,280,120,first,1,0,1,2,100,09-24-2017,14:24:25
14001,5,280,180,100,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,6,320,400,80,second,0,1,1,3,100,09-24-2017,14:24:25
14001,7,250,390,140,second,1,0,1,4,100,09-24-2017,14:24:25
14001,8,380,250,130,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,9,200,320,120,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,10,390,280,110,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,11,350,250,100,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,12,340,250,90,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,13,270,350,80,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,14,320,390,70,second,0,1,1,5,100,09-24-2017,14:24:25
14001,15,350,450,100,second,0,0,0,NA,100,09-24-2017,14:24:25
14001,16,350,480,130,second,0,0,0,NA,100,09-24-2017,14:24:25
14001,17,320,170,150,first,1,0,1,6,100,09-24-2017,14:24:25
14001,18,110,250,140,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,19,350,480,130,second,0,1,1,7,100,09-24-2017,14:24:25
14001,20,130,280,150,second,1,0,1,8,100,09-24-2017,14:24:25
14001,21,350,210,140,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,22,450,320,130,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,23,280,400,120,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,24,350,240,110,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,25,320,220,100,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,26,320,230,90,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,27,170,250,80,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,28,350,420,70,second,0,1,1,9,100,09-24-2017,14:24:25
14001,29,220,320,100,second,1,0,1,10,100,09-24-2017,14:24:25
14001,30,410,320,90,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,31,320,240,80,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,32,210,280,70,second,0,1,1,11,100,09-24-2017,14:24:25
14001,33,280,380,100,second,0,0,0,NA,100,09-24-2017,14:24:25
14001,34,480,350,130,first,1,0,1,12,100,09-24-2017,14:24:25
14001,35,280,160,120,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,36,250,360,110,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,37,350,250,100,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,38,410,320,90,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,39,270,350,80,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,40,280,350,70,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,41,250,310,60,second,0,1,1,13,100,09-24-2017,14:24:25
14001,42,190,280,90,second,0,0,0,NA,100,09-24-2017,14:24:25
14001,43,440,320,120,first,1,0,1,14,100,09-24-2017,14:24:25
14001,44,280,390,110,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,45,450,350,100,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,46,370,280,90,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,47,240,320,80,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,48,350,280,70,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,49,290,350,60,second,0,1,1,15,100,09-24-2017,14:24:25
14001,50,190,280,90,second,1,0,1,16,100,09-24-2017,14:24:25
14001,51,250,170,80,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,52,280,210,70,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,53,320,380,60,second,0,1,1,17,100,09-24-2017,14:24:25
14001,54,250,340,90,second,0,0,0,NA,100,09-24-2017,14:24:25
14001,55,250,130,120,first,1,0,1,18,100,09-24-2017,14:24:25
14001,56,250,140,110,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,57,250,150,100,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,58,230,320,90,second,1,1,0,NA,100,09-24-2017,14:24:25
14001,59,430,350,80,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,60,350,280,70,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,61,410,350,60,first,1,1,0,NA,100,09-24-2017,14:24:25
14001,62,320,370,50,second,0,1,1,19,100,09-24-2017,14:24:25
14001,63,280,360,80,second,0,0,0,NA,100,09-24-2017,14:24:25
14001,64,360,250,110,first,1,0,1,20,100,09-24-2017,14:24:25
14002,1,350,450,100,second,1,NA,NA,NA,30,09-27-2017,12:46:10
14002,2,250,170,80,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,3,280,340,60,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,4,280,320,40,second,0,1,1,1,30,09-27-2017,12:46:10
14002,5,280,180,100,first,1,0,1,2,30,09-27-2017,12:46:10
14002,6,400,320,80,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,7,260,320,60,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,8,250,200,50,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,9,350,390,40,second,0,1,1,3,30,09-27-2017,12:46:10
14002,10,280,350,70,second,1,0,1,4,30,09-27-2017,12:46:10
14002,11,310,250,60,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,12,320,370,50,second,0,1,1,5,30,09-27-2017,12:46:10
14002,13,430,350,80,first,1,0,1,6,30,09-27-2017,12:46:10
14002,14,420,350,70,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,15,280,220,60,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,16,320,270,50,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,17,360,320,40,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,18,320,350,30,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,19,300,320,20,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,20,280,270,10,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,21,330,320,10,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,22,250,240,10,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,23,280,290,10,second,0,1,1,7,30,09-27-2017,12:46:10
14002,24,240,280,40,second,1,0,1,8,30,09-27-2017,12:46:10
14002,25,320,350,30,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,26,350,330,20,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,27,290,280,10,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,28,320,310,10,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,29,270,280,10,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,30,270,280,10,second,0,1,1,9,30,09-27-2017,12:46:10
14002,31,350,310,40,first,1,0,1,10,30,09-27-2017,12:46:10
14002,32,290,320,30,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,33,270,250,20,first,1,1,0,NA,30,09-27-2017,12:46:10
14002,34,350,360,10,second,0,1,1,11,30,09-27-2017,12:46:10
14002,35,210,250,40,second,0,0,0,NA,30,09-27-2017,12:46:10
14002,36,280,210,70,first,1,0,1,12,30,09-27-2017,12:46:10
14002,37,190,250,60,second,1,1,0,NA,30,09-27-2017,12:46:10
14002,38,320,270,50,first,1,1,0,NA,30,09-27-2017,12:46:10
