Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,AdminTime,SessionDate,SessionTime
14003,real,56,0,1510,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,57,1,1073,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,58,0,1203,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,59,1,944,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,60,1,1151,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,61,0,1044,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,62,1,1163,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,63,0,1002,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,64,0,1188,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,65,0,1460,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,66,0,1232,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,67,0,1167,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,68,1,1049,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,69,1,1070,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,70,1,1261,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,71,1,1165,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,72,1,1111,O,3000,9.116383333333333,10-06-2017,12:31:03
14004,practice,1,1,319,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,2,0,652,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,3,1,549,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,4,0,1050,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,5,1,587,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,6,1,479,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,7,1,352,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,8,1,597,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,9,1,672,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,10,1,575,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,11,1,698,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,12,1,401,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,13,1,429,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,14,0,461,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,15,1,366,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,16,1,267,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,1,1,385,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,2,1,262,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,3,1,439,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,4,0,671,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,5,1,398,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,6,1,746,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,7,1,455,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,8,1,353,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,9,0,540,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,10,1,592,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,11,1,298,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,12,1,248,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,13,1,304,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,14,1,304,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,15,1,471,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,16,1,303,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,17,1,342,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,18,1,475,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,19,1,313,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,20,1,464,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,21,1,296,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,22,1,525,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,23,0,227,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,24,1,421,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,25,1,583,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,26,1,362,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,27,1,359,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,28,1,364,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,29,1,320,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,30,1,597,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,31,1,447,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,32,0,711,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,33,0,716,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,34,0,595,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,35,1,439,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,36,1,546,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,37,0,963,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,38,1,302,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,39,1,987,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,40,0,750,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,41,0,539,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,42,1,361,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,43,1,357,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,44,1,328,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,45,1,446,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,46,1,423,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,47,1,448,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,48,1,385,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,49,1,395,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,50,1,478,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,51,0,254,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,52,1,351,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,53,1,418,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,54,0,227,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,55,1,188,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,56,1,222,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,57,1,312,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,58,1,1133,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,59,1,443,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,60,1,949,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,61,1,689,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,62,1,423,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,63,1,384,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,64,1,467,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,65,1,514,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,66,1,472,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,67,1,497,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,68,1,1767,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,69,1,340,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,70,1,313,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,71,1,198,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,72,0,656,O,2000,9.007533333333333,10-24-2017,15:12:49
14005,practice,1,1,403,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,practice,2,0,880,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,3,1,769,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,practice,4,1,574,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,practice,5,1,442,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,6,1,540,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,7,1,643,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,8,1,528,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,9,1,508,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,practice,10,1,595,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,practice,11,0,709,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,12,1,788,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,practice,13,1,563,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,practice,14,1,480,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,15,1,538,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,practice,16,1,633,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,1,1,555,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,2,1,338,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,3,1,580,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,4,0,582,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,5,1,495,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,6,1,454,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,7,1,478,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,8,1,456,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,9,1,545,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,10,1,422,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,11,0,733,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,12,1,588,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,13,1,364,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,14,1,355,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,15,0,1074,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,16,1,479,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,17,1,352,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,18,1,858,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,19,1,417,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,20,1,382,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,21,1,435,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,22,1,847,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,23,1,452,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,24,1,408,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,25,1,484,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,26,1,393,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,27,1,395,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,28,1,509,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,29,0,601,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,30,1,494,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,31,0,645,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,32,1,508,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,33,1,470,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,34,0,506,O,2000,8.524416666666667,09-27-2017,15:28:45
