Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,NextTrial.ACC,Reversal,ReversalNumb,PitchThreshold.last,SessionDate,SessionTime
14005,1,820,805,15,first,1,NA,NA,NA,1,08-28-2018,11:24:57
14005,2,813,800,13,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,3,821,810,11,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,4,821,830,9,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,5,813,820,7,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,6,835,830,5,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,7,823,820,3,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,8,812,810,2,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,9,810,809,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,10,820,821,1,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,11,800,801,1,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,12,810,811,1,second,0,1,1,1,1,08-28-2018,11:24:57
14005,13,824,820,4,first,1,0,1,2,1,08-28-2018,11:24:57
14005,14,817,820,3,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,15,810,812,2,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,16,799,800,1,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,17,811,810,1,first,0,1,1,3,1,08-28-2018,11:24:57
14005,18,830,834,4,second,1,0,1,4,1,08-28-2018,11:24:57
14005,19,810,813,3,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,20,798,800,2,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,21,830,829,1,first,0,1,1,5,1,08-28-2018,11:24:57
14005,22,830,826,4,first,1,0,1,6,1,08-28-2018,11:24:57
14005,23,833,830,3,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,24,800,798,2,first,0,1,1,7,1,08-28-2018,11:24:57
14005,25,800,805,5,second,1,0,1,8,1,08-28-2018,11:24:57
14005,26,834,830,4,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,27,830,833,3,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,28,798,800,2,second,0,1,1,9,1,08-28-2018,11:24:57
14005,29,815,820,5,second,1,0,1,10,1,08-28-2018,11:24:57
14005,30,810,806,4,first,0,1,1,11,1,08-28-2018,11:24:57
14005,31,813,820,7,second,1,0,1,12,1,08-28-2018,11:24:57
14005,32,824,830,6,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,33,820,815,5,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,34,830,826,4,first,0,1,1,13,1,08-28-2018,11:24:57
14005,35,823,830,7,second,1,0,1,14,1,08-28-2018,11:24:57
14005,36,820,814,6,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,37,805,800,5,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,38,816,820,4,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,39,827,830,3,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,40,802,800,2,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,41,801,800,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,42,810,809,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,43,819,820,1,second,0,1,1,15,1,08-28-2018,11:24:57
14005,44,810,806,4,first,1,0,1,16,1,08-28-2018,11:24:57
14005,45,820,823,3,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,46,832,830,2,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,47,821,820,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,48,820,821,1,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,49,800,799,1,first,0,1,1,17,1,08-28-2018,11:24:57
14005,50,830,834,4,second,1,0,1,18,1,08-28-2018,11:24:57
14005,51,820,817,3,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,52,800,802,2,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,53,830,829,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,54,821,820,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,55,819,820,1,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,56,800,799,1,first,0,1,1,19,1,08-28-2018,11:24:57
14005,57,810,814,4,second,1,0,1,20,1,08-28-2018,11:24:57
14005,58,797,800,3,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,59,820,822,2,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,60,830,831,1,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,61,800,799,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,62,800,801,1,second,1,1,0,NA,1,08-28-2018,11:24:57
14005,63,811,810,1,first,1,1,0,NA,1,08-28-2018,11:24:57
14005,64,819,820,1,second,1,1,0,NA,1,08-28-2018,11:24:57
