Subject,IT_Standard_Last4Rev.StimulusDuration,IT_2L2D_Last4Rev.StimulusDuration,IT_4L_Last4Rev.StimulusDuration,SACT.ACC,Antisaccade.ACC,VAorient_S.k,StroopDL_Last4Rev.ResponseDeadline,Auditory_FlankerDL_Last4Rev.ResponseDeadline,Auditory_SimonDL_Last4Rev.ResponseDeadline,Auditory_StroopDL_Last4Rev.ResponseDeadline,LetterComparison.PointScore,DigitComparison.PointScore,PatternComparison.PointScore,Hick_SimpleRT.RT,Hick_ChoiceRT.RT,Prosaccade.RT_mean,SymSpan.EditDistanceScore,RotSpan.EditDistanceScore,RAPM.TotalScore,LetterSets.TotalScore,NumberSeries.TotalScore,IT_Standard_SD.StimulusDuration,IT_2L2D_SD.StimulusDuration,IT_4L_SD.StimulusDuration,IT_Standard_Lapses.Sum,IT_2L2D_Lapses.Sum,IT_4L_Lapses.Sum,VAorient_S_unit,Missing,Not_Missing,Missing_perc
16052,109.5,158.5,112,0.9393939393939394,0.8888888888888888,2.3166666666666664,835.5,751,683.5,771,21,27,40,351.3478260869565,262.4583333333333,501.5285714285714,44,40,12,22,11,63.92049236333865,80.39238600110306,72.62425156167612,3,2,4,0.5833333333333334,0,28,0
16053,102,92.5,168,0.9545454545454546,0.7638888888888888,3.3,692.5,732.5,551,991.5,26,34,34,262.3181818181818,474.58333333333337,394.16666666666663,34,30,11,19,15,65.30968235973191,97.7442725644267,60.458751544320464,3,5,0,0.8333333333333334,0,28,0
16054,158.5,270.5,152,0.9242424242424242,0.8194444444444443,2.15,915.5,908.5,720.5,1265,18,26,31,367.8947368421053,315.5416666666667,573.3239436619717,41,25,11,25,10,56.922493030136664,97.89116613771344,52.97851832823677,0,2,1,0.5833333333333334,0,28,0
16055,101,243.5,133,0.8030303030303031,0.875,2.6500000000000004,NA,1052.5,555.5,NA,21,33,41,268.17391304347825,301,303.8732394366197,39,25,11,22,11,70.31338159415796,80.59933961329517,62.42736204513926,3,1,1,0.6833333333333333,2,26,0.07142857142857142
16056,109.5,177.5,140.5,0.9696969696969696,0.8611111111111112,2.7,972.5,2535.5,1046.5,1387.5,18,30,36,NA,315.0869565217391,561.2916666666666,31,30,10,20,11,55.64164724198432,75.91708511301483,71.77771785270025,1,2,8,0.7,1,27,0.03571428571428571
16057,208.5,105.5,354.5,0.7272727272727272,0.5416666666666667,1.0499999999999998,2606,2486.5,1451.5,991,13,27,34,354.85714285714283,417.04166666666663,NA,40,27,6,20,9,74.6879056118248,65.452909280897,110.52196437780628,0,3,0,0.2833333333333333,1,27,0.03571428571428571
16058,109.5,256.5,196.5,0.8181818181818181,0.625,2.45,1146.5,964,1262,945.5,20,31,45,566.7142857142857,417.5,391.59154929577466,32,22,10,17,12,72.44995521488124,72.46950936244872,113.6131219946081,2,1,6,0.65,0,28,0
16059,247.5,191,221.5,0.6515151515151516,0.7083333333333334,1.2,782,2068.5,2268,1333,21,25,33,301.07142857142856,266,358.4166666666667,18,30,10,18,11,84.43313009386073,76.00149307977186,92.6622785837928,2,2,7,0.3333333333333333,0,28,0
16060,140.5,187.5,159.5,0.7575757575757576,0.9444444444444444,3.1500000000000004,922,1122.5,816.5,927,20,35,44,411.1052631578947,296.7916666666667,NA,37,33,12,13,5,55.69966003181325,73.46825615951808,59.61434867023111,0,2,2,0.7833333333333334,1,27,0.03571428571428571
16061,58.5,75.5,123.5,0.9545454545454546,0.9583333333333331,2.166666666666667,782,1031.5,622.5,1144,23,28,48,279.75,292.7083333333333,360.65277777777777,18,39,9,14,5,62.86625663584762,61.11690561933146,62.24692022915019,3,5,2,0.6000000000000001,0,28,0
16062,143.5,165,109.5,1,0.9027777777777778,3.116666666666667,907.5,813,671.5,733.5,16,29,44,322.39130434782606,318.2916666666667,474.93055555555554,28,38,11,18,15,58.6885902077003,61.76111824562727,59.51911308726831,0,0,3,0.8166666666666667,0,28,0
16063,140.5,338,307.5,0.6818181818181819,0.5416666666666666,1.6999999999999995,1566.5,2011,1268.5,1092.5,19,28,39,468.5714285714286,455.625,NA,29,11,8,19,8,71.74995984381214,111.4897110668014,93.97003257037105,6,1,1,0.4333333333333333,1,27,0.03571428571428571
