"ID","item","item_type","test_type","study_pos","ON_resp","ON_RT","rating_resp","rating_RT","file"
2006,"WORN","word","old",50,"new",10.2712382302,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"DEAR","word","old",15,"old",2.09662899002,"R",2.0398337394,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"HALL","word","new",NA,"old",1.62225969508,"R",0.745489720255,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"SALT","word","old",33,"old",2.16115330905,"R",0.784952301532,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"SAFE","word","new",NA,"old",7.11332317814,"K",64.3843336925,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"LEAF","word","old",52,"new",2.36901989579,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"PIGE","nonword","old",17,"old",1.90975952893,"R",0.785312093794,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"FERN","word","old",53,"old",1.5299375318,"R",0.593208700418,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"JASL","nonword","new",NA,"old",5.88702040538,"K",0.78525788337,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"TILB","nonword","old",55,"new",3.84030005336,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"PAIN","word","new",NA,"new",1.4893617034,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"NULB","nonword","old",7,"old",2.07401865348,"R",1.36129394546,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"MEET","word","new",NA,"new",1.24711608514,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"BOPT","nonword","old",36,"old",1.58397208527,"R",1.78545349836,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"INPT","nonword","old",18,"old",1.89246646687,"R",0.825348824263,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"GEEL","nonword","old",21,"old",1.54375468194,"K",3.35955011472,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"FARB","nonword","new",NA,"old",1.44907615334,"R",0.697595596313,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"DESK","word","old",58,"new",1.28167868778,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"SLIG","nonword","old",41,"old",1.25007363409,"R",0.51340354234,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"TROB","nonword","new",NA,"new",1.75917677954,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"TUNE","word","new",NA,"new",1.29432980716,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"GORT","nonword","old",59,"new",1.5772318691,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"OLND","nonword","old",44,"old",3.02853484079,"K",0.545497581363,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"CARD","word","old",2,"old",1.24678888172,"R",0.57755889371,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"BOND","word","new",NA,"new",1.64314193279,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"AHLL","nonword","old",60,"old",1.39069589972,"R",0.481391500682,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"DOOT","nonword","new",NA,"new",1.30320152268,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"HIPT","nonword","old",20,"old",1.28927834705,"R",0.529520135373,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"SOLD","word","new",NA,"new",1.27253810689,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
2006,"HEAR","word","new",NA,"new",1.18731094524,"N",NA,"P2006_RKN_2020_Mar_11_0945.csv"
