Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,SessionDate,SessionTime
12002,real,13,1,439,Q,2000,02-18-2015,15:37:06
12002,real,14,1,446,Q,1000,02-18-2015,15:37:06
12002,real,15,1,572,O,2000,02-18-2015,15:37:06
12002,real,16,1,374,O,1000,02-18-2015,15:37:06
12002,real,17,1,575,Q,1000,02-18-2015,15:37:06
12002,real,18,1,377,O,2000,02-18-2015,15:37:06
12002,real,19,0,538,O,2000,02-18-2015,15:37:06
12002,real,20,1,517,Q,2000,02-18-2015,15:37:06
12002,real,21,1,604,O,1000,02-18-2015,15:37:06
12002,real,22,1,389,O,2000,02-18-2015,15:37:06
12002,real,23,1,325,Q,1000,02-18-2015,15:37:06
12002,real,24,0,657,O,2000,02-18-2015,15:37:06
12002,real,25,0,566,Q,2000,02-18-2015,15:37:06
12002,real,26,1,319,Q,1000,02-18-2015,15:37:06
12002,real,27,1,451,O,1000,02-18-2015,15:37:06
12002,real,28,1,369,O,2000,02-18-2015,15:37:06
12002,real,29,1,419,O,1000,02-18-2015,15:37:06
12002,real,30,1,362,O,1000,02-18-2015,15:37:06
12002,real,31,1,388,Q,1000,02-18-2015,15:37:06
12002,real,32,1,422,Q,2000,02-18-2015,15:37:06
12002,real,33,1,413,O,1000,02-18-2015,15:37:06
12002,real,34,0,749,Q,2000,02-18-2015,15:37:06
12002,real,35,1,391,O,2000,02-18-2015,15:37:06
12002,real,36,1,456,O,1000,02-18-2015,15:37:06
12002,real,37,1,375,Q,2000,02-18-2015,15:37:06
12002,real,38,1,384,O,2000,02-18-2015,15:37:06
12002,real,39,0,786,O,2000,02-18-2015,15:37:06
12002,real,40,1,331,Q,1000,02-18-2015,15:37:06
12002,real,41,1,613,Q,1000,02-18-2015,15:37:06
12002,real,42,1,309,Q,2000,02-18-2015,15:37:06
12002,real,43,1,329,O,2000,02-18-2015,15:37:06
12002,real,44,1,460,Q,1000,02-18-2015,15:37:06
12002,real,45,1,291,Q,1000,02-18-2015,15:37:06
12002,real,46,1,248,Q,2000,02-18-2015,15:37:06
12002,real,47,1,662,O,2000,02-18-2015,15:37:06
12002,real,48,1,405,O,1000,02-18-2015,15:37:06
12006,practice,1,1,537,Q,1000,02-20-2015,09:54:35
12006,practice,2,1,429,O,2000,02-20-2015,09:54:35
12006,practice,3,1,1190,Q,2000,02-20-2015,09:54:35
12006,practice,4,1,288,O,2000,02-20-2015,09:54:35
12006,practice,5,1,501,Q,1000,02-20-2015,09:54:35
12006,practice,6,1,610,Q,1000,02-20-2015,09:54:35
12006,practice,7,1,443,O,1000,02-20-2015,09:54:35
12006,practice,8,0,963,O,2000,02-20-2015,09:54:35
12006,practice,9,1,613,Q,2000,02-20-2015,09:54:35
12006,practice,10,1,621,O,1000,02-20-2015,09:54:35
12006,practice,11,1,615,O,1000,02-20-2015,09:54:35
12006,practice,12,1,439,O,2000,02-20-2015,09:54:35
12006,practice,13,1,439,Q,1000,02-20-2015,09:54:35
12006,practice,14,1,534,O,1000,02-20-2015,09:54:35
12006,practice,15,1,458,Q,2000,02-20-2015,09:54:35
12006,practice,16,1,672,Q,2000,02-20-2015,09:54:35
12006,real,1,1,653,O,2000,02-20-2015,09:54:35
12006,real,2,1,652,O,2000,02-20-2015,09:54:35
12006,real,3,1,378,O,2000,02-20-2015,09:54:35
12006,real,4,1,381,Q,1000,02-20-2015,09:54:35
12006,real,5,1,431,O,1000,02-20-2015,09:54:35
12006,real,6,1,359,Q,2000,02-20-2015,09:54:35
12006,real,7,1,562,Q,2000,02-20-2015,09:54:35
12006,real,8,1,453,Q,2000,02-20-2015,09:54:35
12006,real,9,1,364,Q,2000,02-20-2015,09:54:35
12006,real,10,0,750,O,1000,02-20-2015,09:54:35
12006,real,11,1,634,O,2000,02-20-2015,09:54:35
12006,real,12,1,488,O,2000,02-20-2015,09:54:35
12006,real,13,1,447,O,2000,02-20-2015,09:54:35
12006,real,14,1,415,O,1000,02-20-2015,09:54:35
12006,real,15,1,352,Q,1000,02-20-2015,09:54:35
12006,real,16,1,377,Q,2000,02-20-2015,09:54:35
12006,real,17,1,437,O,2000,02-20-2015,09:54:35
12006,real,18,1,397,Q,2000,02-20-2015,09:54:35
12006,real,19,1,573,O,1000,02-20-2015,09:54:35
12006,real,20,1,360,O,1000,02-20-2015,09:54:35
12006,real,21,1,660,O,1000,02-20-2015,09:54:35
12006,real,22,1,1268,O,2000,02-20-2015,09:54:35
12006,real,23,1,458,Q,2000,02-20-2015,09:54:35
12006,real,24,0,321,O,2000,02-20-2015,09:54:35
12006,real,25,1,533,O,1000,02-20-2015,09:54:35
12006,real,26,1,488,Q,2000,02-20-2015,09:54:35
12006,real,27,1,742,Q,1000,02-20-2015,09:54:35
12006,real,28,1,466,O,2000,02-20-2015,09:54:35
12006,real,29,1,528,Q,1000,02-20-2015,09:54:35
12006,real,30,1,660,O,2000,02-20-2015,09:54:35
12006,real,31,1,555,Q,1000,02-20-2015,09:54:35
12006,real,32,1,606,O,2000,02-20-2015,09:54:35
12006,real,33,1,709,O,1000,02-20-2015,09:54:35
12006,real,34,1,666,O,1000,02-20-2015,09:54:35
12006,real,35,1,794,Q,2000,02-20-2015,09:54:35
12006,real,36,1,650,Q,1000,02-20-2015,09:54:35
12006,real,37,1,434,Q,1000,02-20-2015,09:54:35
12006,real,38,0,770,O,1000,02-20-2015,09:54:35
12006,real,39,1,571,Q,2000,02-20-2015,09:54:35
12006,real,40,1,509,Q,2000,02-20-2015,09:54:35
12006,real,41,1,611,Q,1000,02-20-2015,09:54:35
12006,real,42,1,412,Q,1000,02-20-2015,09:54:35
12006,real,43,1,621,O,1000,02-20-2015,09:54:35
12006,real,44,1,470,O,1000,02-20-2015,09:54:35
12006,real,45,1,492,Q,2000,02-20-2015,09:54:35
12006,real,46,1,442,Q,1000,02-20-2015,09:54:35
12006,real,47,1,442,Q,1000,02-20-2015,09:54:35
12006,real,48,0,1161,Q,1000,02-20-2015,09:54:35
12008,practice,1,0,645,O,1000,02-20-2015,12:36:19
12008,practice,2,1,469,O,2000,02-20-2015,12:36:19
12008,practice,3,1,499,Q,1000,02-20-2015,12:36:19
12008,practice,4,1,648,Q,2000,02-20-2015,12:36:19
12008,practice,5,1,383,Q,1000,02-20-2015,12:36:19
12008,practice,6,1,345,Q,2000,02-20-2015,12:36:19
12008,practice,7,1,397,O,1000,02-20-2015,12:36:19
12008,practice,8,1,782,O,1000,02-20-2015,12:36:19
12008,practice,9,1,728,Q,2000,02-20-2015,12:36:19
12008,practice,10,1,629,Q,2000,02-20-2015,12:36:19
12008,practice,11,0,500,O,2000,02-20-2015,12:36:19
