Subject,Trial,Answer,Response,Accuracy,RT,TimeLeft,TotalScore,SessionDate,SessionTime
12000,1,E,E,1,9717,600000,16,02-18-2015,12:10:55
12000,2,G,G,1,5237,589654,16,02-18-2015,12:10:55
12000,3,C,C,1,5879,583872,16,02-18-2015,12:10:55
12000,4,F,F,1,6624,577440,16,02-18-2015,12:10:55
12000,5,H,H,1,5187,570276,16,02-18-2015,12:10:55
12000,6,E,E,1,9670,564561,16,02-18-2015,12:10:55
12000,7,B,B,1,18624,554348,16,02-18-2015,12:10:55
12000,8,B,B,1,14310,535186,16,02-18-2015,12:10:55
12000,9,F,F,1,6217,520342,16,02-18-2015,12:10:55
12000,10,C,C,1,13036,513577,16,02-18-2015,12:10:55
12000,11,H,H,1,15799,500015,16,02-18-2015,12:10:55
12000,12,F,F,1,18462,483685,16,02-18-2015,12:10:55
12000,13,G,G,1,12811,464692,16,02-18-2015,12:10:55
12000,14,G,G,1,9912,451346,16,02-18-2015,12:10:55
12000,15,F,G,0,29095,440900,16,02-18-2015,12:10:55
12000,16,D,D,1,32100,411274,16,02-18-2015,12:10:55
12000,17,E,E,1,21251,378636,16,02-18-2015,12:10:55
12000,18,C,A,0,47799,356859,16,02-18-2015,12:10:55
12002,1,E,E,1,9016,600000,13,02-18-2015,15:09:29
12002,2,G,G,1,15628,590369,13,02-18-2015,15:09:29
12002,3,C,C,1,9521,574208,13,02-18-2015,15:09:29
12002,4,F,F,1,7681,564160,13,02-18-2015,15:09:29
12002,5,H,H,1,6083,555946,13,02-18-2015,15:09:29
12002,6,E,E,1,11171,549332,13,02-18-2015,15:09:29
12002,7,B,G,0,27257,537635,13,02-18-2015,15:09:29
12002,8,B,B,1,17977,509843,13,02-18-2015,15:09:29
12002,9,F,F,1,17441,491333,13,02-18-2015,15:09:29
12002,10,C,C,1,25446,473371,13,02-18-2015,15:09:29
12002,11,H,H,1,39355,447397,13,02-18-2015,15:09:29
12002,12,F,F,1,32041,407509,13,02-18-2015,15:09:29
12002,13,G,G,1,48760,374936,13,02-18-2015,15:09:29
12002,14,G,F,0,64871,325651,13,02-18-2015,15:09:29
12002,15,F,E,0,59806,260255,13,02-18-2015,15:09:29
12002,16,D,H,0,42952,199922,13,02-18-2015,15:09:29
12002,17,E,E,1,74588,156437,13,02-18-2015,15:09:29
12002,18,C,A,0,61137,81327,13,02-18-2015,15:09:29
12006,1,E,E,1,19771,600000,15,02-20-2015,09:24:30
12006,2,G,G,1,11413,579622,15,02-20-2015,09:24:30
12006,3,C,C,1,6113,567676,15,02-20-2015,09:24:30
12006,4,F,F,1,19408,561028,15,02-20-2015,09:24:30
12006,5,H,H,1,5000,541084,15,02-20-2015,09:24:30
12006,6,E,E,1,10603,535552,15,02-20-2015,09:24:30
12006,7,B,B,1,19872,524422,15,02-20-2015,09:24:30
12006,8,B,B,1,24149,504028,15,02-20-2015,09:24:30
12006,9,F,F,1,28279,479352,15,02-20-2015,09:24:30
12006,10,C,C,1,64028,450543,15,02-20-2015,09:24:30
12006,11,H,H,1,33869,385979,15,02-20-2015,09:24:30
12006,12,F,F,1,65027,351572,15,02-20-2015,09:24:30
12006,13,G,D,0,49453,286008,15,02-20-2015,09:24:30
12006,14,G,G,1,62343,236023,15,02-20-2015,09:24:30
12006,15,F,F,1,63763,173141,15,02-20-2015,09:24:30
12006,16,D,D,1,77748,108842,15,02-20-2015,09:24:30
12008,1,E,E,1,15095,600000,14,02-20-2015,12:16:50
12008,2,G,G,1,8763,584288,14,02-20-2015,12:16:50
12008,3,C,C,1,13136,574991,14,02-20-2015,12:16:50
12008,4,F,F,1,17137,561327,14,02-20-2015,12:16:50
12008,5,H,H,1,5955,543667,14,02-20-2015,12:16:50
12008,6,E,E,1,7977,537185,14,02-20-2015,12:16:50
12008,7,B,B,1,20542,528688,14,02-20-2015,12:16:50
12008,8,B,B,1,30687,507611,14,02-20-2015,12:16:50
12008,9,F,C,0,63124,476403,14,02-20-2015,12:16:50
12008,10,C,C,1,21571,412755,14,02-20-2015,12:16:50
12008,11,H,H,1,29396,390661,14,02-20-2015,12:16:50
12008,12,F,F,1,19246,360736,14,02-20-2015,12:16:50
12008,13,G,G,1,64473,340959,14,02-20-2015,12:16:50
12008,14,G,G,1,29410,275962,14,02-20-2015,12:16:50
12008,15,F,B,0,44122,246020,14,02-20-2015,12:16:50
12008,16,D,D,1,99807,201366,14,02-20-2015,12:16:50
12008,17,E,B,0,87385,101029,14,02-20-2015,12:16:50
12010,1,E,E,1,21434,600000,16,02-20-2015,13:27:58
12010,2,G,G,1,10227,577856,16,02-20-2015,13:27:58
12010,3,C,C,1,9557,566992,16,02-20-2015,13:27:58
12010,4,F,F,1,24345,556828,16,02-20-2015,13:27:58
12010,5,H,H,1,11039,531903,16,02-20-2015,13:27:58
12010,6,E,E,1,7294,520223,16,02-20-2015,13:27:58
12010,7,B,B,1,18825,512274,16,02-20-2015,13:27:58
12010,8,B,B,1,23338,492746,16,02-20-2015,13:27:58
12010,9,F,F,1,12024,468770,16,02-20-2015,13:27:58
12010,10,C,F,0,28929,456090,16,02-20-2015,13:27:58
12010,11,H,H,1,24336,426532,16,02-20-2015,13:27:58
12010,12,F,F,1,27429,401539,16,02-20-2015,13:27:58
12010,13,G,G,1,41143,373447,16,02-20-2015,13:27:58
12010,14,G,G,1,47287,331625,16,02-20-2015,13:27:58
