Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,OSpan.Absolute,OSpan.Partial,OSpan.Partial_Block1,OSpan.Partial_Block2,OSpan.MathACC,OSpan.AvgMathTime,SessionDate,SessionTime
12000,1,1,5,1,ProcessingTask,1130,1,FALSE,FALSE,T,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,2,ProcessingTask,1122,1,FALSE,FALSE,J,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,3,ProcessingTask,715,1,FALSE,FALSE,L,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,4,ProcessingTask,633,1,TRUE,TRUE,N,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,5,ProcessingTask,631,1,TRUE,TRUE,Y,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,6,Recall,3855,1,T,T,NA,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,7,Recall,1445,1,J,J,NA,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,8,Recall,1410,1,L,L,NA,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,9,Recall,2297,1,N,N,NA,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,1,5,10,Recall,597,1,Y,Y,NA,5,5,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,1,ProcessingTask,620,1,TRUE,TRUE,Q,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,2,ProcessingTask,752,1,FALSE,FALSE,T,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,3,ProcessingTask,691,1,FALSE,FALSE,P,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,4,ProcessingTask,1156,1,FALSE,FALSE,R,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,5,ProcessingTask,796,1,TRUE,TRUE,L,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,6,ProcessingTask,1234,1,FALSE,FALSE,S,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,7,ProcessingTask,669,1,TRUE,TRUE,Y,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,8,ProcessingTask,669,1,FALSE,FALSE,J,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,9,Recall,667,NA,Q,NA,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,10,Recall,1959,0,T,Q,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,11,Recall,1008,0,P,T,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,12,Recall,1222,0,R,P,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,13,Recall,629,0,L,R,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,14,Recall,595,0,S,L,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,15,Recall,938,0,Y,S,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,2,8,16,Recall,444,0,J,Y,NA,8,0,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,3,3,1,ProcessingTask,614,1,TRUE,TRUE,L,3,3,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,3,3,2,ProcessingTask,1005,1,FALSE,FALSE,Y,3,3,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,3,3,3,ProcessingTask,914,1,FALSE,FALSE,N,3,3,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,3,3,4,Recall,2582,1,L,L,NA,3,3,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,3,3,5,Recall,615,1,Y,Y,NA,3,3,74,80,41,39,1,NA,02-18-2015,12:17:38
12000,1,3,3,6,Recall,493,1,N,N,NA,3,3,74,80,41,39,1,NA,02-18-2015,12:17:38
