Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,RotSpan.Absolute,RotSpan.Partial,RotSpan.Partial_Block1,RotSpan.Partial_Block2,RotSpan.RotationACC,RotSpan.RotationDuration,SessionDate,SessionTime
12000,1,1,2,1,ProcessingTask,559,1,FALSE,FALSE,8,2,2,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,1,2,2,ProcessingTask,806,1,FALSE,FALSE,7,2,2,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,1,2,3,Recall,,1,8,8,,2,2,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,1,2,4,Recall,,1,7,7,,2,2,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,1,ProcessingTask,710,1,TRUE,TRUE,8,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,2,ProcessingTask,475,1,TRUE,TRUE,14,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,3,ProcessingTask,594,1,TRUE,TRUE,4,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,4,ProcessingTask,521,1,FALSE,FALSE,15,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,5,ProcessingTask,521,1,TRUE,TRUE,6,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,6,ProcessingTask,537,1,FALSE,FALSE,11,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,7,ProcessingTask,801,1,FALSE,FALSE,7,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,8,Recall,,1,8,8,,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,9,Recall,,1,14,14,,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,10,Recall,,0,6,4,,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,11,Recall,,1,15,15,,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,12,Recall,,0,11,6,,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,13,Recall,,0,7,11,,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,2,7,14,Recall,,,,7,,7,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,1,ProcessingTask,1077,1,FALSE,FALSE,6,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,2,ProcessingTask,530,1,TRUE,TRUE,14,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,3,ProcessingTask,692,1,FALSE,FALSE,16,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,4,ProcessingTask,635,1,TRUE,TRUE,11,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,5,Recall,,1,6,6,,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,6,Recall,,1,14,14,,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,7,Recall,,1,16,16,,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,3,4,8,Recall,,1,11,11,,4,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,4,3,1,ProcessingTask,531,1,FALSE,FALSE,2,3,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,4,3,2,ProcessingTask,640,1,TRUE,TRUE,13,3,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,4,3,3,ProcessingTask,1051,1,FALSE,FALSE,1,3,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,4,3,4,Recall,,1,2,2,,3,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,4,3,5,Recall,,1,13,13,,3,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,4,3,6,Recall,,1,1,1,,3,3,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,1,ProcessingTask,739,1,TRUE,TRUE,3,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,2,ProcessingTask,600,1,TRUE,TRUE,2,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,3,ProcessingTask,547,1,FALSE,FALSE,4,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,4,ProcessingTask,685,1,TRUE,TRUE,15,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,5,ProcessingTask,623,1,TRUE,TRUE,1,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,6,Recall,,1,3,3,,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,7,Recall,,1,2,2,,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,8,Recall,,1,4,4,,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,9,Recall,,0,16,15,,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,5,5,10,Recall,,1,1,1,,5,4,14,31,17,14,1,,03-04-2015,12:03:09
12000,1,6,6,1,ProcessingTask,755,1,TRUE,TRUE,7,6,1,14,31,17,14,1,,03-04-2015,12:03:09
