Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,LoudThreshold.last,NextTrial.ACC,Reversal,ReversalNumb
12000,56,13,18,5,second,1,4,1,0,
12000,57,9,13,4,second,0,4,1,1,21
12000,58,13,6,7,first,0,4,0,0,
12000,59,13,23,10,second,1,4,0,1,22
12000,60,22,13,9,first,1,4,1,0,
12000,61,21,13,8,first,1,4,1,0,
12000,62,13,6,7,first,1,4,1,0,
12000,63,13,7,6,first,1,4,1,0,
12000,64,8,13,5,second,1,4,1,0,
12002,1,13,3,10,first,1,5,,,
12002,2,5,13,8,second,1,5,1,0,
12002,3,13,7,6,first,1,5,1,0,
12002,4,13,9,4,first,1,5,1,0,
12002,5,13,15,2,second,0,5,1,1,1
12002,6,13,5,8,first,1,5,0,1,2
12002,7,13,19,6,second,1,5,1,0,
12002,8,18,13,5,first,1,5,1,0,
12002,9,13,17,4,second,0,5,1,1,3
12002,10,20,13,7,first,1,5,0,1,4
12002,11,13,7,6,first,1,5,1,0,
12002,12,18,13,5,first,1,5,1,0,
12002,13,13,17,4,second,1,5,1,0,
12002,14,10,13,3,second,1,5,1,0,
12002,15,11,13,2,second,1,5,1,0,
12002,16,13,12,1,first,0,5,1,1,5
12002,17,13,17,4,second,1,5,0,1,6
12002,18,16,13,3,first,1,5,1,0,
12002,19,13,15,2,second,0,5,1,1,7
12002,20,18,13,5,first,1,5,0,1,8
12002,21,13,17,4,second,1,5,1,0,
12002,22,13,16,3,second,1,5,1,0,
12002,23,15,13,2,first,1,5,1,0,
12002,24,13,14,1,second,0,5,1,1,9
12002,25,9,13,4,second,0,5,0,0,
12002,26,13,20,7,second,1,5,0,1,10
12002,27,7,13,6,second,1,5,1,0,
12002,28,8,13,5,second,1,5,1,0,
12002,29,13,9,4,first,0,5,1,1,11
12002,30,13,20,7,second,1,5,0,1,12
12002,31,13,19,6,second,1,5,1,0,
12002,32,13,18,5,second,1,5,1,0,
12002,33,17,13,4,first,1,5,1,0,
12002,34,10,13,3,second,0,5,1,1,13
12002,35,7,13,6,second,1,5,0,1,14
12002,36,18,13,5,first,1,5,1,0,
12002,37,13,9,4,first,1,5,1,0,
12002,38,16,13,3,first,1,5,1,0,
12002,39,15,13,2,first,1,5,1,0,
12002,40,13,14,1,second,1,5,1,0,
12002,41,12,13,1,second,0,5,1,1,15
12002,42,17,13,4,first,1,5,0,1,16
12002,43,13,10,3,first,1,5,1,0,
12002,44,11,13,2,second,0,5,1,1,17
12002,45,18,13,5,first,1,5,0,1,18
12002,46,17,13,4,first,1,5,1,0,
12002,47,13,10,3,first,1,5,1,0,
12002,48,13,11,2,first,0,5,1,1,19
12002,49,8,13,5,second,1,5,0,1,20
12002,50,13,9,4,first,1,5,1,0,
12002,51,16,13,3,first,1,5,1,0,
12002,52,11,13,2,second,1,5,1,0,
12002,53,13,12,1,first,0,5,1,1,21
12002,54,9,13,4,second,1,5,0,1,22
12002,55,10,13,3,second,1,5,1,0,
12002,56,13,11,2,first,0,5,1,1,23
12002,57,8,13,5,second,1,5,0,1,24
12002,58,13,17,4,second,1,5,1,0,
12002,59,13,10,3,first,0,5,1,1,25
12002,60,7,13,6,second,1,5,0,1,26
12002,61,13,18,5,second,1,5,1,0,
12002,62,17,13,4,first,0,5,1,1,27
12002,63,20,13,7,first,1,5,0,1,28
12002,64,13,7,6,first,1,5,1,0,
12006,1,13,3,10,first,1,4,,,
12006,2,13,5,8,first,1,4,1,0,
12006,3,13,19,6,second,1,4,1,0,
12006,4,13,17,4,second,1,4,1,0,
12006,5,15,13,2,first,1,4,1,0,
12006,6,13,12,1,first,1,4,1,0,
12006,7,12,13,1,second,0,4,1,1,1
12006,8,13,9,4,first,1,4,0,1,2
12006,9,10,13,3,second,1,4,1,0,
12006,10,13,15,2,second,0,4,1,1,3
12006,11,13,18,5,second,1,4,0,1,4
12006,12,13,17,4,second,1,4,1,0,
12006,13,10,13,3,second,1,4,1,0,
12006,14,13,11,2,first,0,4,1,1,5
12006,15,18,13,5,first,1,4,0,1,6
12006,16,13,9,4,first,1,4,1,0,
12006,17,13,16,3,second,1,4,1,0,
12006,18,11,13,2,second,0,4,1,1,7
12006,19,13,8,5,first,1,4,0,1,8
12006,20,17,13,4,first,1,4,1,0,
12006,21,13,16,3,second,0,4,1,1,9
12006,22,13,7,6,first,1,4,0,1,10
12006,23,13,18,5,second,1,4,1,0,
12006,24,17,13,4,first,1,4,1,0,
12006,25,10,13,3,second,1,4,1,0,
12006,26,13,11,2,first,1,4,1,0,
12006,27,13,14,1,second,0,4,1,1,11
12006,28,9,13,4,second,1,4,0,1,12
12006,29,16,13,3,first,1,4,1,0,
12006,30,11,13,2,second,1,4,1,0,
12006,31,14,13,1,first,0,4,1,1,13
12006,32,9,13,4,second,0,4,0,0,
12006,33,20,13,7,first,1,4,0,1,14
12006,34,7,13,6,second,1,4,1,0,
12006,35,18,13,5,first,1,4,1,0,
12006,36,13,17,4,second,1,4,1,0,
12006,37,13,16,3,second,1,4,1,0,
12006,38,13,15,2,second,0,4,1,1,15
12006,39,13,8,5,first,1,4,0,1,16
12006,40,9,13,4,second,1,4,1,0,
12006,41,13,10,3,first,1,4,1,0,
12006,42,11,13,2,second,0,4,1,1,17
12006,43,13,8,5,first,1,4,0,1,18
12006,44,13,9,4,first,1,4,1,0,
12006,45,13,16,3,second,1,4,1,0,
12006,46,11,13,2,second,1,4,1,0,
12006,47,14,13,1,first,1,4,1,0,
12006,48,12,13,1,second,0,4,1,1,19
12006,49,13,9,4,first,1,4,0,1,20
12006,50,10,13,3,second,1,4,1,0,
12006,51,13,11,2,first,0,4,1,1,21
12006,52,13,18,5,second,1,4,0,1,22
12006,53,13,17,4,second,1,4,1,0,
12006,54,16,13,3,first,1,4,1,0,
12006,55,15,13,2,first,1,4,1,0,
12006,56,14,13,1,first,1,4,1,0,
12006,57,13,12,1,first,1,4,1,0,
12006,58,14,13,1,first,1,4,1,0,
12006,59,12,13,1,second,0,4,1,1,23
12006,60,17,13,4,first,1,4,0,1,24
12006,61,13,16,3,second,1,4,1,0,
12006,62,11,13,2,second,1,4,1,0,
12006,63,14,13,1,first,1,4,1,0,
12006,64,14,13,1,first,0,4,1,1,25
12008,1,13,3,10,first,1,5,,,
12008,2,13,5,8,first,1,5,1,0,
12008,3,13,7,6,first,1,5,1,0,
12008,4,13,17,4,second,1,5,1,0,
12008,5,13,11,2,first,1,5,1,0,
12008,6,13,12,1,first,1,5,1,0,
12008,7,13,14,1,second,1,5,1,0,
12008,8,13,12,1,first,1,5,1,0,
12008,9,12,13,1,second,0,5,1,1,1
12008,10,13,17,4,second,1,5,0,1,2
12008,11,13,10,3,first,1,5,1,0,
12008,12,15,13,2,first,1,5,1,0,
12008,13,13,14,1,second,1,5,1,0,
12008,14,14,13,1,first,0,5,1,1,3
12008,15,17,13,4,first,1,5,0,1,4
12008,16,13,16,3,second,1,5,1,0,
12008,17,11,13,2,second,0,5,1,1,5
12008,18,13,18,5,second,1,5,0,1,6
12008,19,9,13,4,second,1,5,1,0,
12008,20,16,13,3,first,1,5,1,0,
12008,21,15,13,2,first,1,5,1,0,
12008,22,13,12,1,first,1,5,1,0,
12008,23,12,13,1,second,1,5,1,0,
12008,24,13,12,1,first,0,5,1,1,7
12008,25,17,13,4,first,1,5,0,1,8
12008,26,16,13,3,first,1,5,1,0,
12008,27,15,13,2,first,1,5,1,0,
12008,28,13,14,1,second,1,5,1,0,
12008,29,14,13,1,first,0,5,1,1,9
12008,30,17,13,4,first,0,5,0,0,
12008,31,6,13,7,second,1,5,0,1,10
12008,32,7,13,6,second,1,5,1,0,
12008,33,13,18,5,second,1,5,1,0,
12008,34,13,9,4,first,1,5,1,0,
12008,35,16,13,3,first,1,5,1,0,
12008,36,13,15,2,second,0,5,1,1,11
12008,37,13,18,5,second,1,5,0,1,12
12008,38,9,13,4,second,0,5,1,1,13
12008,39,13,6,7,first,1,5,0,1,14
12008,40,7,13,6,second,0,5,1,1,15
12008,41,4,13,9,second,1,5,0,1,16
12008,42,13,5,8,first,1,5,1,0,
12008,43,20,13,7,first,1,5,1,0,
12008,44,7,13,6,second,1,5,1,0,
12008,45,13,18,5,second,1,5,1,0,
12008,46,17,13,4,first,0,5,1,1,17
12008,47,6,13,7,second,1,5,0,1,18
12008,48,7,13,6,second,1,5,1,0,
12008,49,18,13,5,first,1,5,1,0,
12008,50,13,17,4,second,0,5,1,1,19
12008,51,13,20,7,second,1,5,0,1,20
12008,52,13,7,6,first,1,5,1,0,
12008,53,18,13,5,first,1,5,1,0,
12008,54,9,13,4,second,1,5,1,0,
12008,55,13,10,3,first,1,5,1,0,
12008,56,11,13,2,second,0,5,1,1,21
12008,57,8,13,5,second,1,5,0,1,22
12008,58,9,13,4,second,1,5,1,0,
12008,59,16,13,3,first,1,5,1,0,
12008,60,13,15,2,second,0,5,1,1,23
12008,61,13,8,5,first,1,5,0,1,24
12008,62,13,17,4,second,1,5,1,0,
12008,63,13,16,3,second,1,5,1,0,
12008,64,13,11,2,first,0,5,1,1,25
12010,1,13,3,10,first,1,1,,,
12010,2,5,13,8,second,1,1,1,0,
12010,3,13,7,6,first,1,1,1,0,
12010,4,13,9,4,first,1,1,1,0,
12010,5,13,11,2,first,1,1,1,0,
12010,6,13,12,1,first,0,1,1,1,1
12010,7,20,13,7,first,1,1,0,1,2
12010,8,19,13,6,first,1,1,1,0,
12010,9,8,13,5,second,1,1,1,0,
12010,10,13,17,4,second,1,1,1,0,
12010,11,10,13,3,second,0,1,1,1,3
12010,12,13,7,6,first,1,1,0,1,4
12010,13,13,18,5,second,1,1,1,0,
12010,14,17,13,4,first,1,1,1,0,
12010,15,16,13,3,first,1,1,1,0,
12010,16,13,15,2,second,1,1,1,0,
12010,17,13,14,1,second,1,1,1,0,
12010,18,12,13,1,second,1,1,1,0,
12010,19,13,12,1,first,1,1,1,0,
12010,20,14,13,1,first,0,1,1,1,5
12010,21,9,13,4,second,1,1,0,1,6
12010,22,13,16,3,second,1,1,1,0,
12010,23,11,13,2,second,0,1,1,1,7
12010,24,13,8,5,first,1,1,0,1,8
12010,25,17,13,4,first,1,1,1,0,
12010,26,13,16,3,second,1,1,1,0,
12010,27,15,13,2,first,1,1,1,0,
12010,28,13,14,1,second,1,1,1,0,
12010,29,12,13,1,second,1,1,1,0,
12010,30,13,12,1,first,1,1,1,0,
12010,31,13,14,1,second,1,1,1,0,
12010,32,13,12,1,first,1,1,1,0,
12010,33,12,13,1,second,0,1,1,1,9
12010,34,13,9,4,first,1,1,0,1,10
12010,35,13,10,3,first,1,1,1,0,
12010,36,13,11,2,first,1,1,1,0,
12010,37,12,13,1,second,1,1,1,0,
12010,38,12,13,1,second,0,1,1,1,11
12010,39,9,13,4,second,1,1,0,1,12
12010,40,16,13,3,first,1,1,1,0,
12010,41,15,13,2,first,1,1,1,0,
12010,42,14,13,1,first,0,1,1,1,13
12010,43,13,17,4,second,1,1,0,1,14
12010,44,10,13,3,second,0,1,1,1,15
12010,45,13,19,6,second,1,1,0,1,16
12010,46,13,18,5,second,1,1,1,0,
12010,47,13,17,4,second,1,1,1,0,
12010,48,10,13,3,second,1,1,1,0,
12010,49,13,11,2,first,1,1,1,0,
12010,50,12,13,1,second,1,1,1,0,
12010,51,14,13,1,first,1,1,1,0,
12010,52,13,12,1,first,1,1,1,0,
12010,53,14,13,1,first,0,1,1,1,17
12010,54,13,17,4,second,0,1,0,0,
12010,55,20,13,7,first,1,1,0,1,18
12010,56,7,13,6,second,1,1,1,0,
12010,57,18,13,5,first,1,1,1,0,
12010,58,17,13,4,first,1,1,1,0,
12010,59,13,10,3,first,1,1,1,0,
12010,60,13,15,2,second,1,1,1,0,
12010,61,13,14,1,second,1,1,1,0,
12010,62,13,14,1,second,1,1,1,0,
12010,63,12,13,1,second,1,1,1,0,
12010,64,14,13,1,first,1,1,1,0,
12012,1,13,23,10,second,1,2,,,
12012,2,21,13,8,first,1,2,1,0,
12012,3,19,13,6,first,1,2,1,0,
12012,4,13,9,4,first,1,2,1,0,
12012,5,11,13,2,second,1,2,1,0,
12012,6,12,13,1,second,0,2,1,1,1
12012,7,6,13,7,second,1,2,0,1,2
12012,8,13,7,6,first,1,2,1,0,
12012,9,8,13,5,second,1,2,1,0,
12012,10,9,13,4,second,1,2,1,0,
12012,11,13,16,3,second,1,2,1,0,
12012,12,11,13,2,second,0,2,1,1,3
12012,13,18,13,5,first,1,2,0,1,4
12012,14,13,17,4,second,1,2,1,0,
12012,15,10,13,3,second,1,2,1,0,
12012,16,13,15,2,second,1,2,1,0,
12012,17,14,13,1,first,1,2,1,0,
12012,18,13,12,1,first,1,2,1,0,
12012,19,13,12,1,first,1,2,1,0,
12012,20,12,13,1,second,1,2,1,0,
12012,21,13,14,1,second,0,2,1,1,5
12012,22,13,17,4,second,1,2,0,1,6
12012,23,10,13,3,second,1,2,1,0,
12012,24,11,13,2,second,0,2,1,1,7
12012,25,18,13,5,first,1,2,0,1,8
12012,26,9,13,4,second,1,2,1,0,
12012,27,16,13,3,first,1,2,1,0,
12012,28,13,11,2,first,1,2,1,0,
12012,29,13,12,1,first,1,2,1,0,
12012,30,14,13,1,first,1,2,1,0,
12012,31,13,12,1,first,0,2,1,1,9
12012,32,17,13,4,first,1,2,0,1,10
12012,33,13,16,3,second,1,2,1,0,
12012,34,13,15,2,second,0,2,1,1,11
12012,35,13,18,5,second,1,2,0,1,12
12012,36,17,13,4,first,1,2,1,0,
12012,37,16,13,3,first,1,2,1,0,
12012,38,11,13,2,second,1,2,1,0,
12012,39,14,13,1,first,1,2,1,0,
12012,40,14,13,1,first,1,2,1,0,
12012,41,13,12,1,first,0,2,1,1,13
12012,42,9,13,4,second,1,2,0,1,14
12012,43,13,16,3,second,0,2,1,1,15
12012,44,13,7,6,first,1,2,0,1,16
12012,45,13,8,5,first,1,2,1,0,
12012,46,17,13,4,first,0,2,1,1,17
12012,47,13,20,7,second,0,2,0,0,
12012,48,13,23,10,second,1,2,0,1,18
12012,49,13,4,9,first,1,2,1,0,
12012,50,21,13,8,first,1,2,1,0,
12012,51,20,13,7,first,1,2,1,0,
12012,52,7,13,6,second,1,2,1,0,
12012,53,13,18,5,second,1,2,1,0,
12012,54,13,9,4,first,1,2,1,0,
12012,55,13,10,3,first,1,2,1,0,
12012,56,13,15,2,second,1,2,1,0,
12012,57,12,13,1,second,0,2,1,1,19
12012,58,9,13,4,second,1,2,0,1,20
12012,59,13,16,3,second,1,2,1,0,
12012,60,13,11,2,first,1,2,1,0,
12012,61,14,13,1,first,1,2,1,0,
12012,62,13,12,1,first,0,2,1,1,21
12012,63,13,9,4,first,1,2,0,1,22
12012,64,13,16,3,second,1,2,1,0,
12013,1,13,3,10,first,1,1,,,
12013,2,21,13,8,first,1,1,1,0,
12013,3,13,7,6,first,1,1,1,0,
12013,4,13,9,4,first,1,1,1,0,
12013,5,13,15,2,second,0,1,1,1,1
12013,6,13,21,8,second,1,1,0,1,2
12013,7,19,13,6,first,1,1,1,0,
12013,8,8,13,5,second,1,1,1,0,
12013,9,13,9,4,first,1,1,1,0,
12013,10,10,13,3,second,1,1,1,0,
12013,11,13,11,2,first,1,1,1,0,
12013,12,12,13,1,second,0,1,1,1,3
12013,13,17,13,4,first,1,1,0,1,4
12013,14,16,13,3,first,1,1,1,0,
12013,15,13,11,2,first,1,1,1,0,
12013,16,13,14,1,second,0,1,1,1,5
12013,17,9,13,4,second,1,1,0,1,6
12013,18,13,10,3,first,1,1,1,0,
12013,19,15,13,2,first,0,1,1,1,7
12013,20,13,18,5,second,1,1,0,1,8
12013,21,13,9,4,first,1,1,1,0,
12013,22,16,13,3,first,1,1,1,0,
12013,23,15,13,2,first,1,1,1,0,
12013,24,13,12,1,first,1,1,1,0,
12013,25,14,13,1,first,1,1,1,0,
12013,26,12,13,1,second,1,1,1,0,
12013,27,12,13,1,second,1,1,1,0,
12013,28,14,13,1,first,1,1,1,0,
12013,29,14,13,1,first,1,1,1,0,
12013,30,13,12,1,first,1,1,1,0,
12013,31,14,13,1,first,1,1,1,0,
12013,32,13,14,1,second,1,1,1,0,
12013,33,14,13,1,first,0,1,1,1,9
12013,34,13,17,4,second,1,1,0,1,10
12013,35,10,13,3,second,1,1,1,0,
12013,36,13,11,2,first,1,1,1,0,
12013,37,13,14,1,second,1,1,1,0,
12013,38,12,13,1,second,1,1,1,0,
12013,39,14,13,1,first,1,1,1,0,
12013,40,12,13,1,second,1,1,1,0,
12013,41,12,13,1,second,1,1,1,0,
12013,42,13,14,1,second,1,1,1,0,
12013,43,13,14,1,second,1,1,1,0,
12013,44,12,13,1,second,1,1,1,0,
12013,45,14,13,1,first,0,1,1,1,11
12013,46,17,13,4,first,1,1,0,1,12
12013,47,10,13,3,second,0,1,1,1,13
12013,48,13,19,6,second,1,1,0,1,14
12013,49,13,18,5,second,1,1,1,0,
12013,50,13,9,4,first,1,1,1,0,
12013,51,13,10,3,first,1,1,1,0,
12013,52,13,15,2,second,1,1,1,0,
12013,53,13,14,1,second,1,1,1,0,
12013,54,12,13,1,second,1,1,1,0,
12013,55,12,13,1,second,0,1,1,1,15
12013,56,9,13,4,second,1,1,0,1,16
12013,57,13,10,3,first,1,1,1,0,
12013,58,15,13,2,first,1,1,1,0,
12013,59,12,13,1,second,0,1,1,1,17
12013,60,13,17,4,second,1,1,0,1,18
12013,61,13,16,3,second,1,1,1,0,
12013,62,13,11,2,first,1,1,1,0,
12013,63,13,12,1,first,1,1,1,0,
12013,64,13,14,1,second,1,1,1,0,
12015,1,13,3,10,first,1,1,,,
12015,2,13,5,8,first,1,1,1,0,
12015,3,13,19,6,second,1,1,1,0,
12015,4,9,13,4,second,0,1,1,1,1
12015,5,13,3,10,first,1,1,0,1,2
12015,6,13,21,8,second,1,1,1,0,
12015,7,7,13,6,second,0,1,1,1,3
12015,8,22,13,9,first,1,1,0,1,4
12015,9,5,13,8,second,1,1,1,0,
12015,10,13,6,7,first,1,1,1,0,
12015,11,13,19,6,second,1,1,1,0,
12015,12,8,13,5,second,1,1,1,0,
12015,13,13,17,4,second,1,1,1,0,
12015,14,13,10,3,first,1,1,1,0,
12015,15,15,13,2,first,0,1,1,1,5
12015,16,13,18,5,second,1,1,0,1,6
12015,17,17,13,4,first,1,1,1,0,
12015,18,13,10,3,first,0,1,1,1,7
12015,19,7,13,6,second,1,1,0,1,8
12015,20,13,8,5,first,1,1,1,0,
12015,21,13,17,4,second,1,1,1,0,
12015,22,10,13,3,second,1,1,1,0,
12015,23,13,15,2,second,0,1,1,1,9
12015,24,13,18,5,second,1,1,0,1,10
12015,25,17,13,4,first,1,1,1,0,
12015,26,16,13,3,first,0,1,1,1,11
12015,27,13,19,6,second,1,1,0,1,12
12015,28,13,18,5,second,1,1,1,0,
12015,29,9,13,4,second,1,1,1,0,
12015,30,10,13,3,second,0,1,1,1,13
12015,31,13,19,6,second,1,1,0,1,14
12015,32,13,8,5,first,1,1,1,0,
12015,33,17,13,4,first,1,1,1,0,
12015,34,10,13,3,second,1,1,1,0,
12015,35,15,13,2,first,1,1,1,0,
12015,36,14,13,1,first,1,1,1,0,
12015,37,13,12,1,first,0,1,1,1,15
12015,38,13,9,4,first,1,1,0,1,16
12015,39,13,10,3,first,0,1,1,1,17
12015,40,13,19,6,second,1,1,0,1,18
12015,41,13,18,5,second,1,1,1,0,
12015,42,13,9,4,first,1,1,1,0,
12015,43,10,13,3,second,1,1,1,0,
12015,44,15,13,2,first,0,1,1,1,19
12015,45,13,8,5,first,1,1,0,1,20
12015,46,9,13,4,second,1,1,1,0,
12015,47,16,13,3,first,1,1,1,0,
12015,48,11,13,2,second,1,1,1,0,
12015,49,13,14,1,second,0,1,1,1,21
12015,50,9,13,4,second,1,1,0,1,22
12015,51,16,13,3,first,1,1,1,0,
12015,52,15,13,2,first,1,1,1,0,
12015,53,14,13,1,first,1,1,1,0,
12015,54,12,13,1,second,1,1,1,0,
12015,55,14,13,1,first,1,1,1,0,
12015,56,12,13,1,second,0,1,1,1,23
12015,57,17,13,4,first,0,1,0,0,
12015,58,13,20,7,second,1,1,0,1,24
12015,59,7,13,6,second,1,1,1,0,
12015,60,18,13,5,first,1,1,1,0,
12015,61,13,9,4,first,1,1,1,0,
12015,62,13,10,3,first,1,1,1,0,
12015,63,13,15,2,second,1,1,1,0,
12015,64,13,12,1,first,1,1,1,0,
12018,1,13,23,10,second,1,8,,,
12018,2,13,5,8,first,1,8,1,0,
12018,3,19,13,6,first,1,8,1,0,
12018,4,13,17,4,second,1,8,1,0,
12018,5,13,11,2,first,0,8,1,1,1
12018,6,13,21,8,second,1,8,0,1,2
12018,7,19,13,6,first,1,8,1,0,
12018,8,13,8,5,first,1,8,1,0,
12018,9,9,13,4,second,1,8,1,0,
12018,10,16,13,3,first,1,8,1,0,
12018,11,13,15,2,second,0,8,1,1,3
12018,12,8,13,5,second,1,8,0,1,4
12018,13,13,9,4,first,0,8,1,1,5
12018,14,13,6,7,first,1,8,0,1,6
12018,15,19,13,6,first,1,8,1,0,
12018,16,18,13,5,first,1,8,1,0,
12018,17,13,17,4,second,0,8,1,1,7
12018,18,6,13,7,second,1,8,0,1,8
12018,19,19,13,6,first,1,8,1,0,
12018,20,13,18,5,second,1,8,1,0,
12018,21,17,13,4,first,0,8,1,1,9
12018,22,13,20,7,second,1,8,0,1,10
12018,23,7,13,6,second,0,8,1,1,11
12018,24,4,13,9,second,1,8,0,1,12
12018,25,5,13,8,second,1,8,1,0,
12018,26,13,6,7,first,0,8,1,1,13
12018,27,3,13,10,second,1,8,0,1,14
12018,28,13,22,9,second,0,8,1,1,15
12018,29,13,25,12,second,1,8,0,1,16
12018,30,2,13,11,second,1,8,1,0,
12018,31,13,23,10,second,1,8,1,0,
12018,32,22,13,9,first,1,8,1,0,
12018,33,21,13,8,first,1,8,1,0,
12018,34,13,20,7,second,1,8,1,0,
12018,35,13,19,6,second,0,8,1,1,17
12018,36,13,4,9,first,0,8,0,0,
12018,37,1,13,12,second,0,8,0,0,
12018,38,26,13,13,first,1,8,0,1,18
12018,39,13,1,12,first,1,8,1,0,
12018,40,13,2,11,first,0,8,1,1,19
12018,41,13,0,13,first,1,8,0,1,20
12018,42,13,25,12,second,1,8,1,0,
12018,43,13,2,11,first,1,8,1,0,
12018,44,23,13,10,first,1,8,1,0,
12018,45,22,13,9,first,0,8,1,1,21
12018,46,13,1,12,first,1,8,0,1,22
12018,47,2,13,11,second,1,8,1,0,
12018,48,13,3,10,first,1,8,1,0,
12018,49,13,22,9,second,0,8,1,1,23
12018,50,13,1,12,first,1,8,0,1,24
12018,51,13,24,11,second,1,8,1,0,
12018,52,23,13,10,first,1,8,1,0,
12018,53,4,13,9,second,1,8,1,0,
12018,54,13,21,8,second,1,8,1,0,
12018,55,13,6,7,first,1,8,1,0,
12018,56,7,13,6,second,1,8,1,0,
12018,57,8,13,5,second,0,8,1,1,25
12018,58,21,13,8,first,0,8,0,0,
12018,59,2,13,11,second,0,8,0,0,
12018,60,13,0,13,first,1,8,0,1,26
12018,61,1,13,12,second,1,8,1,0,
12018,62,24,13,11,first,1,8,1,0,
12018,63,3,13,10,second,1,8,1,0,
12018,64,22,13,9,first,1,8,1,0,
12021,1,23,13,10,first,1,1,,,
12021,2,13,5,8,first,1,1,1,0,
12021,3,19,13,6,first,1,1,1,0,
12021,4,9,13,4,second,1,1,1,0,
12021,5,13,15,2,second,1,1,1,0,
12021,6,12,13,1,second,1,1,1,0,
12021,7,13,14,1,second,1,1,1,0,
12021,8,12,13,1,second,0,1,1,1,1
12021,9,9,13,4,second,1,1,0,1,2
12021,10,13,10,3,first,1,1,1,0,
12021,11,15,13,2,first,1,1,1,0,
12021,12,13,14,1,second,1,1,1,0,
12021,13,12,13,1,second,0,1,1,1,3
12021,14,13,9,4,first,1,1,0,1,4
12021,15,16,13,3,first,1,1,1,0,
12021,16,13,11,2,first,1,1,1,0,
12021,17,13,12,1,first,1,1,1,0,
12021,18,13,14,1,second,1,1,1,0,
12021,19,12,13,1,second,0,1,1,1,5
12021,20,13,17,4,second,1,1,0,1,6
12021,21,13,10,3,first,1,1,1,0,
12021,22,15,13,2,first,1,1,1,0,
12021,23,13,12,1,first,1,1,1,0,
12021,24,13,12,1,first,1,1,1,0,
12021,25,12,13,1,second,1,1,1,0,
12021,26,12,13,1,second,0,1,1,1,7
12021,27,13,9,4,first,1,1,0,1,8
12021,28,13,10,3,first,1,1,1,0,
12021,29,15,13,2,first,1,1,1,0,
12021,30,14,13,1,first,1,1,1,0,
12021,31,12,13,1,second,1,1,1,0,
12021,32,13,12,1,first,1,1,1,0,
12021,33,13,12,1,first,1,1,1,0,
12021,34,12,13,1,second,1,1,1,0,
12021,35,13,14,1,second,0,1,1,1,9
12021,36,17,13,4,first,1,1,0,1,10
12021,37,10,13,3,second,0,1,1,1,11
12021,38,13,19,6,second,1,1,0,1,12
12021,39,13,18,5,second,1,1,1,0,
12021,40,17,13,4,first,1,1,1,0,
12021,41,16,13,3,first,0,1,1,1,13
12021,42,7,13,6,second,1,1,0,1,14
12021,43,8,13,5,second,1,1,1,0,
12021,44,13,9,4,first,0,1,1,1,15
