Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,LoudThreshold.last,NextTrial.ACC,Reversal,ReversalNumb
12000,1,13,23,10,second,1,4,,,
12000,2,13,5,8,first,1,4,1,0,
12000,3,13,19,6,second,1,4,1,0,
12000,4,13,9,4,first,1,4,1,0,
12000,5,13,11,2,first,1,4,1,0,
12000,6,13,14,1,second,1,4,1,0,
12000,7,14,13,1,first,0,4,1,1,1
12000,8,13,17,4,second,1,4,0,1,2
12000,9,13,16,3,second,0,4,1,1,3
12000,10,13,7,6,first,1,4,0,1,4
12000,11,13,8,5,first,1,4,1,0,
12000,12,13,17,4,second,1,4,1,0,
12000,13,10,13,3,second,1,4,1,0,
12000,14,13,15,2,second,1,4,1,0,
12000,15,14,13,1,first,1,4,1,0,
12000,16,12,13,1,second,0,4,1,1,5
12000,17,13,9,4,first,0,4,0,0,
12000,18,6,13,7,second,1,4,0,1,6
12000,19,13,7,6,first,1,4,1,0,
12000,20,8,13,5,second,1,4,1,0,
12000,21,17,13,4,first,1,4,1,0,
12000,22,16,13,3,first,1,4,1,0,
12000,23,15,13,2,first,1,4,1,0,
12000,24,14,13,1,first,1,4,1,0,
12000,25,14,13,1,first,0,4,1,1,7
12000,26,13,9,4,first,0,4,0,0,
12000,27,13,6,7,first,1,4,0,1,8
12000,28,7,13,6,second,1,4,1,0,
12000,29,18,13,5,first,1,4,1,0,
12000,30,9,13,4,second,0,4,1,1,9
12000,31,13,6,7,first,1,4,0,1,10
12000,32,7,13,6,second,1,4,1,0,
12000,33,13,18,5,second,1,4,1,0,
12000,34,9,13,4,second,1,4,1,0,
12000,35,13,10,3,first,1,4,1,0,
12000,36,15,13,2,first,1,4,1,0,
12000,37,12,13,1,second,1,4,1,0,
12000,38,14,13,1,first,1,4,1,0,
12000,39,12,13,1,second,0,4,1,1,11
12000,40,13,9,4,first,1,4,0,1,12
12000,41,16,13,3,first,1,4,1,0,
12000,42,13,15,2,second,1,4,1,0,
12000,43,13,14,1,second,1,4,1,0,
12000,44,13,14,1,second,0,4,1,1,13
12000,45,9,13,4,second,1,4,0,1,14
12000,46,13,10,3,first,0,4,1,1,15
12000,47,19,13,6,first,1,4,0,1,16
12000,48,13,18,5,second,1,4,1,0,
12000,49,17,13,4,first,1,4,1,0,
12000,50,10,13,3,second,0,4,1,1,17
12000,51,13,19,6,second,1,4,0,1,18
12000,52,13,18,5,second,1,4,1,0,
12000,53,9,13,4,second,0,4,1,1,19
12000,54,20,13,7,first,1,4,0,1,20
12000,55,7,13,6,second,1,4,1,0,
