*ITEM#,SUBANS,CORANS,ISCORR,ACTANS,SGRP,SEED,RTIME
1 5 5 1 6 B 276 2269.63
2 3 3 1 3 B 276 1354.37
3 2 1 0 0 B 276 1163.61
4 5 4 0 4 B 276 1749.70
5 4 4 1 4 B 276 1210.33
6 4 4 1 4 B 276 969.85
7 4 4 1 4 B 276 1136.35
8 2 1 0 0 B 276 1599.29
9 7 7 1 9 B 276 2203.27
10 3 3 1 3 B 276 2374.29
11 3 3 1 3 B 276 1989.30
12 1 1 1 0 B 276 1654.38
13 2 2 1 1 B 276 2572.00
14 4 3 0 3 B 276 1983.85
15 1 2 0 1 B 276 1589.55
16 7 7 1 9 B 276 1414.46
17 1 1 1 0 B 276 1437.66
18 6 5 0 6 B 276 2573.10
19 7 7 1 9 B 276 1274.79
20 2 1 0 0 B 276 2400.90
21 4 4 1 4 B 276 2124.09
22 2 1 0 0 B 276 2685.70
23 1 1 1 0 B 276 1100.87
24 7 7 1 9 B 276 1270.40
25 2 2 1 1 B 276 1748.87
26 3 3 1 3 B 276 2048.90
27 4 4 1 4 B 276 1499.18
28 2 2 1 1 B 276 1795.33
29 5 6 0 7 B 276 2739.93
30 6 6 1 7 B 276 1117.70
31 6 5 0 6 B 268 1497.93
32 6 6 1 7 B 268 1086.53
33 1 1 1 0 B 268 1829.03
34 6 6 1 7 B 268 1936.15
35 4 4 1 4 B 268 1704.96
36 6 6 1 7 B 268 2084.87
37 5 5 1 6 B 268 1929.83
38 1 1 1 0 B 268 1226.26
39 7 7 1 9 B 268 1120.50
40 3 3 1 3 B 268 2134.65
41 2 2 1 1 B 268 1800.77
42 3 3 1 3 B 268 1716.41
43 1 1 1 0 B 268 2508.52
44 7 7 1 9 B 268 1306.28
45 5 5 1 6 B 268 1859.38
46 7 7 1 9 B 268 1092.74
47 2 2 1 1 B 268 1638.25
48 4 4 1 4 B 268 2311.17
49 3 2 0 1 B 268 1745.68
50 5 5 1 6 B 268 2877.73
51 2 2 1 1 B 268 1747.38
52 3 3 1 3 B 268 2510.46
