*ITEM#,SUBANS,CORANS,ISCORR,ACTANS,SGRP,SEED,RTIME
1717,3,3,1,3,A,270,1080.17
1718,5,5,1,6,A,270,1229.16
1719,1,1,1,0,A,270,720.97
1720,7,7,1,9,A,270,655.06
*
1721,2,2,1,2,A,270,848.50
1722,5,5,1,6,A,270,876.41
1723,5,5,1,6,A,270,594.09
1724,1,1,1,0,A,270,666.97
1725,6,7,0,9,A,270,704.14
1726,6,6,1,8,A,270,809.20
1727,6,6,1,8,A,270,698.49
1728,3,3,1,3,A,270,1089.67
1729,4,4,1,5,A,270,1154.20
1730,1,1,1,0,A,270,628.35
1731,7,7,1,9,A,270,944.70
1732,4,4,1,5,A,270,754.00
1733,3,2,0,2,A,270,1607.93
1734,1,1,1,0,A,270,456.76
1735,7,7,1,9,A,270,617.81
1736,5,5,1,6,A,270,784.66
1737,4,4,1,5,A,270,1483.72
1738,3,3,1,3,A,270,659.79
1739,6,6,1,8,A,270,867.80
1740,5,4,0,5,A,270,1858.89
1741,6,6,1,8,A,270,644.37
1742,3,2,0,2,A,270,681.27
1743,1,1,1,0,A,270,772.79
1744,1,1,1,0,A,270,504.93
1745,7,7,1,9,A,270,548.70
1746,6,6,1,8,A,270,866.23
1747,1,1,1,0,A,270,732.57
1748,1,1,1,0,A,270,416.20
1749,5,5,1,6,A,270,658.98
1750,7,7,1,9,A,270,585.22
1751,3,3,1,3,A,271,2526.93
1752,6,6,1,8,A,271,1023.35
1753,4,3,0,3,A,271,1635.42
1754,3,2,0,2,A,271,1015.14
1755,4,4,1,5,A,271,892.96
1756,4,4,1,5,A,271,601.81
1757,1,1,1,0,A,271,806.63
1758,7,7,1,9,A,271,1006.21
1759,5,5,1,6,A,271,1403.10
1760,3,2,0,2,A,271,895.85
1761,7,7,1,9,A,271,741.47
1762,1,1,1,0,A,271,547.40
1763,2,2,1,2,A,271,830.15
1764,2,2,1,2,A,271,585.00
1765,3,3,1,3,A,271,834.32
1766,1,1,1,0,A,271,765.72
1767,3,3,1,3,A,271,674.33
1768,3,3,1,3,A,271,613.96
1769,4,4,1,5,A,271,566.82
1770,6,6,1,8,A,271,629.95
1771,5,5,1,6,A,271,823.51
1772,5,5,1,6,A,271,609.65
1773,5,5,1,6,A,271,496.30
1774,1,1,1,0,A,271,539.55
1775,3,3,1,3,A,271,933.23
1776,3,3,1,3,A,271,578.57
1777,3,3,1,3,A,271,479.56
1778,1,1,1,0,A,271,769.60
1779,2,2,1,2,A,271,668.16
1780,4,4,1,5,A,271,860.02
*
1781,7,7,1,9,A,271,1102.83
1782,3,3,1,3,A,271,1156.04
1783,6,6,1,8,A,271,1199.97
1784,6,7,0,9,A,271,622.09
1785,1,1,1,0,A,271,785.98
1786,6,6,1,8,A,271,1860.44
1787,7,7,1,9,A,271,600.41
1788,1,1,1,0,A,271,922.57
1789,3,3,1,3,A,271,1436.82
1790,4,5,0,6,A,271,989.35
1791,6,6,1,8,A,271,726.70
1792,2,2,1,2,A,271,925.51
1793,1,1,1,0,A,271,502.51
1794,2,2,1,2,A,271,815.45
1795,2,3,0,3,A,271,1225.44
1796,5,5,1,6,A,271,740.16
1797,1,1,1,0,A,271,639.78
1798,3,3,1,3,A,271,1036.54
1799,3,3,1,3,A,271,592.34
1800,3,3,1,3,A,271,525.65
1801,5,5,1,6,A,271,992.32
1802,7,7,1,9,A,271,603.79
1803,3,3,1,3,A,271,798.41
1804,7,7,1,9,A,271,573.81
1805,6,6,1,8,A,271,861.15
1806,5,5,1,6,A,271,619.76
1807,1,1,1,0,A,271,598.00
1808,6,6,1,8,A,271,823.45
1809,1,1,1,0,A,271,595.78
1810,4,4,1,5,A,271,1536.29
1811,2,2,1,1,B,272,916.90
1812,3,4,0,4,B,272,1407.44
1813,1,1,1,0,B,272,831.70
1814,5,5,1,6,B,272,1759.91
1815,4,4,1,4,B,272,691.42
1816,6,5,0,6,B,272,1236.68
1817,5,5,1,6,B,272,687.03
1818,5,5,1,6,B,272,536.87
1819,4,4,1,4,B,272,660.78
1820,6,6,1,7,B,272,737.83
1821,6,6,1,7,B,272,715.16
1822,2,2,1,1,B,272,831.07
1823,4,5,0,6,B,272,924.42
1824,1,1,1,0,B,272,680.50
1825,7,7,1,9,B,272,535.64
1826,3,3,1,3,B,272,800.25
1827,2,2,1,1,B,272,548.69
1828,1,1,1,0,B,272,474.47
1829,5,5,1,6,B,272,2422.17
1830,7,7,1,9,B,272,792.43
1831,6,6,1,7,B,272,1360.89
1832,5,5,1,6,B,272,886.78
1833,3,2,0,1,B,272,2662.82
1834,2,2,1,1,B,272,701.89
1835,5,6,0,7,B,272,760.91
1836,6,6,1,7,B,272,697.69
1837,3,3,1,3,B,272,1122.39
1838,4,4,1,4,B,272,1153.25
1839,3,3,1,3,B,272,657.41
1840,2,2,1,1,B,272,615.22
*
1841,5,6,0,7,B,272,1247.68
1842,2,2,1,1,B,272,970.14
1843,7,7,1,9,B,272,552.24
1844,5,6,0,7,B,272,916.13
1845,2,1,0,0,B,272,1301.04
1846,5,5,1,6,B,272,690.49
1847,7,7,1,9,B,272,574.73
1848,5,5,1,6,B,272,1194.68
1849,3,3,1,3,B,272,1115.78
1850,1,1,1,0,B,272,990.33
1851,6,6,1,7,B,272,717.44
1852,6,6,1,7,B,272,596.05
1853,1,1,1,0,B,272,920.24
1854,4,4,1,4,B,272,955.72
1855,5,5,1,6,B,272,759.43
1856,4,4,1,4,B,272,941.51
1857,6,6,1,7,B,272,846.13
1858,3,3,1,3,B,272,800.39
1859,1,1,1,0,B,272,619.51
1860,1,1,1,0,B,272,525.32
1861,3,4,0,4,B,272,743.90
1862,5,5,1,6,B,272,645.37
1863,5,5,1,6,B,272,546.75
1864,5,5,1,6,B,272,703.04
1865,5,5,1,6,B,272,754.65
1866,4,4,1,4,B,272,688.13
1867,2,2,1,1,B,272,890.93
1868,3,3,1,3,B,272,629.54
1869,3,3,1,3,B,272,592.98
1870,2,2,1,1,B,272,946.80
1871,1,1,1,0,B,273,505.77
1872,1,2,0,1,B,273,500.85
1873,6,6,1,7,B,273,1533.77
1874,2,1,0,0,B,273,1117.00
1875,4,4,1,4,B,273,1216.54
1876,7,7,1,9,B,273,642.91
1877,2,1,0,0,B,273,696.27
1878,1,2,0,1,B,273,531.55
1879,3,3,1,3,B,273,520.73
1880,4,4,1,4,B,273,615.23
1881,5,5,1,6,B,273,509.77
1882,4,4,1,4,B,273,1049.66
1883,1,1,1,0,B,273,770.06
1884,7,7,1,9,B,273,579.47
1885,4,4,1,4,B,273,899.62
1886,6,6,1,7,B,273,740.20
1887,7,7,1,9,B,273,504.86
1888,4,5,0,6,B,273,856.52
1889,5,5,1,6,B,273,750.24
1890,7,7,1,9,B,273,510.87
1891,7,7,1,9,B,273,660.06
1892,5,6,0,7,B,273,807.13
1893,4,5,0,6,B,273,758.02
1894,3,3,1,3,B,273,778.45
1895,1,1,1,0,B,273,584.33
1896,2,2,1,1,B,273,615.66
1897,3,3,1,3,B,273,936.83
1898,7,7,1,9,B,273,624.39
1899,4,4,1,4,B,273,1380.36
1900,6,6,1,7,B,273,802.67
*
1901,4,4,1,4,B,273,1101.24
1902,7,7,1,9,B,273,661.39
1903,2,2,1,1,B,273,1070.18
1904,6,6,1,7,B,273,2064.23
1905,1,1,1,0,B,273,906.08
1906,5,5,1,6,B,273,868.58
1907,1,1,1,0,B,273,1199.24
1908,1,2,0,1,B,273,603.02
1909,2,2,1,1,B,273,692.76
1910,5,5,1,6,B,273,1113.48
1911,5,5,1,6,B,273,530.86
1912,3,3,1,3,B,273,1210.98
1913,7,7,1,9,B,273,483.37
1914,5,5,1,6,B,273,655.01
1915,1,1,1,0,B,273,681.10
1916,3,4,0,4,B,273,666.31
1917,4,4,1,4,B,273,696.80
1918,4,4,1,4,B,273,1071.96
1919,5,5,1,6,B,273,645.60
1920,6,6,1,7,B,273,711.90
1921,4,4,1,4,B,273,1122.54
1922,3,3,1,3,B,273,722.32
1923,6,6,1,7,B,273,781.15
1924,3,3,1,3,B,273,1805.07
1925,4,4,1,4,B,273,710.49
1926,3,3,1,3,B,273,685.87
1927,1,2,0,1,B,273,591.79
1928,1,1,1,0,B,273,1242.49
1929,6,6,1,7,B,273,723.40
1930,6,6,1,7,B,273,852.36
1931,5,5,1,6,A,268,634.93
1932,7,6,0,8,A,268,788.44
1933,2,1,0,0,A,268,910.38
1934,6,6,1,8,A,268,1133.61
1935,5,4,0,5,A,268,786.78
1936,6,6,1,8,A,268,630.44
1937,5,5,1,6,A,268,686.94
1938,1,1,1,0,A,268,1131.01
1939,7,7,1,9,A,268,580.20
1940,3,3,1,3,A,268,2416.95
1941,3,2,0,2,A,268,1245.90
1942,3,3,1,3,A,268,798.40
1943,2,1,0,0,A,268,781.57
1944,7,7,1,9,A,268,588.33
1945,5,5,1,6,A,268,856.81
1946,7,7,1,9,A,268,510.20
1947,3,2,0,2,A,268,721.81
1948,4,4,1,5,A,268,1244.40
1949,2,2,1,2,A,268,702.93
1950,5,5,1,6,A,268,840.79
1951,2,2,1,2,A,268,848.52
1952,3,3,1,3,A,268,780.52
1953,3,3,1,3,A,268,685.92
1954,4,4,1,5,A,268,710.47
1955,2,2,1,2,A,268,761.63
1956,3,2,0,2,A,268,682.29
1957,2,2,1,2,A,268,498.90
1958,6,6,1,8,A,268,929.17
1959,7,7,1,9,A,268,518.15
1960,5,5,1,6,A,268,791.84
*
1961,5,5,1,6,A,268,1052.41
1962,1,1,1,0,A,268,564.37
1963,3,3,1,3,A,268,874.25
1964,4,3,0,3,A,268,1017.95
1965,7,7,1,9,A,268,599.22
1966,7,7,1,9,A,268,462.25
1967,5,5,1,6,A,268,643.68
1968,2,2,1,2,A,268,996.43
1969,5,5,1,6,A,268,1248.00
1970,1,1,1,0,A,268,663.37
1971,2,1,0,0,A,268,787.05
1972,2,2,1,2,A,268,803.95
1973,4,4,1,5,A,268,601.98
1974,6,6,1,8,A,268,666.49
1975,3,3,1,3,A,268,1021.30
1976,6,6,1,8,A,268,655.88
1977,1,1,1,0,A,268,571.32
1978,2,2,1,2,A,268,573.51
1979,5,4,0,5,A,268,2466.79
1980,1,1,1,0,A,268,643.88
1981,7,7,1,9,A,268,563.10
1982,5,5,1,6,A,268,707.31
1983,5,5,1,6,A,268,810.12
1984,5,5,1,6,A,268,689.29
1985,1,1,1,0,A,268,522.93
1986,7,7,1,9,A,268,542.10
1987,2,1,0,0,A,268,771.87
1988,7,6,0,8,A,268,551.52
1989,7,7,1,9,A,268,499.96
1990,5,5,1,6,A,268,728.25
