*ITEM#,SUBANS,CORANS,ISCORR,ACTANS,SGRP,SEED,RTIME
1164,5,5,1,6,B,274,1032.38
1165,2,1,0,0,B,274,1118.89
1166,2,2,1,1,B,274,833.23
1167,5,5,1,6,B,274,1282.07
1168,3,3,1,3,B,274,1013.35
1169,6,6,1,7,B,274,1437.45
1170,7,7,1,9,B,274,581.28
1171,2,2,1,1,B,274,896.69
1172,7,7,1,9,B,274,674.69
1173,1,1,1,0,B,274,931.15
1174,4,4,1,4,B,274,1636.89
1175,4,4,1,4,B,274,602.40
1176,4,4,1,4,B,274,1389.89
1177,4,3,0,3,B,274,853.20
1178,3,3,1,3,B,274,488.87
1179,5,5,1,6,B,274,731.13
1180,4,4,1,4,B,274,999.18
*
1181,3,3,1,3,B,274,1799.91
1182,6,6,1,7,B,274,1014.52
1183,3,3,1,3,B,274,988.09
1184,5,5,1,6,B,274,892.60
1185,1,1,1,0,B,274,718.15
1186,5,5,1,6,B,274,1348.63
1187,2,2,1,1,B,274,877.44
1188,6,6,1,7,B,274,1972.90
1189,2,2,1,1,B,274,859.23
1190,1,1,1,0,B,274,576.17
1191,4,4,1,4,B,274,1466.09
1192,1,1,1,0,B,274,599.59
1193,6,6,1,7,B,274,1073.62
1194,6,6,1,7,B,274,612.09
1195,3,3,1,3,B,274,859.30
1196,3,3,1,3,B,274,592.08
1197,1,1,1,0,B,274,968.40
1198,4,4,1,4,B,274,1168.28
1199,2,2,1,1,B,274,811.67
1200,5,5,1,6,B,274,991.56
1201,4,3,0,3,B,274,1474.82
1202,1,1,1,0,B,274,1476.13
1203,1,1,1,0,B,274,601.47
1204,1,2,0,1,B,274,875.61
1205,3,3,1,3,B,274,1088.55
1206,2,2,1,1,B,274,873.66
1207,2,2,1,1,B,274,663.46
1208,6,6,1,7,B,274,834.17
1209,1,1,1,0,B,274,809.79
1210,3,3,1,3,B,274,962.55
1211,4,4,1,5,A,269,641.65
1212,3,3,1,3,A,269,734.58
1213,7,7,1,9,A,269,851.56
1214,3,2,0,2,A,269,900.95
1215,4,4,1,5,A,269,1374.34
1216,1,1,1,0,A,269,742.82
1217,1,1,1,0,A,269,531.13
1218,6,6,1,8,A,269,843.31
1219,6,6,1,8,A,269,665.34
1220,7,7,1,9,A,269,681.78
1221,1,1,1,0,A,269,927.41
1222,5,5,1,6,A,269,891.89
1223,4,4,1,5,A,269,910.93
1224,5,5,1,6,A,269,831.24
1225,3,2,0,2,A,269,759.90
1226,3,2,0,2,A,269,1272.26
1227,7,7,1,9,A,269,705.11
1228,1,1,1,0,A,269,553.48
1229,3,3,1,3,A,269,957.12
1230,5,5,1,6,A,269,1157.29
1231,3,3,1,3,A,269,1728.24
1232,3,3,1,3,A,269,624.77
1233,6,6,1,8,A,269,832.00
1234,5,5,1,6,A,269,878.12
1235,5,5,1,6,A,269,646.66
1236,5,5,1,6,A,269,1144.00
1237,3,3,1,3,A,269,1092.44
1238,2,2,1,2,A,269,1530.18
1239,7,7,1,9,A,269,650.76
1240,2,2,1,2,A,269,730.31
*
1241,4,4,1,5,A,269,1922.42
1242,6,6,1,8,A,269,1325.59
1243,4,4,1,5,A,269,729.14
1244,2,2,1,2,A,269,1952.52
1245,7,7,1,9,A,269,1736.78
1246,7,7,1,9,A,269,563.13
1247,5,5,1,6,A,269,982.48
1248,6,6,1,8,A,269,708.83
1249,5,5,1,6,A,269,1093.34
1250,5,5,1,6,A,269,571.06
1251,1,1,1,0,A,269,743.83
1252,7,7,1,9,A,269,594.19
1253,3,3,1,3,A,269,842.56
1254,7,7,1,9,A,269,638.04
1255,5,5,1,6,A,269,1011.64
1256,6,6,1,8,A,269,613.72
1257,6,6,1,8,A,269,629.55
1258,2,2,1,2,A,269,1297.50
1259,2,2,1,2,A,269,619.50
1260,6,6,1,8,A,269,1236.40
1261,6,6,1,8,A,269,645.72
1262,3,3,1,3,A,269,962.34
1263,7,7,1,9,A,269,1291.11
1264,4,3,0,3,A,269,1619.67
1265,2,1,0,0,A,269,640.62
1266,6,6,1,8,A,269,860.96
1267,1,1,1,0,A,269,613.07
1268,2,3,0,3,A,269,809.87
1269,3,3,1,3,A,269,628.03
1270,3,3,1,3,A,269,586.50
1271,4,4,1,5,A,270,1142.73
1272,1,1,1,0,A,270,692.97
1273,5,5,1,6,A,270,818.83
1274,5,5,1,6,A,270,629.18
1275,5,4,0,5,A,270,514.47
1276,3,2,0,2,A,270,684.30
1277,5,5,1,6,A,270,721.42
1278,3,3,1,3,A,270,783.08
1279,5,5,1,6,A,270,707.43
1280,5,5,1,6,A,270,682.79
1281,7,7,1,9,A,270,626.34
1282,7,6,0,8,A,270,641.77
1283,7,7,1,9,A,270,497.26
1284,5,4,0,5,A,270,1064.82
1285,6,6,1,8,A,270,993.80
1286,5,5,1,6,A,270,1020.11
1287,5,5,1,6,A,270,675.31
1288,6,6,1,8,A,270,651.99
1289,3,3,1,3,A,270,1105.53
1290,6,6,1,8,A,270,1007.01
1291,4,4,1,5,A,270,1067.24
1292,4,4,1,5,A,270,670.55
1293,2,2,1,2,A,270,854.22
1294,6,6,1,8,A,270,1173.53
1295,1,1,1,0,A,270,865.66
1296,1,1,1,0,A,270,491.03
1297,3,3,1,3,A,270,1066.99
1298,5,5,1,6,A,270,1422.32
1299,1,1,1,0,A,270,576.02
1300,7,7,1,9,A,270,625.18
*
1301,2,2,1,2,A,270,1189.53
1302,5,5,1,6,A,270,811.25
1303,5,5,1,6,A,270,663.95
1304,1,1,1,0,A,270,639.79
1305,7,7,1,9,A,270,590.14
1306,6,6,1,8,A,270,743.97
1307,6,6,1,8,A,270,757.63
1308,3,3,1,3,A,270,892.60
1309,4,4,1,5,A,270,830.24
1310,1,1,1,0,A,270,542.83
1311,7,7,1,9,A,270,582.29
1312,4,4,1,5,A,270,1276.48
1313,3,2,0,2,A,270,730.84
1314,1,1,1,0,A,270,561.59
1315,7,7,1,9,A,270,562.55
1316,5,5,1,6,A,270,1044.16
1317,4,4,1,5,A,270,1371.69
1318,3,3,1,3,A,270,674.88
1319,7,6,0,8,A,270,561.48
1320,4,4,1,5,A,270,1308.03
1321,6,6,1,8,A,270,1271.11
1322,3,2,0,2,A,270,749.81
1323,1,1,1,0,A,270,824.21
1324,1,1,1,0,A,270,729.66
1325,7,7,1,9,A,270,596.64
1326,6,6,1,8,A,270,675.49
1327,1,1,1,0,A,270,618.97
1328,1,1,1,0,A,270,796.91
1329,6,5,0,6,A,270,1930.17
1330,7,7,1,9,A,270,820.29
1331,6,6,1,7,B,275,669.08
1332,5,5,1,6,B,275,663.83
1333,3,3,1,3,B,275,743.36
1334,2,1,0,0,B,275,1027.90
1335,3,4,0,4,B,275,1036.33
1336,4,3,0,3,B,275,653.83
1337,1,1,1,0,B,275,913.30
1338,4,4,1,4,B,275,1069.67
1339,2,1,0,0,B,275,670.25
1340,5,5,1,6,B,275,909.13
1341,4,4,1,4,B,275,817.18
1342,7,7,1,9,B,275,910.35
1343,7,7,1,9,B,275,624.28
1344,4,4,1,4,B,275,940.23
1345,5,5,1,6,B,275,793.27
1346,4,4,1,4,B,275,1197.73
1347,3,3,1,3,B,275,735.83
1348,7,7,1,9,B,275,602.48
1349,7,7,1,9,B,275,483.80
1350,1,1,1,0,B,275,776.24
1351,3,3,1,3,B,275,919.74
1352,1,1,1,0,B,275,821.14
1353,4,4,1,4,B,275,764.46
1354,5,6,0,7,B,275,600.34
1355,6,6,1,7,B,275,870.41
1356,7,7,1,9,B,275,575.76
1357,4,4,1,4,B,275,785.58
1358,6,6,1,7,B,275,934.09
1359,6,5,0,6,B,275,595.38
1360,1,1,1,0,B,275,989.26
*
1361,1,1,1,0,B,275,706.79
1362,3,4,0,4,B,275,1010.39
1363,4,4,1,4,B,275,717.42
1364,4,4,1,4,B,275,526.84
1365,1,1,1,0,B,275,790.95
1366,3,4,0,4,B,275,1125.22
1367,2,2,1,1,B,275,705.02
1368,3,3,1,3,B,275,556.50
1369,1,1,1,0,B,275,935.30
1370,5,5,1,6,B,275,1322.02
1371,3,3,1,3,B,275,983.86
1372,6,5,0,6,B,275,1479.31
1373,5,5,1,6,B,275,717.50
1374,7,7,1,9,B,275,522.19
1375,6,6,1,7,B,275,795.38
1376,3,3,1,3,B,275,1351.08
1377,6,6,1,7,B,275,1719.29
1378,4,4,1,4,B,275,708.32
1379,7,7,1,9,B,275,559.46
1380,3,3,1,3,B,275,1138.85
1381,3,3,1,3,B,275,506.11
1382,6,6,1,7,B,275,951.70
1383,2,2,1,1,B,275,1270.93
1384,7,7,1,9,B,275,558.65
1385,2,2,1,1,B,275,751.60
1386,1,1,1,0,B,275,554.07
1387,1,2,0,1,B,275,438.54
1388,3,3,1,3,B,275,745.56
1389,4,4,1,4,B,275,662.81
1390,1,1,1,0,B,275,1276.43
1391,2,2,1,1,B,272,603.55
1392,4,4,1,4,B,272,817.57
1393,1,1,1,0,B,272,673.47
1394,5,5,1,6,B,272,1157.20
1395,4,4,1,4,B,272,734.06
1396,5,5,1,6,B,272,849.41
1397,5,5,1,6,B,272,1020.25
1398,5,5,1,6,B,272,498.91
1399,4,4,1,4,B,272,620.26
1400,6,6,1,7,B,272,600.31
1401,6,6,1,7,B,272,466.01
1402,2,2,1,1,B,272,1042.33
1403,5,5,1,6,B,272,1137.53
1404,1,1,1,0,B,272,685.24
1405,7,7,1,9,B,272,729.26
1406,3,3,1,3,B,272,914.72
1407,2,2,1,1,B,272,601.32
1408,1,1,1,0,B,272,512.27
1409,5,5,1,6,B,272,777.05
1410,7,7,1,9,B,272,993.53
1411,6,6,1,7,B,272,1224.96
1412,6,5,0,6,B,272,695.50
1413,2,2,1,1,B,272,925.18
1414,2,2,1,1,B,272,672.46
1415,5,6,0,7,B,272,822.03
1416,6,6,1,7,B,272,717.82
1417,4,3,0,3,B,272,1394.77
1418,3,4,0,4,B,272,672.85
1419,3,3,1,3,B,272,1099.28
1420,2,2,1,1,B,272,620.93
*
1421,6,6,1,7,B,272,1486.79
1422,2,2,1,1,B,272,1183.18
1423,7,7,1,9,B,272,592.28
1424,6,6,1,7,B,272,786.57
1425,2,1,0,0,B,272,697.30
1426,5,5,1,6,B,272,1147.73
1427,7,7,1,9,B,272,808.79
1428,5,5,1,6,B,272,1228.84
1429,3,3,1,3,B,272,714.07
1430,2,1,0,0,B,272,711.15
1431,6,6,1,7,B,272,871.74
1432,6,6,1,7,B,272,645.25
1433,1,1,1,0,B,272,1214.93
1434,4,4,1,4,B,272,1405.85
1435,5,5,1,6,B,272,667.65
1436,4,4,1,4,B,272,1481.64
1437,6,6,1,7,B,272,622.56
1438,3,3,1,3,B,272,1139.37
1439,1,1,1,0,B,272,689.57
1440,1,1,1,0,B,272,531.17
1441,3,4,0,4,B,272,795.27
1442,5,5,1,6,B,272,1253.00
1443,5,5,1,6,B,272,1170.39
1444,5,5,1,6,B,272,973.97
1445,5,5,1,6,B,272,1356.86
1446,4,4,1,4,B,272,1228.00
1447,2,2,1,1,B,272,829.99
1448,3,3,1,3,B,272,622.83
1449,3,3,1,3,B,272,708.04
1450,2,2,1,1,B,272,591.14
1451,3,3,1,3,A,271,807.46
1452,6,6,1,8,A,271,852.41
1453,3,3,1,3,A,271,1100.39
1454,3,2,0,2,A,271,819.40
1455,4,4,1,5,A,271,1002.05
1456,4,4,1,5,A,271,955.07
1457,1,1,1,0,A,271,699.67
1458,7,7,1,9,A,271,599.35
1459,6,5,0,6,A,271,1018.37
1460,3,2,0,2,A,271,917.03
1461,7,7,1,9,A,271,577.90
1462,1,1,1,0,A,271,630.24
1463,2,2,1,2,A,271,545.70
1464,3,2,0,2,A,271,665.78
1465,3,3,1,3,A,271,499.51
1466,2,1,0,0,A,271,602.52
1467,3,3,1,3,A,271,636.23
1468,3,3,1,3,A,271,656.15
1469,4,4,1,5,A,271,686.60
1470,6,6,1,8,A,271,738.15
1471,5,5,1,6,A,271,615.14
1472,5,5,1,6,A,271,582.39
1473,5,5,1,6,A,271,626.49
1474,1,1,1,0,A,271,685.32
1475,3,3,1,3,A,271,683.45
1476,3,3,1,3,A,271,969.29
1477,3,3,1,3,A,271,607.79
1478,2,1,0,0,A,271,1111.80
1479,2,2,1,2,A,271,630.78
1480,4,4,1,5,A,271,1282.55
*
1481,7,7,1,9,A,271,1062.93
1482,3,3,1,3,A,271,1334.24
1483,6,6,1,8,A,271,1444.46
1484,6,7,0,9,A,271,1239.75
1485,1,1,1,0,A,271,638.18
1486,6,6,1,8,A,271,1271.68
1487,7,7,1,9,A,271,578.71
1488,1,1,1,0,A,271,1194.71
1489,3,3,1,3,A,271,789.27
1490,5,5,1,6,A,271,829.99
1491,6,6,1,8,A,271,1042.24
1492,3,2,0,2,A,271,828.22
1493,1,1,1,0,A,271,508.19
1494,2,2,1,2,A,271,589.47
1495,3,3,1,3,A,271,579.02
1496,5,5,1,6,A,271,660.26
1497,1,1,1,0,A,271,1020.64
1498,3,3,1,3,A,271,790.60
1499,3,3,1,3,A,271,740.99
1500,3,3,1,3,A,271,534.71
1501,5,5,1,6,A,271,1256.92
1502,7,7,1,9,A,271,1934.65
1503,4,3,0,3,A,271,1492.48
1504,7,7,1,9,A,271,641.17
1505,6,6,1,8,A,271,786.15
1506,5,5,1,6,A,271,727.01
1507,1,1,1,0,A,271,516.23
1508,6,6,1,8,A,271,777.76
1509,1,1,1,0,A,271,724.88
1510,4,4,1,5,A,271,1388.38
1511,4,4,1,5,A,269,587.03
1512,3,3,1,3,A,269,568.55
1513,7,7,1,9,A,269,1361.13
1514,3,2,0,2,A,269,1139.32
1515,4,4,1,5,A,269,931.97
1516,1,1,1,0,A,269,649.14
1517,1,1,1,0,A,269,476.09
1518,6,6,1,8,A,269,809.10
1519,6,6,1,8,A,269,573.62
1520,7,7,1,9,A,269,469.36
1521,1,1,1,0,A,269,626.97
1522,4,5,0,6,A,269,1210.49
1523,4,4,1,5,A,269,1140.86
1524,5,5,1,6,A,269,682.63
1525,3,2,0,2,A,269,648.89
1526,2,2,1,2,A,269,1295.14
1527,7,7,1,9,A,269,927.69
1528,1,1,1,0,A,269,527.38
1529,3,3,1,3,A,269,775.45
1530,5,5,1,6,A,269,868.31
1531,3,3,1,3,A,269,1206.25
1532,3,3,1,3,A,269,1169.93
1533,6,6,1,8,A,269,773.38
1534,5,5,1,6,A,269,1016.45
1535,5,5,1,6,A,269,559.76
1536,5,5,1,6,A,269,847.14
1537,4,3,0,3,A,269,959.07
1538,3,2,0,2,A,269,641.06
1539,7,7,1,9,A,269,636.95
1540,3,2,0,2,A,269,1735.05
*
1541,4,4,1,5,A,269,933.92
1542,6,6,1,8,A,269,676.41
1543,4,4,1,5,A,269,803.72
1544,2,2,1,2,A,269,970.27
1545,7,7,1,9,A,269,571.79
1546,7,7,1,9,A,269,464.90
1547,5,5,1,6,A,269,976.76
1548,6,6,1,8,A,269,566.52
1549,5,5,1,6,A,269,610.44
1550,5,5,1,6,A,269,475.17
1551,1,1,1,0,A,269,704.92
1552,7,7,1,9,A,269,522.00
1553,3,3,1,3,A,269,747.92
1554,7,7,1,9,A,269,595.56
1555,5,5,1,6,A,269,876.35
1556,6,6,1,8,A,269,587.09
1557,6,6,1,8,A,269,805.43
1558,2,2,1,2,A,269,1058.53
1559,2,2,1,2,A,269,543.80
1560,6,6,1,8,A,269,850.08
1561,6,6,1,8,A,269,483.69
1562,3,3,1,3,A,269,683.68
1563,7,7,1,9,A,269,1029.59
1564,3,3,1,3,A,269,906.76
1565,1,1,1,0,A,269,781.85
1566,6,6,1,8,A,269,1019.67
1567,1,1,1,0,A,269,758.90
1568,3,3,1,3,A,269,1672.30
1569,3,3,1,3,A,269,606.09
1570,3,3,1,3,A,269,508.99
1571,7,7,1,9,B,274,1259.45
1572,7,7,1,9,B,274,498.47
1573,5,5,1,6,B,274,949.70
1574,4,4,1,4,B,274,629.63
1575,4,4,1,4,B,274,512.25
1576,2,1,0,0,B,274,682.12
