*BaseSeed:1001,Group:2
*CHUNK,SEED:1010,GROUP:A
1001,7,6
1002,2,1
1003,2,1
1004,3,2
1005,8,13
1006,4,3
1007,6,5
1008,2,1
1009,4,3
1010,3,2
1011,6,5
1012,5,4
1013,2,1
1014,2,1
1015,3,2
1016,6,5
1017,5,4
1018,2,1
1019,3,2
1020,5,4
1021,1,0
1022,4,3
1023,3,2
1024,6,5
1025,1,0
1026,2,1
1027,3,2
1028,2,1
1029,5,4
1030,5,4
*CHUNK,SEED:1002,GROUP:A
1031,7,6
1032,4,3
1033,2,1
1034,3,2
1035,6,5
1036,4,3
1037,8,13
1038,4,3
1039,5,4
1040,7,6
1041,4,3
1042,4,3
1043,5,4
1044,2,1
1045,3,2
1046,2,1
1047,6,5
1048,3,2
1049,3,2
1050,3,2
1051,5,4
1052,8,13
1053,6,5
1054,4,3
1055,7,6
1056,7,6
1057,2,1
1058,7,6
1059,1,0
1060,7,6
*BREAK*
*CHUNK,GROUP:A
1061,8,13
1062,4,3
1063,5,4
1064,6,5
1065,4,3
1066,3,2
1067,4,3
1068,1,0
1069,6,5
1070,5,4
1071,5,4
1072,4,3
1073,1,0
1074,7,6
1075,5,4
1076,8,13
1077,7,6
1078,4,3
1079,6,5
1080,6,5
1081,2,1
1082,5,4
1083,8,13
1084,3,2
1085,2,1
1086,7,6
1087,5,4
1088,1,0
1089,8,13
1090,6,5
*CHUNK,SEED:1007,GROUP:B
1091,2,7
1092,7,12
1093,6,11
1094,4,9
1095,6,11
1096,3,8
1097,4,9
1098,8,13
1099,3,8
1100,8,13
1101,3,8
1102,8,13
1103,8,13
1104,6,11
1105,6,11
1106,8,13
1107,7,12
1108,8,13
1109,6,11
1110,5,10
1111,8,13
1112,6,11
1113,4,9
1114,7,12
1115,4,9
1116,7,12
1117,3,8
1118,6,11
1119,3,8
1120,8,13
*BREAK*
*CHUNK,GROUP:B
1121,8,13
1122,1,0
1123,4,9
1124,6,11
1125,7,12
1126,3,8
1127,8,13
1128,6,11
1129,2,7
1130,6,11
1131,3,8
1132,3,8
1133,4,9
1134,8,13
1135,3,8
1136,7,12
1137,2,7
1138,6,11
1139,5,10
1140,3,8
1141,5,10
1142,2,7
1143,1,0
1144,8,13
1145,4,9
1146,3,8
1147,8,13
1148,5,10
1149,1,0
1150,5,10
*CHUNK,SEED:1008,GROUP:B
1151,1,0
1152,2,7
1153,2,7
1154,1,0
1155,1,0
1156,6,11
1157,5,10
1158,8,13
1159,6,11
1160,4,9
1161,1,0
1162,7,12
1163,1,0
1164,2,7
1165,5,10
1166,7,12
1167,3,8
1168,6,11
1169,5,10
1170,2,7
1171,8,13
1172,3,8
1173,4,9
1174,1,0
1175,8,13
1176,5,10
1177,3,8
1178,7,12
1179,4,9
1180,1,0
*BREAK*
*CHUNK,GROUP:B
1181,2,7
1182,7,12
1183,6,11
1184,3,8
1185,4,9
1186,8,13
1187,4,9
1188,3,8
1189,7,12
1190,3,8
1191,6,11
1192,3,8
1193,4,9
1194,6,11
1195,1,0
1196,1,0
1197,7,12
1198,2,7
1199,7,12
1200,1,0
1201,5,10
1202,2,7
1203,4,9
1204,8,13
1205,6,11
1206,8,13
1207,2,7
1208,7,12
1209,3,8
1210,6,11
*CHUNK,SEED:1003,GROUP:A
1211,6,5
1212,8,13
1213,6,5
1214,8,13
1215,1,0
1216,7,6
1217,1,0
1218,4,3
1219,7,6
1220,3,2
1221,3,2
1222,3,2
1223,5,4
1224,6,5
1225,2,1
1226,2,1
1227,3,2
1228,1,0
1229,2,1
1230,8,13
1231,5,4
1232,5,4
1233,5,4
1234,7,6
1235,3,2
1236,6,5
1237,2,1
1238,8,13
1239,1,0
1240,1,0
*BREAK*
*CHUNK,GROUP:A
1241,1,0
1242,2,1
1243,6,5
1244,3,2
1245,2,1
1246,8,13
1247,8,13
1248,5,4
1249,4,3
1250,2,1
1251,8,13
1252,4,3
1253,2,1
1254,4,3
1255,3,2
1256,1,0
1257,4,3
1258,8,13
1259,7,6
1260,4,3
1261,2,1
1262,4,3
1263,3,2
1264,2,1
1265,4,3
1266,5,4
1267,7,6
1268,3,2
1269,2,1
1270,7,6
